上櫃公布注意有價證券資訊 
期間:115/01/01~115/04/09，查詢範圍:全部上櫃有價證券
編號,證券代號,證券名稱,注意交易資訊,公告日期,收盤價,本益比
"264","6530","創威","最近六個營業日(含當日)之累積週轉率為87.07%，當日週轉率達26.11%(第十款)","115/03/20","88.70","45.49"
"265","6532","瑞耘","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.17倍，當日成交量較最近六十個營業日之日平均成交量放大為7.22倍(第九款)","115/03/20","76.60","10.48"
"266","6547","高端疫苗","最近六個營業日(含當日)累積之最後成交價漲幅達30.74%(第一款)元大證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為53.27%(第五款)","115/03/20","49.60","N/A"
"267","6574","霈方","最近六個營業日(含當日)累積之最後成交價漲幅達51.24%(第一款)當日之成交量較最近六十個營業日日平均成交量放大9.64倍(第三款)","115/03/20","133.50","24.10"
"268","6584","南俊國際","最近六個營業日(含當日)累積之最後成交價漲幅達27.3%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣113.5元(第一款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣113.5元(第十一款)","115/03/20","502.00","89.80"
"269","65841","南俊國際一","最近六個營業日(含當日)累積之最後成交價漲幅達28.61%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣62元(第一款)","115/03/20","282.00","N/A"
"270","65842","南俊國際二","最近六個營業日(含當日)累積之最後成交價漲幅達25.25%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣54元(第一款)","115/03/20","259.00","N/A"
"271","6588","東典光電","最近六個營業日(含當日)累積之最後成交價漲幅達33.26%(第一款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達297.45%(第二款)當日週轉率達8.33%(第四款)","115/03/20","109.50","N/A"
"272","6640","均華","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣196元(第十一款)","115/03/20","1165.00","91.37"
"273","6683","雍智科技","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣155元(第十一款)","115/03/20","1285.00","83.33"
"274","6907","雅特力-KY","最近六個營業日(含當日)累積之最後成交價漲幅達41.16%(第一款)當日週轉率達5.05%(第四款)","115/03/20","164.50","79.09"
"275","700587","營邦國票54購01","最近六個營業日(含當日)累積之最後成交價漲幅達47.3%(第一款)","115/03/20","14.10","N/A"
"276","735856","茂迪統一57購01","最近六個營業日(含當日)累積之最後成交價漲幅達39.26%(第一款)","115/03/20","4.49","N/A"
"277","7718","友鋮","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.26倍，當日成交量較最近六十個營業日之日平均成交量放大為12.47倍(第九款)","115/03/20","49.60","13.23"
"278","8044","網家","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達19.65%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為4倍(第十二款)","115/03/20","23.05","N/A"
"279","8155","博智","最近六個營業日(含當日)累積之最後成交價漲幅達30.96%(第一款)當日週轉率達13.13%(第四款)","115/03/20","275.00","60.18"
"280","81551","博智一","最近六個營業日(含當日)累積之最後成交價漲幅達28.1%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣49元(第一款)","115/03/20","219.00","N/A"
"281","1799","易威","最近六個營業日(含當日)累積之最後成交價漲幅達34.08%(第一款)當日之成交量較最近六十個營業日日平均成交量放大9.16倍(第三款)元大證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為32.32%(第五款)","115/03/19","40.70","N/A"
"282","23372","旺宏二","最近六個營業日(含當日)累積之最後成交價漲幅達40.23%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達275.9%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達361.7%(第二款)","115/03/19","624.00","N/A"
"283","30061","晶豪科一","最近六個營業日(含當日)累積之最後成交價漲幅達33.33%(第一款)","115/03/19","260.00","N/A"
"284","3066","李洲","最近六個營業日(含當日)累積之最後成交價漲幅達40.82%(第一款)當日之成交量較最近六十個營業日日平均成交量放大7.93倍(第三款)","115/03/19","24.00","N/A"
"285","3093","港建*","最近六個營業日(含當日)累積之最後成交價漲幅達49.55%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達111.37%(第二款)","115/03/19","53.90","44.18"
"286","3234","光環","當日本益比為N/A、股價淨值比為13.98且為其所屬產業類別股價淨值比之2.27倍、當日週轉率達6.01%、富邦證券公司當日買進該有價證券之成交金額達1.59億元，且占當日該有價證券之總成交金額26.42%、單一投資人當日買進該有價證券之成交金額達1.22億元，且占當日該有價證券之總成交金額20.28%(第六款)","115/03/19","93.50","N/A"
"287","3260","威剛","最近六個營業日(含當日)累積之最後成交價漲幅達42.28%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達183.01%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達165.15%(第二款)當日週轉率達6.55%(第四款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣176.5元(第十一款)","115/03/19","525.00","22.65"
"288","32608","威剛八","最近六個營業日(含當日)累積之最後成交價漲幅達28.92%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣53元(第一款)","115/03/19","214.00","N/A"
"289","3363","上詮","當日本益比為4,175.00、股價淨值比為27.15且為其所屬產業類別股價淨值比之4.41倍、當日週轉率達8.38%(第六款)","115/03/19","668.00","4175.00"
"290","3508","位速","最近六個營業日(含當日)累積之最後成交價漲幅達38.91%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達111.74%(第二款)當日週轉率達6.99%(第四款)當日本益比為N/A、股價淨值比為10.76且為其所屬產業類別股價淨值比之2.64倍、富邦證券公司當日買進該有價證券之成交金額達1.09億元，且占當日該有價證券之總成交金額30.22%(第六款)","115/03/19","52.30","N/A"
"291","3529","力旺","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達11.97%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為4倍(第十二款)","115/03/19","2775.00","108.40"
"292","3555","博士旺","最近六個營業日(含當日)累積之最後成交價漲幅達53.56%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達165.05%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達167.58%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達184.17%(第二款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣77元(第十一款)","115/03/19","224.50","175.39"
"293","3693","營邦","最近六個營業日(含當日)累積之最後成交價漲幅達34.64%(第一款)當日週轉率達15.48%(第四款)","115/03/19","583.00","37.61"
"294","4768","晶呈科技","當日本益比為1,358.97、股價淨值比為16.75且為其所屬產業類別股價淨值比之5.69倍、當日週轉率達7.2%(第六款)","115/03/19","530.00","1358.97"
"295","49674","十銓四","最近六個營業日(含當日)累積之最後成交價漲幅達26.95%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣41.1元(第一款)","115/03/19","180.00","N/A"
"296","4973","廣穎","最近六個營業日(含當日)累積之最後成交價漲幅達59.64%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達182.18%(第二款)當日週轉率達11.56%(第四款)","115/03/19","98.20","46.54"
"297","5289","宜鼎","最近六個營業日(含當日)累積之最後成交價漲幅達30.55%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達167%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達209.74%(第二款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣305元(第十一款)","115/03/19","1335.00","61.46"
"298","5351","鈺創","最近六個營業日(含當日)累積之最後成交價漲幅達34.12%(第一款)當日週轉率達6.09%(第四款)","115/03/19","84.30","N/A"
"299","5386","青雲","最近六個營業日(含當日)累積之最後成交價漲幅達34.84%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達420.66%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達493.53%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達486.43%(第二款)","115/03/19","441.00","51.22"
"300","6167","久正","最近六個營業日(含當日)累積之最後成交價漲幅達30.09%(第一款)","115/03/19","15.70","N/A"
"301","6217","中探針","最近六個營業日(含當日)累積之最後成交價漲幅達50.71%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達183.17%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達246.22%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達238.56%(第二款)當日週轉率達6.88%(第四款)富邦證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為39.86%(第五款)當日本益比為N/A、股價淨值比為7.19且為其所屬產業類別股價淨值比之2.13倍、富邦證券公司當日賣出該有價證券之成交金額達5.81億元，且占當日該有價證券之總成交金額39.76%、單一投資人當日買進該有價證券之成交金額達1.83億元，且占當日該有價證券之總成交金額12.52%、單一投資人當日賣出該有價證券之成交金額達4.42億元，且占當日該有價證券之總成交金額30.25%(第六款)","115/03/19","183.50","N/A"
"302","6219","富旺","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達9.12%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為9倍(第十二款)","115/03/19","14.40","N/A"
"303","6274","台燿","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣131.5元(第十一款)","115/03/19","584.00","48.15"
"304","6292","迅德","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.06倍，當日成交量較最近六十個營業日之日平均成交量放大為14.06倍(第九款)","115/03/19","50.10","25.05"
"305","6465","威潤","最近六個營業日(含當日)累積之最後成交價漲幅達33.32%(第一款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達186.9%(第二款)元大證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為46.54%(第五款)","115/03/19","44.90","52.21"
"306","6499","益安","最近六個營業日(含當日)累積之最後成交價漲幅達29.85%，當日之成交量較最近六十個營業日日平均成交量放大8.99倍(第三款)當日週轉率達8.38%(第四款)當日本益比為N/A、股價淨值比為7.79且為其所屬產業類別股價淨值比之2.38倍(第六款)","115/03/19","118.50","N/A"
"307","6509","聚和","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.06倍，當日成交量較最近六十個營業日之日平均成交量放大為6倍(第九款)","115/03/19","46.30","17.41"
"308","6510","精測","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣465元(第十一款)","115/03/19","3550.00","116.74"
"309","6574","霈方","最近六個營業日(含當日)累積之最後成交價漲幅達43.69%(第一款)","115/03/19","123.00","22.20"
"310","6643","M31","當日本益比為298.82、股價淨值比為11.1且為其所屬產業類別股價淨值比之2.74倍、當日週轉率達5.39%(第六款)","115/03/19","505.00","298.82"
"311","6727","亞泰金屬","最近六個營業日(含當日)累積之最後成交價漲幅達34.14%(第一款)","115/03/19","299.50","44.04"
"312","6907","雅特力-KY","最近六個營業日(含當日)累積之最後成交價漲幅達44.76%(第一款)","115/03/19","159.50","76.68"
"313","700529","宜鼎群益54購01","最近六個營業日(含當日)累積之最後成交價漲幅達51.35%(第一款)","115/03/19","31.50","N/A"
"314","702114","台燿中信56購01","最近六個營業日(含當日)累積之最後成交價漲幅達49.63%(第一款)","115/03/19","4.71","N/A"
"315","703995","均華凱基57購03","最近六個營業日(含當日)累積之最後成交價漲幅達34.85%(第一款)","115/03/19","10.50","N/A"
"316","735856","茂迪統一57購01","最近六個營業日(含當日)累積之最後成交價漲幅達39.04%(第一款)","115/03/19","4.09","N/A"
"317","736702","威剛富邦53購01","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣85元(第十一款)","115/03/19","193.00","N/A"
"318","7547","碩網","最近六個營業日(含當日)累積之最後成交價漲幅達30.31%(第一款)當日之成交量較最近六十個營業日日平均成交量放大6.5倍(第三款)","115/03/19","69.30","26.15"
"319","7751","竑騰","最近六個營業日(含當日)累積之最後成交價漲幅達24.93%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣330元(第一款)","115/03/19","1655.00","80.73"
"320","8044","網家","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達16.89%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為5倍(第十二款)","115/03/19","23.00","N/A"
"321","8155","博智","最近六個營業日(含當日)累積之最後成交價漲幅達30.66%(第一款)富邦證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為41.39%(第五款)","115/03/19","269.50","58.97"
"322","81551","博智一","最近六個營業日(含當日)累積之最後成交價漲幅達29%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣50元(第一款)","115/03/19","217.00","N/A"
"323","8240","華宏","最近六個營業日(含當日)累積之最後成交價漲幅達35.29%(第一款)當日之成交量較最近六十個營業日日平均成交量放大7.22倍(第三款)當日週轉率達14.1%(第四款)","115/03/19","59.60","27.34"
"324","1785","光洋科","最近六個營業日(含當日)累積之最後成交價漲幅達31.03%(第一款)元大證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為40.59%，元富證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為30.1%(第五款)","115/03/18","99.60","42.38"
"325","1799","易威","最近六個營業日(含當日)累積之最後成交價漲幅達41.75%(第一款)","115/03/18","43.60","N/A"
"326","23372","旺宏二","最近六個營業日(含當日)累積之最後成交價漲幅達49.4%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達292.4%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達314.99%(第二款)","115/03/18","620.00","N/A"
"327","30061","晶豪科一","最近六個營業日(含當日)累積之最後成交價漲幅達38.38%(第一款)","115/03/18","248.00","N/A"
"328","30371","欣興一","最近六個營業日(含當日)累積之最後成交價漲幅達32.06%(第一款)","115/03/18","350.00","N/A"
"329","3066","李洲","最近六個營業日(含當日)累積之最後成交價漲幅達33.83%(第一款)當日之成交量較最近六十個營業日日平均成交量放大10.55倍(第三款)當日週轉率達5.3%(第四款)","115/03/18","21.85","N/A"
"330","3093","港建*","最近六個營業日(含當日)累積之最後成交價漲幅達43.26%(第一款)","115/03/18","50.00","40.98"
"331","3260","威剛","最近六個營業日(含當日)累積之最後成交價漲幅達42.21%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達162.36%(第二款)元大證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為79.71%(第五款)","115/03/18","477.50","20.60"
"332","32608","威剛八","最近六個營業日(含當日)累積之最後成交價漲幅達35.14%(第一款)","115/03/18","207.00","N/A"
"333","3508","位速","最近六個營業日(含當日)累積之最後成交價漲幅達31.74%(第一款)","115/03/18","47.60","N/A"
"334","3555","博士旺","最近六個營業日(含當日)累積之最後成交價漲幅達53.58%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達135.59%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達151.84%(第二款)","115/03/18","204.50","159.77"
"335","3693","營邦","最近六個營業日(含當日)累積之最後成交價漲幅達34.61%(第一款)當日週轉率達13.79%(第四款)","115/03/18","530.00","34.19"
"336","4923","力士","最近六個營業日(含當日)累積之最後成交價漲幅達35.62%(第一款)","115/03/18","41.30","N/A"
"337","4973","廣穎","最近六個營業日(含當日)累積之最後成交價漲幅達59.56%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達163.42%(第二款)","115/03/18","89.30","42.32"
"338","4991","環宇-KY","當日本益比為2,356.67、股價淨值比為12.41且為其所屬產業類別股價淨值比之3.06倍、當日週轉率達7.73%(第六款)","115/03/18","353.50","2356.67"
"339","5274","信驊","最近六個營業日(含當日)累積之最後成交價漲幅達28.09%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣2290元(第一款)","115/03/18","12345.00","118.79"
"340","5289","宜鼎","最近六個營業日(含當日)累積之最後成交價漲幅達36.2%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達170.61%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達198.71%(第二款)","115/03/18","1280.00","58.93"
"341","5351","鈺創","最近六個營業日(含當日)累積之最後成交價漲幅達40.62%(第一款)當日之成交量較最近六十個營業日日平均成交量放大5.32倍(第三款)當日週轉率達35.52%(第四款)","115/03/18","84.80","N/A"
"342","5386","青雲","最近六個營業日(含當日)累積之最後成交價漲幅達30.52%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達390.58%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達459.73%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達456.74%(第二款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣98元(第十一款)","115/03/18","417.00","48.43"
"343","5475","德宏","當日本益比為N/A、股價淨值比為30.2且為其所屬產業類別股價淨值比之9.01倍、當日週轉率達5.04%(第六款)","115/03/18","212.00","N/A"
"344","5498","凱崴","最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達180%(第二款)當日本益比為N/A、股價淨值比為6.86且為其所屬產業類別股價淨值比之2.04倍、當日週轉率達14.22%(第六款)","115/03/18","67.20","N/A"
"345","6103","合邦","最近六個營業日(含當日)累積之最後成交價漲幅達39.72%(第一款)","115/03/18","49.55","N/A"
"346","6147","頎邦","最近六個營業日(含當日)累積之最後成交價漲幅達33.65%(第一款)當日之成交量較最近六十個營業日日平均成交量放大11.91倍(第三款)當日週轉率達9.07%(第四款)","115/03/18","71.90","19.22"
"347","6167","久正","最近六個營業日(含當日)累積之最後成交價漲幅達36.07%(第一款)當日之成交量較最近六十個營業日日平均成交量放大20.11倍(第三款)當日週轉率達12.92%(第四款)","115/03/18","16.40","N/A"
"348","61875","萬潤五","最近六個營業日(含當日)累積之最後成交價漲幅達30.32%(第一款)","115/03/18","259.00","N/A"
"349","6194","育富","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.29倍，當日成交量較最近六十個營業日之日平均成交量放大為23.32倍(第九款)","115/03/18","31.80","14.52"
"350","6217","中探針","最近六個營業日(含當日)累積之最後成交價漲幅達50.53%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達148.14%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達226.81%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達206.42%(第二款)","115/03/18","167.00","N/A"
"351","6244","茂迪","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達60.05%，當日之前一個營業日當日沖銷成交量占總成交量達63.52%（第十三款)","115/03/18","33.50","239.29"
"352","6265","方土昶","最近六個營業日(含當日)累積之最後成交價漲幅達31.71%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達140.51%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達270.75%(第二款)當日週轉率達15.77%(第四款)","115/03/18","46.90","68.97"
"353","6499","益安","最近六個營業日(含當日)累積之最後成交價漲幅達35.4%(第一款)當日之成交量較最近六十個營業日日平均成交量放大7.21倍(第三款)當日週轉率達5.85%(第四款)當日本益比為N/A、股價淨值比為8.05且為其所屬產業類別股價淨值比之2.43倍、元大證券公司當日賣出該有價證券之成交金額達1.75億元，且占當日該有價證券之總成交金額25.2%(第六款)","115/03/18","122.50","N/A"
"354","6574","霈方","最近六個營業日(含當日)累積之最後成交價漲幅達41.76%(第一款)","115/03/18","113.50","20.49"
"355","6727","亞泰金屬","最近六個營業日(含當日)累積之最後成交價漲幅達38.6%(第一款)","115/03/18","290.00","42.65"
"356","68941","衛司特一","最近六個營業日(含當日)累積之最後成交價漲幅達33.34%(第一款)","115/03/18","170.00","N/A"
"357","6907","雅特力-KY","最近六個營業日(含當日)累積之最後成交價漲幅達37.22%(第一款)","115/03/18","145.00","69.71"
"358","702114","台燿中信56購01","最近六個營業日(含當日)累積之最後成交價漲幅達45.79%(第一款)","115/03/18","3.97","N/A"
"359","738880","雍智元大58購02","最近六個營業日(含當日)累積之最後成交價漲幅達44.76%(第一款)","115/03/18","7.70","N/A"
"360","7751","竑騰","最近六個營業日(含當日)累積之最後成交價漲幅達28.88%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣265元(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達152.01%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達225.7%(第二款)","115/03/18","1565.00","76.34"
"361","8064","東捷","最近六個營業日(含當日)累積之最後成交價漲幅達28.53%，當日週轉率達6.46%(第四款)","115/03/18","67.20","49.41"
"362","8096","擎亞","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達64.59%，當日之前一個營業日當日沖銷成交量占總成交量達64.64%（第十三款)","115/03/18","89.10","100.11"
"363","8240","華宏","最近六個營業日(含當日)累積之最後成交價漲幅達41.54%(第一款)富邦證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為36.97%(第五款)","115/03/18","59.60","27.34"
"364","1785","光洋科","最近六個營業日(含當日)累積之最後成交價漲幅達29.92%，元富證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為42.63%(第五款)","115/03/17","90.60","38.55"
"365","1799","易威","最近六個營業日(含當日)累積之最後成交價漲幅達32.65%(第一款)","115/03/17","39.65","N/A"
"366","23372","旺宏二","最近六個營業日(含當日)累積之最後成交價漲幅達33.19%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達250.31%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達239.75%(第二款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣177元(第十一款)","115/03/17","564.00","N/A"
"367","30061","晶豪科一","最近六個營業日(含當日)累積之最後成交價漲幅達32.12%(第一款)","115/03/17","227.00","N/A"
"368","30371","欣興一","最近六個營業日(含當日)累積之最後成交價漲幅達33.08%(第一款)","115/03/17","330.00","N/A"
"369","3066","李洲","最近六個營業日(含當日)累積之最後成交價漲幅達32.52%(第一款)當日之成交量較最近六十個營業日日平均成交量放大9.44倍(第三款)","115/03/17","21.50","N/A"
"370","3081","聯亞","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣135元(第十一款)","115/03/17","1350.00","289.70"
"371","3093","港建*","最近六個營業日(含當日)累積之最後成交價漲幅達30.58%(第一款)當日之成交量較最近六十個營業日日平均成交量放大7.49倍(第三款)","115/03/17","45.50","37.30"
"372","3163","波若威","最近六個營業日(含當日)累積之最後成交價漲幅達32.2%(第一款)當日週轉率達15.29%(第四款)當日本益比為141.64、股價淨值比為23.09且為其所屬產業類別股價淨值比之3.96倍(第六款)","115/03/17","881.00","141.64"
"373","3260","威剛","最近六個營業日(含當日)累積之最後成交價漲幅達37.25%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達140.72%(第二款)","115/03/17","434.50","18.74"
"374","3339","泰谷","最近六個營業日(含當日)累積之最後成交價漲幅達31.63%(第一款)當日週轉率達5.64%(第四款)","115/03/17","33.50","N/A"
"375","3363","上詮","當日本益比為3,812.50、股價淨值比為24.8且為其所屬產業類別股價淨值比之4.25倍、當日週轉率達5.26%(第六款)","115/03/17","610.00","3812.50"
"376","3498","陽程","最近六個營業日(含當日)累積之最後成交價漲幅達30.1%(第一款)當日週轉率達12.71%(第四款)","115/03/17","73.80","153.75"
"377","3508","位速","當日本益比為N/A、股價淨值比為8.91且為其所屬產業類別股價淨值比之2.32倍、當日週轉率達6.15%(第六款)","115/03/17","43.30","N/A"
"378","3529","力旺","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣550元(第十一款)","115/03/17","2810.00","109.77"
"379","3555","博士旺","最近六個營業日(含當日)累積之最後成交價漲幅達47.89%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達119.33%(第二款)","115/03/17","186.00","145.31"
"380","3663","鑫科","最近六個營業日(含當日)累積之最後成交價漲幅達28.82%，當日週轉率達7.92%(第四款)","115/03/17","71.80","N/A"
"381","4711","永純","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.32倍，當日成交量較最近六十個營業日之日平均成交量放大為15.43倍(第九款)","115/03/17","17.35","86.75"
"382","4973","廣穎","最近六個營業日(含當日)累積之最後成交價漲幅達59.47%(第一款)","115/03/17","81.20","38.48"
"383","4979","華星光","當日本益比為72.74、股價淨值比為13.98且為其所屬產業類別股價淨值比之2.39倍、當日週轉率達18.82%(第六款)","115/03/17","395.00","72.74"
"384","5289","宜鼎","最近六個營業日(含當日)累積之最後成交價漲幅達36.29%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達149.73%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達177.38%(第二款)","115/03/17","1165.00","53.64"
"385","5351","鈺創","最近六個營業日(含當日)累積之最後成交價漲幅達34.81%(第一款)當日週轉率達20.04%(第四款)","115/03/17","77.10","N/A"
"386","5386","青雲","最近六個營業日(含當日)累積之最後成交價漲幅達30.6%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達351.78%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達412.14%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達420.57%(第二款)","115/03/17","379.50","44.08"
"387","5475","德宏","當日本益比為N/A、股價淨值比為27.49且為其所屬產業類別股價淨值比之8.45倍、當日週轉率達5.4%(第六款)","115/03/17","193.00","N/A"
"388","6103","合邦","最近六個營業日(含當日)累積之最後成交價漲幅達44.43%(第一款)","115/03/17","52.00","N/A"
"389","6167","久正","最近六個營業日(含當日)累積之最後成交價漲幅達35%(第一款)當日之成交量較最近六十個營業日日平均成交量放大9.88倍(第三款)凱基證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為38.79%(第五款)","115/03/17","15.95","N/A"
"390","61875","萬潤五","最近六個營業日(含當日)累積之最後成交價漲幅達33.31%(第一款)","115/03/17","267.00","N/A"
"391","6217","中探針","最近六個營業日(含當日)累積之最後成交價漲幅達43.77%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達148.36%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達196.29%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達168.07%(第二款)當日週轉率達15.31%(第四款)","115/03/17","152.00","N/A"
"392","6223","旺矽","最近六個營業日(含當日)累積之最後成交價漲幅達28.85%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣590元(第一款)","115/03/17","3580.00","106.90"
"393","6265","方土昶","最近六個營業日(含當日)累積之最後成交價漲幅達30.81%(第一款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達242.26%(第二款)當日週轉率達21.86%(第四款)","115/03/17","45.35","66.69"
"394","6419","京晨科","最近六個營業日(含當日)累積之最後成交價漲幅達32.02%(第一款)當日週轉率達8.57%(第四款)","115/03/17","92.10","9.61"
"395","6574","霈方","最近六個營業日(含當日)累積之最後成交價漲幅達31.58%(第一款)當日之成交量較最近六十個營業日日平均成交量放大15.91倍(第三款)","115/03/17","103.50","18.68"
