115年03月04日 截至12:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","14844","13801"
"2","凱基","9443","11427"
"3","永豐金","4200","3960"
"4","富邦","3952","4002"
"5","國泰綜合","3266","2960"
"6","統一","3157","2313"
"7","星洲瑞銀","1732","3475"
"8","華南永昌","2967","1956"
"9","摩根士丹利","3343","1565"
"10","國票","2209","1993"
"2","金居(8358)"
"1","元大","9037","8858"
"2","凱基","4110","4893"
"3","國泰綜合","2707","2423"
"4","富邦","2472","1990"
"5","群益","2140","2103"
"6","美商高盛亞","1386","2570"
"7","永豐金","2206","1624"
"8","華南永昌","1597","1043"
"9","統一","1065","1365"
"10","元富","1255","1016"
"3","晟德(4123)"
"1","元大","9438","9520"
"2","凱基","3986","2999"
"3","富邦","2221","3271"
"4","群益","1529","2474"
"5","永豐金","1363","1983"
"6","台新","1928","870"
"7","統一","1638","1054"
"8","元富","877","1602"
"9","美商高盛亞","1460","959"
"10","兆豐","1030","917"
"4","協易機(4533)"
"1","元大","7782","9347"
"2","凱基","5378","3342"
"3","富邦","4493","3375"
"4","國泰綜合","1632","1865"
"5","群益","1454","1951"
"6","台新","2287","1051"
"7","永豐金","1122","1360"
"8","新光","1217","1029"
"9","元富","518","1679"
"10","華南永昌","1060","894"
"5","茂迪(6244)"
"1","元大","7597","6465"
"2","凱基","3927","4577"
"3","富邦","2020","2567"
"4","國泰綜合","1768","1551"
"5","永豐金","1657","1363"
"6","華南永昌","841","1884"
"7","群益","887","991"
"8","統一","834","930"
"9","美商高盛亞","806","872"
"10","元富","889","605"
"6","陽程(3498)"
"1","元大","3965","3847"
"2","凱基","1663","2092"
"3","富邦","1367","1469"
"4","國泰綜合","1247","990"
"5","美商高盛亞","1369","808"
"6","統一","487","1381"
"7","群益","857","972"
"8","永豐金","899","753"
"9","華南永昌","669","708"
"10","星洲瑞銀","579","562"
"7","世界(5347)"
"1","元大","2810","2672"
"2","美商高盛亞","2861","2146"
"3","凱基","1419","1569"
"4","摩根士丹利","1001","1925"
"5","星洲瑞銀","2023","557"
"6","摩根大通","1238","284"
"7","群益","537","802"
"8","富邦","638","658"
"9","永豐金","460","643"
"10","台新","292","599"
"8","元太(8069)"
"1","元大","3006","1658"
"2","摩根大通","363","1996"
"3","美商高盛亞","584","1678"
"4","法銀巴黎證","0","1971"
"5","凱基","1031","865"
"6","星洲瑞銀","967","914"
"7","富邦","1288","392"
"8","摩根士丹利","340","669"
"9","永豐金","664","318"
"10","國泰綜合","658","81"
"9","威剛(3260)"
"1","元大","2037","2219"
"2","凱基","1580","2131"
"3","永豐金","698","1086"
"4","美商高盛亞","1164","434"
"5","富邦","568","838"
"6","群益","825","556"
"7","國泰綜合","461","844"
"8","摩根大通","840","318"
"9","摩根士丹利","881","140"
"10","華南永昌","521","307"
"10","康和證(6016)"
"1","元大","3254","2411"
"2","永豐金","1624","242"
"3","富邦","674","908"
"4","兆豐","249","1275"
"5","凱基","1026","407"
"6","元富","679","521"
"7","美商高盛亞","507","615"
"8","玉山證券","112","910"
"9","群益","423","540"
"10","摩根大通","137","706"
"11","安可(3615)"
"1","元大","2583","2544"
"2","凱基","1080","1286"
"3","富邦","593","581"
"4","永豐金","594","552"
"5","群益","520","521"
"6","統一","272","684"
"7","華南永昌","386","445"
"8","摩根大通","480","340"
"9","國泰綜合","428","289"
"10","美商高盛亞","389","322"
"12","良維(6290)"
"1","凱基","2799","1328"
"2","元大","1874","2119"
"3","富邦","525","592"
"4","摩根大通","568","389"
"5","群益","390","518"
"6","美商高盛亞","442","449"
"7","摩根士丹利","460","385"
"8","永豐金","414","420"
"9","統一","418","409"
"10","新光","178","610"
"13","台燿(6274)"
"1","元大","1879","1477"
"2","凱基","774","1096"
"3","富邦","695","716"
"4","摩根士丹利","694","443"
