"115年04月08日 截至10:00止 热门股券商进出排行(等价整股由大而小排列)"
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","富喬(1815)"
"1","元大","6083","7402"
"2","富邦","5192","3518"
"3","凱基","4000","4162"
"4","台新","1272","2260"
"5","永豐金","1730","1781"
"6","國泰綜合","1340","1975"
"7","群益","1335","1402"
"8","美林證券","2168","264"
"9","統一","1009","1265"
"10","華南永昌","719","1331"
"2","穩懋(3105)"
"1","元大","5697","5023"
"2","凱基","2381","2744"
"3","永豐金","1436","1902"
"4","富邦","1374","1719"
"5","國泰綜合","1651","1225"
"6","台新","1113","991"
"7","群益","1087","982"
"8","美商高盛亞","516","989"
"9","統一","558","832"
"10","星洲瑞銀","540","784"
"3","光洋科(1785)"
"1","元大","4288","4826"
"2","凱基","2123","2282"
"3","富邦","1891","1977"
"4","永豐金","1584","930"
"5","台新","824","1211"
"6","國泰綜合","732","1184"
"7","群益","777","935"
"8","星洲瑞銀","1446","172"
"9","華南永昌","412","1081"
"10","美商高盛亞","423","828"
"4","擎亞(8096)"
"1","元大","4142","4172"
"2","凱基","1431","1984"
"3","國泰綜合","1604","925"
"4","群益","1271","1015"
"5","富邦","1161","1101"
"6","台新","1110","1019"
"7","新光","1299","241"
"8","永豐金","746","601"
"9","港商野村","426","780"
"10","華南永昌","491","612"
"5","世界(5347)"
"1","元大","3120","3596"
"2","凱基","1658","2731"
"3","國泰綜合","1420","770"
"4","摩根士丹利","1883","210"
"5","永豐金","1276","804"
"6","富邦","628","1164"
"7","群益","772","810"
"8","星洲瑞銀","889","677"
"9","台新","691","789"
"10","美商高盛亞","545","570"
"6","金居(8358)"
"1","元大","2418","3648"
"2","凱基","2015","1803"
"3","富邦","1665","1324"
"4","永豐金","1168","1258"
"5","統一","1621","358"
"6","國泰綜合","961","915"
"7","群益","780","857"
"8","台新","392","1138"
"9","摩根士丹利","884","6"
"10","華南永昌","233","652"
"7","萬泰科(6190)"
"1","元大","3334","3251"
"2","凱基","1786","1969"
"3","台新","927","1422"
"4","富邦","729","1227"
"5","群益","511","717"
"6","摩根士丹利","1180","41"
"7","永豐金","502","676"
"8","國泰綜合","475","689"
"9","華南永昌","504","644"
"10","統一","659","276"
"8","頎邦(6147)"
"1","元大","6325","1947"
"2","富邦","2045","1827"
"3","凱基","2285","797"
"4","統一","1262","545"
"5","美商高盛亞","48","1256"
"6","國泰綜合","375","910"
"7","兆豐","68","1212"
"8","永豐金","231","729"
"9","國票","720","97"
"10","摩根大通","291","479"
"9","威剛(3260)"
"1","元大","2483","2682"
"2","凱基","1507","1608"
"3","摩根士丹利","1452","766"
"4","群益","511","1098"
"5","富邦","715","874"
"6","台新","606","787"
"7","摩根大通","913","249"
"8","永豐金","529","600"
"9","美商高盛亞","552","438"
"10","國泰綜合","384","506"
"10","中探針(6217)"
"1","元大","2195","1958"
"2","富邦","938","1852"
"3","凱基","1405","1282"
"4","群益","560","769"
"5","永豐金","799","448"
"6","國泰綜合","822","367"
"7","新光","257","793"
"8","台新","482","469"
"9","統一","289","520"
"10","華南永昌","514","285"
"11","台燿(6274)"
"1","元大","2016","2288"
"2","凱基","1436","1441"
"3","富邦","813","1013"
"4","美商高盛亞","823","640"
"5","群益","633","472"
"6","國泰綜合","685","320"
"7","國票","254","731"
"8","統一","255","704"
"9","永豐金","478","404"
"10","摩根士丹利","158","719"
"12","鈦昇(8027)"
"1","元大","2639","1730"
"2","富邦","867","2471"
"3","凱基","713","1799"
"4","永豐金","851","576"
"5","國泰綜合","880","472"
"6","台新","676","513"
"7","群益","686","404"
"8","華南永昌","279","575"
"9","星洲瑞銀","230","394"
"10","兆豐","289","226"
"13","宏捷科(8086)"
"1","元大","2465","2102"
"2","凱基","1303","2423"
"3","富邦","601","1099"
"4","摩根大通","732","248"
"5","群益","492","435"
"6","國泰綜合","463","379"
"7","永豐金","387","375"
"8","台新","387","338"
"9","統一","412","297"
"10","港商野村","186","471"
"14","湧德(3689)"
"1","元大","2134","1704"
"2","富邦","979","2424"
"3","凱基","795","980"
"4","台新","808","502"
"5","群益","573","618"
"6","永豐金","590","351"
"7","美商高盛亞","244","314"
"8","新光","328","165"
"9","中國信託證","95","376"
"10","國泰綜合","288","171"
"15","創威(6530)"
"1","元大","1764","1812"
"2","凱基","833","1410"
"3","富邦","692","338"
"4","台新","447","489"
"5","永豐金","522","319"
"6","群益","384","434"
"7","國泰綜合","416","256"
"8","華南永昌","366","260"
"9","兆豐","304","227"
"10","摩根大通","76","342"
"16","建榮(5340)"
"1","元大","1434","954"
"2","凱基","804","1171"
"3","富邦","465","1015"
"4","國泰綜合","476","279"
"5","群益","408","302"
"6","永豐金","379","239"
"7","台新","393","173"
"8","美商高盛亞","121","281"
