115年03月05日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","9794","12420"
"2","凱基","4233","6238"
"3","國泰綜合","4588","2194"
"4","富邦","3429","2812"
"5","永豐金","3703","1769"
"6","摩根士丹利","358","3968"
"7","統一","1695","2105"
"8","華南永昌","1978","1757"
"9","群益","1977","1559"
"10","新光","2260","977"
"2","協易機(4533)"
"1","元大","9940","8089"
"2","凱基","3530","5805"
"3","富邦","3083","2531"
"4","國泰綜合","2626","1883"
"5","群益","2158","2344"
"6","台新","1265","2551"
"7","永豐金","1854","1447"
"8","華南永昌","1230","1315"
"9","元富","1180","860"
"10","統一","710","884"
"3","晟德(4123)"
"1","元大","7800","5525"
"2","凱基","3151","4843"
"3","富邦","1928","2096"
"4","永豐金","1533","1829"
"5","台新","751","2173"
"6","群益","1395","1496"
"7","統一","913","1792"
"8","國泰綜合","1414","1020"
"9","美商高盛亞","1340","737"
"10","國票","454","1340"
"4","茂迪(6244)"
"1","元大","5595","5273"
"2","凱基","2831","2498"
"3","富邦","2540","1694"
"4","國泰綜合","1719","1371"
"5","群益","936","1297"
"6","永豐金","1276","915"
"7","星洲瑞銀","137","1776"
"8","統一","749","936"
"9","兆豐","794","606"
"10","台新","544","775"
"5","金居(8358)"
"1","元大","4061","3905"
"2","凱基","2219","2410"
"3","富邦","1509","1293"
"4","國泰綜合","1588","919"
"5","群益","1048","1212"
"6","永豐金","1021","924"
"7","華南永昌","626","726"
"8","元富","601","471"
"9","台新","570","471"
"10","摩根士丹利","0","902"
"6","良維(6290)"
"1","元大","1759","1955"
"2","凱基","1948","1675"
"3","富邦","1117","1175"
"4","摩根士丹利","1401","346"
"5","永豐金","680","859"
"6","群益","548","743"
"7","國泰綜合","701","476"
"8","兆豐","363","633"
"9","統一","561","404"
"10","美商高盛亞","238","694"
"7","陽程(3498)"
"1","元大","2099","2029"
"2","凱基","1873","2102"
"3","富邦","1057","712"
"4","永豐金","665","499"
"5","群益","499","656"
"6","國泰綜合","525","384"
"7","元富","426","457"
"8","統一","301","507"
"9","華南永昌","307","294"
"10","新光","292","258"
"8","元太(8069)"
"1","元大","1628","1161"
"2","凱基","593","1035"
"3","星洲瑞銀","1006","536"
"4","法銀巴黎證","0","1158"
"5","摩根士丹利","1081","2"
"6","大和國泰","0","969"
"7","美商高盛亞","736","232"
"8","富邦","543","281"
"9","摩根大通","622","94"
"10","永豐金","141","265"
"9","宏捷科(8086)"
"1","元大","1479","1453"
"2","凱基","1193","845"
"3","富邦","475","560"
"4","台新","229","801"
"5","群益","431","444"
"6","永豐金","496","283"
"7","國泰綜合","373","214"
"8","元富","329","242"
"9","新光","332","234"
"10","摩根大通","154","386"
"10","順達(3211)"
"1","元大","696","1163"
"2","群益","351","1272"
"3","凱基","903","590"
"4","富邦","732","728"
"5","永豐金","398","827"
"6","統一","518","145"
"7","台新","495","166"
"8","華南永昌","333","306"
"9","國泰綜合","301","300"
"10","元富","251","276"
"11","世界(5347)"
"1","元大","1514","797"
"2","凱基","754","1220"
"3","星洲瑞銀","190","819"
"4","富邦","611","298"
"5","中國信託證","142","627"
"6","大和國泰","0","595"
"7","國泰綜合","444","142"
"8","美商高盛亞","175","400"
"9","永豐金","344","215"
"10","群益","333","143"
"12","威剛(3260)"
"1","元大","923","942"
"2","凱基","940","781"
"3","群益","559","306"
"4","永豐金","260","600"
"5","富邦","323","386"
"6","星洲瑞銀","152","465"
"7","國泰綜合","212","349"
"8","國票","342","215"
"9","統一","278","240"
"10","美商高盛亞","140","311"
"13","榮剛(5009)"
"1","元大","1209","765"
"2","凱基","364","1173"
"3","群益","348","540"
"4","富邦","438","223"
"5","元富","259","236"
"6","統一","223","214"
"7","美商高盛亞","19","381"
"8","永豐金","296","102"
"9","國票","221","161"
"10","玉山證券","271","104"
"14","前鼎(4908)"
"1","富邦","1485","1127"
"2","元大","754","871"
"3","凱基","504","399"
"4","永豐金","258","338"
"5","兆豐","423","135"
"6","群益","210","288"
"7","統一","153","244"
"8","國泰綜合","117","229"
"9","華南永昌","98","220"
"10","元富","115","190"
"15","新復興(4909)"
"1","元大","1214","1172"
"2","凱基","494","660"
"3","群益","372","397"
"4","富邦","398","309"
"5","國泰綜合","254","232"
"6","統一","248","237"
"7","玉山證券","397","88"
"8","星洲瑞銀","117","336"
"9","元富","153","238"
"10","華南永昌","195","173"
"16","聯亞(3081)"
"1","元大","1605","1412"
"2","富邦","441","347"
"3","凱基","289","319"
"4","美商高盛亞","165","321"
"5","永豐金","265","214"
"6","統一","143","302"
"7","摩根士丹利","31","400"
"8","群益","281","142"
"9","國泰綜合","216","155"
"10","摩根大通","37","332"
"17","鈺創(5351)"
"1","元大","1187","990"
"2","凱基","562","466"
"3","富邦","246","372"
"4","元富","179","362"
"5","群益","277","194"
"6","永豐金","163","250"
"7","摩根大通","294","81"
"8","統一","261","110"
"9","兆豐","78","273"
"10","美商高盛亞","212","102"
"18","環球晶(6488)"
"1","元大","771","1067"
"2","凱基","819","591"
"3","富邦","465","263"
"4","星洲瑞銀","282","280"
"5","摩根士丹利","233","269"
"6","永豐金","143","332"
"7","美商高盛亞","248","164"
"8","國泰綜合","171","142"
"9","群益","163","135"
"10","華南永昌","101","163"
"19","臺慶科(3357)"
"1","元大","1075","926"
"2","凱基","487","576"
"3","富邦","295","528"
"4","永豐金","277","185"
"5","國泰綜合","261","189"
"6","華南永昌","349","67"
"7","美商高盛亞","31","329"
"8","台新","210","118"
"9","群益","155","166"
"10","摩根大通","3","266"
"20","萬旭(6134)"
"1","元大","1098","1002"
"2","凱基","374","631"
"3","富邦","403","283"
"4","群益","189","233"
"5","永豐金","232","190"
"6","美商高盛亞","55","298"
"7","國泰綜合","188","140"
"8","華南永昌","184","112"
"9","台新","180","101"
"10","元富","135","109"
"21","華容(5328)"
"1","凱基","1593","440"
"2","元大","726","913"
"3","富邦","232","409"
"4","統一","290","185"
"5","永豐金","104","257"
"6","群益","132","207"
"7","元富","107","174"
"8","摩根大通","137","130"
"9","國泰綜合","96","141"
