115年03月31日 截至11:26止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","光洋科(1785)"
"1","元大","8738","8577"
"2","凱基","4057","6137"
"3","富邦","2705","2302"
"4","國泰綜合","2438","2330"
"5","群益","2261","1938"
"6","美商高盛亞","957","2244"
"7","永豐金","1491","1522"
"8","統一","1447","1469"
"9","兆豐","1877","1028"
"10","星洲瑞銀","1720","934"
"2","穩懋(3105)"
"1","元大","8111","6461"
"2","凱基","3512","4962"
"3","永豐金","2237","2820"
"4","群益","1755","2228"
"5","富邦","2450","1481"
"6","國泰綜合","2791","990"
"7","摩根士丹利","504","2062"
"8","星洲瑞銀","504","1819"
"9","美商高盛亞","308","1504"
"10","元富","1224","514"
"3","金居(8358)"
"1","元大","5201","6004"
"2","凱基","3321","4104"
"3","富邦","2164","1618"
"4","國泰綜合","1547","1763"
"5","群益","1144","1655"
"6","永豐金","1210","1571"
"7","美商高盛亞","1308","888"
"8","星洲瑞銀","1358","188"
"9","華南永昌","634","635"
"10","美林證券","1154","90"
"4","富喬(1815)"
"1","元大","4761","4814"
"2","凱基","2012","2262"
"3","富邦","1565","1567"
"4","群益","852","1715"
"5","國泰綜合","1324","740"
"6","美商高盛亞","497","1276"
"7","永豐金","919","793"
"8","美林證券","1240","306"
"9","摩根士丹利","87","1274"
"10","統一","518","783"
"5","欣銓(3264)"
"1","元大","4809","4857"
"2","凱基","1740","2445"
"3","富邦","1515","1513"
"4","永豐金","1760","863"
"5","國泰綜合","1408","1040"
"6","群益","1246","1136"
"7","摩根士丹利","65","1451"
"8","玉山證券","1051","358"
"9","統一","674","532"
"10","摩根大通","194","995"
"6","頎邦(6147)"
"1","元大","3446","3792"
"2","凱基","3271","2457"
"3","富邦","980","2016"
"4","美商高盛亞","614","1304"
"5","永豐金","1125","528"
"6","美林證券","380","947"
"7","群益","806","480"
"8","星洲瑞銀","154","1051"
"9","國票","285","912"
"10","統一","600","458"
"7","鈦昇(8027)"
"1","元大","4061","3495"
"2","富邦","1360","2280"
"3","凱基","1386","1897"
"4","群益","996","867"
"5","永豐金","767","877"
"6","國泰綜合","776","593"
"7","台新","680","550"
"8","美商高盛亞","733","331"
"9","新光","377","444"
"10","摩根士丹利","494","86"
"8","立敦(6175)"
"1","元大","3570","3463"
"2","凱基","1505","1814"
"3","永豐金","1396","1175"
"4","富邦","942","1323"
"5","群益","651","838"
"6","國泰綜合","820","592"
"7","元富","398","441"
"8","華南永昌","488","341"
"9","兆豐","369","387"
"10","統一","265","424"
"9","東典光電(6588)"
"1","元大","2781","2281"
"2","凱基","1444","2802"
"3","富邦","885","821"
"4","國泰綜合","815","551"
"5","群益","744","581"
"6","永豐金","616","704"
"7","台新","463","311"
"8","元富","377","330"
"9","統一","347","328"
"10","新光","343","235"
"10","九豪(6127)"
"1","元大","2872","2584"
"2","凱基","1182","1252"
"3","富邦","753","920"
"4","群益","476","780"
"5","兆豐","281","788"
"6","國泰綜合","376","460"
"7","永豐金","366","380"
"8","元富","463","252"
"9","華南永昌","360","325"
"10","星洲瑞銀","390","259"
"11","擎亞(8096)"
"1","元大","2039","2333"
"2","凱基","713","1350"
"3","富邦","762","670"
"4","國泰綜合","784","379"
"5","永豐金","393","477"
"6","群益","475","356"
"7","華南永昌","398","190"
"8","新光","346","234"
"9","台新","276","273"
"10","統一","240","302"
"12","世界(5347)"
"1","美商高盛亞","3915","111"
"2","凱基","437","2171"
"3","元大","893","1182"
"4","摩根士丹利","459","984"
"5","星洲瑞銀","554","646"
"6","國泰綜合","877","149"
"7","摩根大通","245","469"
"8","美林證券","8","547"
"9","群益","125","379"
"10","台新","62","440"
"13","順達(3211)"
"1","元大","1477","1664"
"2","凱基","1394","1377"
"3","富邦","536","642"
"4","國泰綜合","452","416"
"5","群益","412","392"
"6","永豐金","310","415"
"7","華南永昌","286","298"
"8","統一","250","291"
"9","港商野村","254","248"
"10","星洲瑞銀","156","341"
"14","邑昇(5291)"
"1","元大","1944","1798"
"2","凱基","722","1020"
"3","富邦","792","690"
"4","永豐金","477","417"
"5","國泰綜合","492","362"
"6","群益","355","472"
"7","華南永昌","403","184"
"8","統一","160","324"
"9","元富","258","220"
"10","台新","281","191"
"15","磐亞(4707)"
"1","元大","1896","1391"
"2","凱基","906","1368"
"3","國泰綜合","645","360"
"4","富邦","621","377"
"5","新光","210","401"
"6","群益","418","167"
"7","永豐金","287","291"
"8","統一","64","495"
"9","美商高盛亞","58","454"
"10","美林證券","99","341"
"16","世紀*(5314)"
"1","元大","1563","1579"
"2","凱基","565","960"
"3","富邦","713","294"
"4","群益","310","548"
"5","兆豐","702","141"
"6","永豐金","332","356"
"7","統一","336","341"
"8","元富","242","316"
"9","美林證券","29","460"
"10","華南永昌","338","148"
"17","IET-KY(4971)"
"1","元大","1437","1312"
"2","凱基","614","911"
"3","富邦","609","702"
"4","國泰綜合","605","288"
"5","永豐金","429","333"
"6","統一","279","399"
"7","美商高盛亞","284","363"
"8","群益","298","309"
"9","台新","206","237"
"10","華南永昌","229","177"
"18","台嘉碩(3221)"
"1","元大","1448","1407"
"2","凱基","740","897"
"3","富邦","476","519"
"4","華南永昌","536","411"
"5","群益","432","419"
"6","國泰綜合","373","239"
"7","元富","340","181"
"8","美商高盛亞","195","320"
"9","永豐金","185","319"
"10","台新","171","239"
"19","台燿(6274)"
"1","元大","1206","1348"
"2","凱基","610","1079"
"3","群益","467","421"
