115年04月02日 截至12:35止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","頎邦(6147)"
"1","凱基","15436","9253"
"2","元大","10628","13636"
"3","富邦","12698","7947"
"4","統一","7488","3448"
"5","國票","4116","4922"
"6","永豐金","4821","3761"
"7","國泰綜合","2785","2345"
"8","群益","1377","3160"
"9","摩根士丹利","2039","1683"
"10","華南永昌","715","2349"
"2","穩懋(3105)"
"1","元大","13172","12607"
"2","凱基","5222","5452"
"3","國泰綜合","3520","3459"
"4","富邦","2855","3549"
"5","永豐金","2719","3263"
"6","群益","2779","2492"
"7","華南永昌","1089","1519"
"8","台新","1229","1372"
"9","統一","1022","1568"
"10","元富","1162","1342"
"3","威剛(3260)"
"1","元大","5993","5315"
"2","凱基","2800","2922"
"3","富邦","2017","1860"
"4","摩根大通","728","2137"
"5","國泰綜合","1638","1106"
"6","永豐金","1291","913"
"7","群益","1002","1136"
"8","元富","983","735"
"9","華南永昌","944","646"
"10","統一","677","913"
"4","富喬(1815)"
"1","元大","4585","4409"
"2","凱基","2235","2739"
"3","富邦","1728","1333"
"4","國泰綜合","1509","1147"
"5","永豐金","882","1369"
"6","群益","887","825"
"7","元富","558","1139"
"8","美商高盛亞","744","844"
"9","台新","752","615"
"10","中國信託證","501","653"
"5","光洋科(1785)"
"1","元大","3851","3376"
"2","凱基","1967","2331"
"3","富邦","1979","982"
"4","國泰綜合","1487","830"
"5","新光","605","1585"
"6","永豐金","1266","887"
"7","星洲瑞銀","872","1280"
"8","美商高盛亞","106","1829"
"9","群益","1048","600"
"10","摩根士丹利","106","1308"
"6","世界(5347)"
"1","凱基","1726","3234"
"2","元大","2848","1911"
"3","富邦","821","3037"
"4","群益","2076","571"
"5","星洲瑞銀","2108","204"
"6","新光","310","1893"
"7","摩根士丹利","413","1735"
"8","摩根大通","1443","215"
"9","港商麥格理","550","935"
"10","美林證券","100","1174"
"7","欣銓(3264)"
"1","元大","3567","3372"
"2","凱基","1899","2282"
"3","富邦","1777","1276"
"4","美商高盛亞","977","1216"
"5","統一","1340","625"
"6","群益","839","979"
"7","國泰綜合","945","811"
"8","永豐金","772","913"
"9","台新","466","654"
"10","元富","626","357"
"8","鈺創(5351)"
