"115年04月08日 截至12:00止 热门股券商进出排行(等价整股由大而小排列)"
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","富喬(1815)"
"1","元大","8742","13857"
"2","凱基","12520","9916"
"3","富邦","13370","6615"
"4","統一","4469","2013"
"5","國泰綜合","1743","4579"
"6","永豐金","2370","3888"
"7","台新","1631","4506"
"8","國票","2801","1625"
"9","新光","2254","2031"
"10","群益","1722","2482"
"2","擎亞(8096)"
"1","元大","8200","8519"
"2","富邦","3923","3056"
"3","凱基","2814","4074"
"4","國泰綜合","3189","2602"
"5","群益","2553","2101"
"6","永豐金","1809","2173"
"7","台新","1750","2232"
"8","統一","2050","1271"
"9","新光","2274","751"
"10","華南永昌","772","1865"
"3","穩懋(3105)"
"1","元大","7808","7369"
"2","凱基","3334","3955"
"3","永豐金","2048","2481"
"4","富邦","2041","2285"
"5","國泰綜合","2512","1808"
"6","台新","1688","1465"
"7","群益","1646","1388"
"8","美商高盛亞","745","1416"
"9","統一","894","1138"
"10","華南永昌","875","764"
"4","光洋科(1785)"
"1","元大","6456","7137"
"2","凱基","3300","4017"
"3","富邦","3496","3544"
"4","永豐金","2203","1461"
"5","台新","1439","1827"
"6","國泰綜合","1249","1798"
"7","群益","1527","1489"
"8","華南永昌","1103","1672"
"9","星洲瑞銀","1614","524"
"10","美商高盛亞","632","1451"
"5","世界(5347)"
"1","元大","4736","6367"
"2","凱基","2133","4470"
"3","摩根士丹利","4173","1078"
"4","花旗環球","3233","86"
"5","永豐金","2160","1097"
"6","國泰綜合","1936","1254"
"7","富邦","1083","1638"
"8","群益","1557","1154"
"9","台新","934","1190"
"10","星洲瑞銀","909","861"
"6","威剛(3260)"
"1","元大","3562","3581"
"2","凱基","2009","2519"
"3","摩根士丹利","1539","1168"
"4","富邦","1097","1100"
"5","群益","777","1331"
"6","台新","938","970"
"7","美商高盛亞","683","951"
"8","永豐金","782","761"
"9","摩根大通","918","465"
"10","國泰綜合","640","623"
"7","中探針(6217)"
"1","元大","3516","3045"
"2","富邦","1593","2299"
"3","凱基","1974","1896"
"4","國泰綜合","1327","806"
"5","群益","937","1101"
"6","永豐金","1157","822"
"7","台新","989","736"
"8","新光","463","883"
"9","摩根士丹利","129","1194"
"10","統一","480","634"
"8","頎邦(6147)"
"1","元大","6325","2317"
"2","富邦","3409","1911"
"3","凱基","2753","974"
"4","統一","1995","620"
"5","國票","1816","146"
"6","永豐金","231","1327"
"7","美商高盛亞","48","1364"
"8","兆豐","68","1257"
"9","國泰綜合","375","938"
"10","摩根大通","291","990"
"9","金居(8358)"
"1","元大","2418","3861"
"2","凱基","2375","1864"
"3","富邦","1937","1414"
"4","永豐金","1168","1306"
"5","統一","1634","367"
"6","國泰綜合","961","972"
"7","群益","780","887"
"8","台新","392","1187"
"9","華南永昌","233","694"
"10","摩根士丹利","884","6"
"10","萬泰科(6190)"
"1","元大","4632","3437"
"2","凱基","1786","2058"
"3","台新","927","1495"
"4","富邦","729","1383"
"5","群益","511","753"
"6","永豐金","502","735"
"7","國泰綜合","475","755"
"8","摩根士丹利","1180","42"
"9","華南永昌","504","683"
"10","統一","659","295"
"11","台燿(6274)"
"1","元大","2770","2974"
"2","凱基","1949","2094"
"3","富邦","1087","1693"
"4","美商高盛亞","1272","706"
"5","群益","895","614"
"6","國泰綜合","912","518"
"7","永豐金","718","596"
"8","摩根士丹利","297","979"
"9","統一","333","910"
"10","國票","304","871"
"12","建榮(5340)"
"1","元大","3083","3197"
"2","凱基","2164","2216"
"3","富邦","1239","1815"
"4","永豐金","930","793"
"5","群益","851","722"
"6","國泰綜合","628","913"
"7","台新","714","647"
"8","華南永昌","480","550"
"9","美商高盛亞","568","410"
"10","統一","534","439"
"13","宏捷科(8086)"
"1","元大","3315","2686"
"2","凱基","1649","2936"
"3","富邦","907","1339"
"4","群益","710","692"
"5","國泰綜合","629","572"
"6","永豐金","607","544"
"7","摩根大通","812","311"
"8","台新","622","492"
"9","統一","516","581"
"10","港商野村","223","603"
"14","鈦昇(8027)"
"1","元大","2761","1730"
"2","富邦","905","2471"
"3","凱基","735","2534"
"4","永豐金","908","576"
"5","國泰綜合","929","472"
"6","台新","720","513"
"7","群益","735","404"
"8","華南永昌","304","575"
"9","星洲瑞銀","230","394"
"10","兆豐","352","226"
"15","湧德(3689)"
"1","元大","2596","2325"
"2","富邦","1150","2644"
"3","凱基","998","1101"
"4","台新","953","702"
"5","群益","720","778"
"6","永豐金","724","491"
"7","美商高盛亞","378","369"
"8","新光","393","271"
"9","中國信託證","182","469"
