115年03月30日 截至12:35止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","光洋科(1785)"
"1","元大","14374","13014"
"2","凱基","5054","6586"
"3","富邦","4557","3234"
"4","國泰綜合","4848","2133"
"5","星洲瑞銀","1354","5420"
"6","永豐金","3668","2225"
"7","群益","2438","2624"
"8","台新","1908","2083"
"9","美商高盛亞","770","2857"
"10","摩根大通","1133","2222"
"2","穩懋(3105)"
"1","元大","6738","5574"
"2","凱基","4584","5255"
"3","富邦","2430","3445"
"4","永豐金","1848","2209"
"5","群益","1920","1860"
"6","國泰綜合","2066","1617"
"7","摩根士丹利","1378","1395"
"8","星洲瑞銀","453","1838"
"9","統一","985","1027"
"10","台新","908","1072"
"3","頎邦(6147)"
"1","凱基","6865","4780"
"2","元大","4241","6813"
"3","統一","639","4315"
"4","永豐金","2387","1166"
"5","國票","454","2910"
"6","富邦","1408","1690"
"7","群益","1963","1082"
"8","國泰綜合","1272","814"
"9","美商高盛亞","1046","861"
"10","星洲瑞銀","1155","702"
"4","擎亞(8096)"
"1","元大","5351","5957"
"2","凱基","2845","4409"
"3","富邦","2268","1825"
"4","國泰綜合","1990","1373"
"5","群益","1443","1465"
"6","永豐金","1463","1270"
"7","華南永昌","1146","912"
"8","台新","925","774"
"9","統一","614","850"
"10","元富","732","622"
"5","台嘉碩(3221)"
"1","元大","5003","4143"
"2","凱基","1510","3633"
"3","富邦","1790","1598"
"4","群益","1339","1119"
"5","華南永昌","1289","1081"
"6","國泰綜合","1414","913"
"7","永豐金","962","908"
"8","台新","807","492"
"9","統一","396","888"
"10","元富","459","788"
"6","富喬(1815)"
"1","元大","3821","3191"
"2","凱基","1939","1505"
"3","富邦","1323","901"
"4","統一","487","1261"
"5","星洲瑞銀","298","1330"
"6","國泰綜合","938","680"
"7","群益","796","601"
"8","永豐金","716","662"
"9","摩根士丹利","388","937"
"10","新光","556","477"
"7","鈦昇(8027)"
"1","元大","2704","3254"
"2","凱基","4022","1713"
"3","富邦","1273","1104"
"4","永豐金","993","969"
"5","群益","574","886"
"6","國泰綜合","469","557"
"7","台新","454","427"
"8","美商高盛亞","444","364"
"9","統一","299","381"
"10","華南永昌","227","429"
"8","世界(5347)"
"1","國泰綜合","940","3302"
"2","元大","1978","1653"
"3","凱基","1542","1074"
"4","美商高盛亞","781","579"
"5","摩根士丹利","416","664"
"6","富邦","516","561"
"7","摩根大通","569","257"
"8","星洲瑞銀","171","622"
"9","福邦","695","34"
"10","群益","254","407"
"9","東典光電(6588)"
"1","元大","2184","2248"
"2","凱基","1247","1674"
"3","富邦","1136","1033"
"4","國泰綜合","662","565"
"5","群益","587","520"
"6","永豐金","494","363"
"7","元富","380","440"
"8","摩根大通","433","355"
"9","玉山證券","404","359"
"10","華南永昌","389","324"
"10","順達(3211)"
"1","元大","2102","2008"
"2","凱基","1318","1487"
"3","永豐金","860","918"
"4","富邦","679","633"
"5","國泰綜合","723","444"
"6","群益","640","496"
"7","台新","320","554"
"8","華南永昌","476","358"
"9","美商高盛亞","340","435"
"10","星洲瑞銀","109","568"
"11","IET-KY(4971)"
"1","元大","2238","2501"
"2","凱基","1529","1393"
"3","富邦","725","971"
"4","國泰綜合","753","575"
"5","永豐金","600","525"
"6","美商高盛亞","619","483"
"7","群益","500","558"
"8","華南永昌","268","387"
"9","統一","324","275"
"10","新光","276","233"
"12","泰藝(8289)"
"1","凱基","2062","3323"
"2","元大","1979","1668"
"3","永豐金","1036","285"
"4","富邦","694","479"
"5","群益","329","569"
"6","國泰綜合","367","240"
"7","統一","283","275"
"8","華南永昌","317","206"
"9","兆豐","241","264"
"10","元富","230","218"
"13","金居(8358)"
"1","元大","1757","1952"
"2","凱基","1139","1426"
"3","國泰綜合","627","734"
"4","群益","531","605"
"5","永豐金","430","704"
"6","富邦","497","562"
"7","港商野村","600","345"
"8","美商高盛亞","477","227"
"9","兆豐","402","149"
"10","統一","159","268"
"14","泰谷(3339)"
"1","元大","2196","1825"
"2","凱基","1147","1481"
"3","富邦","497","597"
"4","永豐金","564","501"
"5","群益","557","501"
"6","國泰綜合","391","304"
"7","元富","324","308"
"8","華南永昌","338","286"
"9","兆豐","363","199"
"10","國票","127","410"
"15","世紀*(5314)"
"1","元大","1650","1914"
"2","凱基","1665","1051"
"3","富邦","588","602"
"4","華南永昌","447","436"
"5","群益","509","326"
"6","國泰綜合","411","374"
"7","永豐金","349","417"
"8","兆豐","340","386"
"9","元富","260","400"
"10","台新","241","244"
"16","台燿(6274)"
"1","元大","1431","1446"
"2","凱基","873","1205"
"3","富邦","733","483"
"4","國泰綜合","612","279"
"5","永豐金","489","346"
"6","美商高盛亞","341","492"
"7","星洲瑞銀","105","580"
"8","摩根士丹利","184","481"
"9","群益","319","307"
"10","摩根大通","163","343"
"17","東捷(8064)"
"1","元大","1746","1534"
"2","凱基","831","1191"
"3","富邦","631","771"
"4","永豐金","298","1030"
"5","群益","270","545"
"6","星洲瑞銀","480","148"
"7","元富","270","242"
"8","華南永昌","343","150"
"9","港商野村","217","229"
"10","玉山證券","235","207"
"18","聯寶(6821)"
"1","元大","1208","1300"
"2","凱基","1035","1219"
"3","永豐金","667","670"
"4","富邦","577","541"
"5","群益","325","367"
"6","國泰綜合","306","284"
"7","元富","211","271"
"8","華南永昌","220","232"
"9","統一","229","210"
"10","兆豐","133","162"
"19","威剛(3260)"
"1","凱基","557","1034"
"2","元大","764","527"
"3","富邦","827","374"
"4","統一","593","507"
"5","美商高盛亞","212","852"
"6","摩根士丹利","281","509"
"7","群益","390","223"
"8","永豐金","331","195"
"9","元富","261","142"
"10","兆豐","199","179"
"20","中美晶(5483)"
"1","元大","1005","662"
"2","凱基","790","722"
"3","富邦","429","542"
"4","群益","221","656"
"5","美林證券","405","360"
"6","美商高盛亞","258","506"
"7","摩根士丹利","440","143"
"8","統一","273","143"
"9","永豐金","279","129"
"10","康和","84","278"
"21","欣銓(3264)"
"1","元大","1117","1115"
"2","凱基","547","755"
"3","富邦","684","578"
"4","永豐金","446","195"
"5","摩根士丹利","346","254"
"6","國泰綜合","290","250"
"7","群益","243","262"
"8","元富","205","172"
"9","玉山證券","188","181"
"10","新光","219","126"
"22","群聯(8299)"
"1","元大","1137","1258"
"2","凱基","719","866"
"3","富邦","396","424"
"4","國泰綜合","205","283"
"5","永豐金","192","285"
"6","美商高盛亞","212","235"
"7","群益","200","186"
"8","新光","174","153"
"9","美林證券","148","151"
"10","統一","143","138"
"23","萬泰科(6190)"
"1","元大","1134","1026"
"2","凱基","304","777"
"3","富邦","496","188"
"4","群益","247","383"
"5","國泰綜合","324","221"
"6","永豐金","265","221"
"7","元富","329","91"
"8","美林證券","36","310"
"9","美商高盛亞","40","283"
"10","華南永昌","158","139"
"24","元太(8069)"
"1","摩根士丹利","1429","546"
"2","元大","828","561"
"3","國泰綜合","117","627"
"4","凱基","208","489"
"5","永豐金","173","415"
"6","美商高盛亞","69","390"
"7","富邦","353","48"
"8","華南永昌","95","261"
"9","群益","214","139"
"10","港商野村","9","242"
"25","茂迪(6244)"
"1","元大","824","1101"
"2","凱基","734","443"
"3","美商高盛亞","657","68"
"4","富邦","255","363"
"5","國泰綜合","182","302"
"6","群益","308","144"
"7","摩根士丹利","367","19"
"8","永豐金","142","237"
"9","星洲瑞銀","164","197"
"10","華南永昌","116","178"
"26","長科*(6548)"
"1","元大","796","1144"
"2","凱基","782","635"
"3","新光","372","233"
"4","美商高盛亞","130","455"
"5","群益","371","190"
"6","富邦","211","187"
"7","永豐金","233","126"
"8","國泰綜合","134","219"
"9","康和","154","143"
"10","兆豐","220","62"
"27","達航科技(4577)"
"1","元大","800","786"
"2","富邦","341","729"
"3","凱基","453","549"
"4","永豐金","307","314"
"5","兆豐","117","377"
"6","群益","203","246"
"7","摩根大通","259","148"
"8","國泰綜合","264","140"
"9","美商高盛亞","280","82"
"10","新光","104","186"
"28","宏捷科(8086)"
"1","元大","1533","692"
"2","星洲瑞銀","149","812"
"3","凱基","433","522"
"4","摩根士丹利","111","319"
"5","富邦","294","130"
"6","群益","136","235"
"7","康和","28","319"
"8","永豐金","229","106"
"9","國泰綜合","211","90"
"10","美林證券","5","295"
"29","聯光通(4903)"
"1","元大","1000","1084"
"2","凱基","500","600"
"3","富邦","351","307"
"4","群益","156","267"
"5","永豐金","141","233"
"6","港商野村","134","212"
"7","元富","245","89"
"8","華南永昌","137","112"
"9","玉山證券","186","46"
"10","統一","93","133"
"30","良維(6290)"
"1","元大","816","454"
"2","兆豐","150","1032"
"3","凱基","519","584"
"4","國泰綜合","185","394"
"5","統一","222","196"
"6","永豐金","212","185"
"7","美商高盛亞","162","217"
"8","富邦","247","100"
"9","華南永昌","151","169"
"10","群益","189","96"
