115年02月23日 截至11:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","13880","18839"
"2","凱基","9543","12264"
"3","富邦","11745","9407"
"4","統一","7164","8872"
"5","國泰綜合","4025","4795"
"6","星洲瑞銀","7049","1746"
"7","永豐金","4354","4436"
"8","國票","2559","5039"
"9","群益","2521","4559"
"10","摩根士丹利","5510","626"
"2","穩懋(3105)"
"1","元大","8531","7413"
"2","元富","3747","4105"
"3","富邦","2580","3399"
"4","凱基","3307","2224"
"5","摩根士丹利","1682","3651"
"6","港商麥格理","0","4496"
"7","美林證券","2215","766"
"8","港商野村","2499","63"
"9","群益","1065","1141"
"10","永豐金","1052","1133"
"3","茂迪(6244)"
"1","元大","5380","5285"
"2","凱基","2840","2157"
"3","富邦","2471","2315"
"4","群益","1424","1375"
"5","國泰綜合","1033","1238"
"6","永豐金","994","1203"
"7","華南永昌","1019","748"
"8","元富","859","869"
"9","台新","757","728"
"10","摩根士丹利","659","770"
"4","華星光(4979)"
"1","元大","4062","4824"
"2","凱基","2133","2557"
"3","富邦","1896","1760"
"4","永豐金","1236","1182"
"5","國泰綜合","958","1283"
"6","群益","930","1262"
"7","摩根士丹利","1276","363"
"8","美商高盛亞","955","605"
"9","星洲瑞銀","1277","213"
"10","統一","851","608"
"5","威剛(3260)"
"1","元大","3057","3142"
"2","凱基","3120","2943"
"3","國泰綜合","1515","1003"
"4","星洲瑞銀","347","2052"
"5","富邦","1113","891"
"6","群益","892","795"
"7","美商高盛亞","644","911"
"8","永豐金","762","779"
"9","台新","1137","236"
"10","元富","473","608"
"6","中探針(6217)"
"1","元大","3058","3592"
"2","凱基","1974","1962"
"3","富邦","942","1729"
"4","永豐金","990","1174"
"5","群益","683","1031"
"6","元富","841","811"
"7","美商高盛亞","1007","589"
"8","國泰綜合","659","749"
"9","星洲瑞銀","1085","262"
"10","統一","563","571"
"7","世界(5347)"
"1","美商高盛亞","3798","649"
"2","元大","2001","2030"
"3","凱基","1235","2431"
"4","星洲瑞銀","1583","1665"
"5","華南永昌","1911","415"
"6","兆豐","228","2010"
"7","富邦","1372","840"
"8","港商麥格理","204","1700"
"9","摩根大通","743","618"
"10","群益","559","713"
"8","系統電(5309)"
"1","元大","1737","2286"
"2","凱基","1774","908"
"3","富邦","476","1440"
"4","永豐金","353","794"
"5","統一","606","476"
"6","美商高盛亞","766","221"
"7","星洲瑞銀","759","121"
"8","元富","339","513"
"9","群益","253","555"
"10","華南永昌","321","448"
"9","良維(6290)"
"1","元大","1732","2362"
"2","凱基","1767","938"
"3","群益","549","501"
"4","富邦","318","704"
"5","星洲瑞銀","674","347"
"6","美商高盛亞","726","230"
"7","國泰綜合","397","492"
"8","統一","373","487"
"9","永豐金","245","545"
"10","摩根士丹利","661","65"
"10","中光電(5371)"
"1","元大","1216","1744"
"2","凱基","1330","837"
"3","星洲瑞銀","1162","293"
"4","摩根士丹利","457","789"
"5","富邦","469","578"
"6","群益","603","424"
"7","元富","288","710"
"8","永豐金","357","441"
"9","美商高盛亞","321","457"
"10","國泰綜合","400","323"
"11","精材(3374)"
"1","凱基","2582","912"
"2","元大","1079","1321"
"3","永豐金","346","1677"
"4","美商高盛亞","869","78"
"5","富邦","219","589"
"6","星洲瑞銀","549","217"
"7","群益","306","410"
"8","摩根士丹利","614","19"
"9","國泰綜合","245","373"
"10","台新","76","527"
"12","凱崴(5498)"
"1","元大","1697","1467"
"2","凱基","780","971"
"3","富邦","657","709"
"4","美商高盛亞","608","425"
"5","國泰綜合","447","401"
"6","永豐金","412","323"
"7","群益","427","237"
"8","中國信託證","133","470"
"9","兆豐","306","274"
"10","統一","190","349"
"13","欣銓(3264)"
"1","凱基","1270","1361"
"2","元大","978","1046"
"3","永豐金","725","1158"
"4","國泰綜合","460","471"
"5","富邦","404","402"
"6","星洲瑞銀","454","125"
"7","美商高盛亞","315","167"
"8","兆豐","211","166"
"9","華南永昌","163","211"
"10","元富","255","99"
"14","聚和(6509)"
"1","元大","1141","1014"
"2","新光","582","502"
"3","美商高盛亞","158","768"
"4","凱基","330","475"
"5","群益","388","414"
"6","富邦","478","226"
"7","統一","319","335"
"8","台新","360","258"
"9","兆豐","403","166"
"10","永豐金","372","193"
"15","世紀*(5314)"
"1","元大","1131","1156"
"2","凱基","965","927"
"3","美林證券","693","433"
"4","永豐金","354","282"
"5","富邦","261","374"
"6","華南永昌","315","143"
"7","群益","178","277"
"8","元富","181","264"
"9","新光","221","203"
"10","國泰綜合","174","244"
"16","康和證(6016)"
"1","元大","800","1230"
"2","華南永昌","323","1361"
"3","群益","744","238"
"4","凱基","535","312"
"5","富邦","282","351"
"6","統一","235","356"
"7","永豐金","177","325"
"8","星洲瑞銀","412","1"
"9","摩根士丹利","404","0"
"10","美商高盛亞","303","98"
"17","萬泰科(6190)"
"1","凱基","1800","733"
"2","元大","677","1137"
"3","富邦","250","476"
"4","永豐金","355","305"
"5","兆豐","344","251"
"6","群益","222","307"
"7","美商高盛亞","329","126"
"8","新光","140","291"
"9","國泰綜合","113","280"
"10","元富","190","178"
"18","萬潤(6187)"
"1","元大","735","1262"
"2","凱基","896","548"
"3","富邦","908","427"
"4","美商高盛亞","504","188"
"5","群益","207","482"
"6","摩根士丹利","544","17"
"7","星洲瑞銀","377","184"
"8","美林證券","451","55"
"9","國泰綜合","82","363"
"10","兆豐","102","252"
"19","德宏(5475)"
"1","凱基","865","1127"
"2","國票","394","1050"
"3","元大","745","334"
"4","富邦","408","594"
"5","群益","380","337"
"6","永豐金","289","382"
"7","元富","291","342"
"8","統一","76","506"
"9","美商高盛亞","422","42"
"10","國泰綜合","206","118"
"20","前鼎(4908)"
"1","元大","1425","1290"
"2","凱基","701","879"
"3","富邦","396","830"
"4","永豐金","413","275"
"5","美商高盛亞","321","344"
"6","群益","391","237"
"7","國泰綜合","279","161"
"8","元富","195","210"
"9","華南永昌","133","180"
"10","統一","161","122"
"21","高技(5439)"
"1","元大","992","745"
"2","凱基","643","827"
"3","富邦","545","212"
"4","群益","160","561"
"5","永豐金","376","146"
"6","美林證券","144","320"
"7","摩根士丹利","29","377"
"8","國票","190","194"
"9","美商高盛亞","74","308"
"10","國泰綜合","286","75"
"22","鈺創(5351)"
"1","元大","901","992"
"2","凱基","677","508"
"3","富邦","266","381"
"4","美商高盛亞","555","90"
"5","摩根士丹利","334","271"
"6","永豐金","163","389"
"7","群益","215","319"
"8","摩根大通","371","15"
"9","華南永昌","119","238"
"10","台新","93","232"
"23","上詮(3363)"
"1","元大","645","1009"
"2","富邦","1029","396"
"3","凱基","462","600"
"4","永豐金","215","365"
"5","摩根士丹利","237","286"
"6","華南永昌","188","233"
"7","摩根大通","336","84"
"8","群益","210","206"
"9","台新","246","104"
"10","元富","112","164"
"24","台燿(6274)"
"1","凱基","508","840"
"2","元大","561","702"
"3","花旗環球","1097","0"
"4","富邦","382","319"
"5","永豐金","175","371"
"6","摩根士丹利","65","387"
"7","美商高盛亞","214","224"
"8","國泰綜合","230","197"
"9","群益","183","241"
"10","星洲瑞銀","157","262"
"25","致和證(5864)"
"1","元大","1201","697"
"2","凱基","747","610"
"3","元富","331","1022"
"4","群益","328","359"
"5","永豐金","281","163"
"6","美商高盛亞","308","129"
"7","富邦","116","268"
"8","摩根士丹利","220","85"
"9","台新","122","182"
"10","摩根大通","166","45"
"26","信昌電(6173)"
"1","元大","881","804"
"2","凱基","579","408"
"3","美商高盛亞","395","398"
"4","富邦","308","279"
"5","國泰綜合","272","271"
"6","群益","174","302"
"7","永豐金","169","237"
"8","統一","321","74"
"9","華南永昌","137","229"
"10","元富","150","154"
"27","光環(3234)"
"1","元大","957","610"
"2","凱基","241","549"
"3","富邦","274","441"
"4","永豐金","291","398"
"5","美林證券","239","269"
"6","星洲瑞銀","152","276"
"7","美商高盛亞","27","384"
"8","群益","295","109"
"9","摩根大通","205","137"
"10","統一","237","95"
"28","方土昶(6265)"
"1","元大","746","862"
"2","富邦","395","545"
"3","凱基","397","319"
"4","美商高盛亞","292","237"
"5","兆豐","79","266"
"6","華南永昌","109","205"
"7","永豐金","102","203"
"8","星洲瑞銀","175","110"
"9","陽信證券","250","15"
"10","國泰綜合","116","135"
"29","環球晶(6488)"
"1","元大","626","578"
"2","凱基","562","394"
"3","港商麥格理","0","857"
"4","永豐金","218","229"
"5","摩根士丹利","220","220"
"6","星洲瑞銀","299","119"
"7","富邦","169","247"
"8","國泰綜合","176","146"
"9","摩根大通","159","132"
"10","統一","212","54"
"30","晟德(4123)"
"1","美商高盛亞","888","107"
"2","凱基","733","222"
"3","元大","330","515"
"4","永豐金","180","633"
"5","國票","10","658"
"6","群益","56","302"
"7","美林證券","264","60"
"8","摩根大通","305","14"
"9","兆豐","206","88"
"10","台新","221","68"
"共300筆"
