115年03月09日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","光洋科(1785)"
"1","元大","4551","5671"
"2","凱基","2559","2603"
"3","永豐金","1624","1136"
"4","華南永昌","870","1209"
"5","群益","884","1060"
"6","國泰綜合","923","886"
"7","富邦","684","1090"
"8","星洲瑞銀","1083","586"
"9","國票","1227","400"
"10","元富","404","912"
"2","威剛(3260)"
"1","元大","3220","3748"
"2","凱基","2471","2549"
"3","美商高盛亞","1780","715"
"4","富邦","1013","1272"
"5","永豐金","645","1591"
"6","摩根士丹利","2057","10"
"7","國泰綜合","709","1282"
"8","群益","539","1147"
"9","港商野村","1382","41"
"10","摩根大通","866","485"
"3","鈺創(5351)"
"1","元大","2984","3362"
"2","凱基","688","1963"
"3","富邦","1808","805"
"4","國泰綜合","885","1012"
"5","永豐金","720","843"
"6","星洲瑞銀","999","336"
"7","群益","562","669"
"8","美商高盛亞","569","526"
"9","元富","632","426"
"10","台新","407","590"
"4","茂迪(6244)"
"1","元大","2971","4750"
"2","凱基","1144","666"
"3","富邦","774","868"
"4","永豐金","692","546"
"5","國泰綜合","617","529"
"6","群益","574","445"
"7","元富","339","425"
"8","星洲瑞銀","334","375"
"9","統一","378","312"
"10","美商高盛亞","545","115"
"5","世界(5347)"
"1","元大","1375","1275"
"2","凱基","1516","816"
"3","美林證券","438","1648"
"4","摩根大通","295","1009"
"5","美商高盛亞","713","339"
"6","永豐金","310","627"
"7","星洲瑞銀","678","233"
"8","摩根士丹利","330","234"
"9","國泰綜合","208","340"
"10","富邦","270","209"
"6","富喬(1815)"
"1","元大","1291","1097"
"2","富邦","1184","576"
"3","統一","355","964"
"4","凱基","594","615"
"5","群益","339","863"
"6","永豐金","349","423"
"7","兆豐","336","396"
"8","國泰綜合","420","173"
"9","新光","178","387"
"10","華南永昌","390","147"
"7","晟德(4123)"
"1","元大","2489","1311"
"2","凱基","326","973"
"3","永豐金","399","519"
"4","富邦","368","395"
"5","國泰綜合","275","349"
"6","新光","95","425"
"7","美商高盛亞","195","302"
"8","華南永昌","327","139"
"9","群益","221","217"
"10","摩根大通","153","274"
"8","港建*(3093)"
"1","元大","1917","1494"
"2","凱基","451","831"
"3","群益","359","582"
"4","富邦","515","386"
"5","國泰綜合","396","225"
"6","華南永昌","280","265"
"7","元富","311","191"
"8","康和","160","314"
"9","統一","168","255"
"10","玉山證券","239","170"
"9","松瑞藥(4167)"
"1","元大","1386","1026"
"2","富邦","877","773"
"3","凱基","373","520"
"4","國泰綜合","335","164"
"5","永豐金","318","158"
"6","華南永昌","262","204"
"7","摩根大通","234","221"
"8","元富","249","77"
"9","統一","77","214"
"10","玉山證券","96","192"
"10","廣穎(4973)"
"1","凱基","1314","953"
"2","元大","742","967"
"3","群益","174","362"
"4","富邦","168","297"
"5","華南永昌","156","299"
"6","奔亞","340","23"
"7","港商野村","361","0"
"8","美林證券","249","55"
"9","統一","163","122"
"10","永豐金","106","172"
"11","群聯(8299)"
"1","元大","901","594"
"2","凱基","624","677"
"3","富邦","329","452"
"4","永豐金","320","300"
"5","兆豐","117","466"
"6","美商高盛亞","252","295"
"7","摩根大通","225","208"
"8","群益","184","164"
"9","國泰綜合","167","158"
"10","統一","136","145"
"12","康和證(6016)"
"1","元大","674","676"
"2","永豐金","787","100"
"3","凱基","443","433"
"4","美商高盛亞","65","685"
"5","群益","118","468"
"6","富邦","197","367"
"7","華南永昌","105","405"
"8","星洲瑞銀","76","424"
"9","美好","357","11"
"10","元富","166","104"
"13","台燿(6274)"
"1","元大","775","755"
"2","凱基","516","565"
"3","永豐金","202","527"
"4","群益","247","306"
"5","富邦","318","182"
"6","摩根士丹利","400","25"
"7","美商高盛亞","115","233"
"8","星洲瑞銀","9","330"
"9","華南永昌","179","151"
"10","國泰綜合","215","67"
"14","順達(3211)"
"1","元大","629","583"
"2","永豐金","608","467"
"3","凱基","352","472"
"4","富邦","292","472"
"5","國泰綜合","219","226"
"6","摩根大通","42","396"
"7","統一","74","306"
"8","群益","265","71"
"9","摩根士丹利","307","26"
"10","華南永昌","198","76"
"15","宏捷科(8086)"
"1","元大","1009","937"
"2","凱基","249","583"
"3","美林證券","465","53"
"4","摩根士丹利","403","78"
"5","富邦","122","269"
"6","群益","132","232"
"7","永豐金","141","177"
"8","港商野村","299","0"
"9","華南永昌","108","191"
"10","元富","116","154"
"16","元太(8069)"
"1","元大","1099","796"
"2","美商高盛亞","66","635"
"3","凱基","527","148"
"4","摩根士丹利","150","380"
"5","華南永昌","52","450"
"6","永豐金","140","260"
"7","摩根大通","201","180"
"8","美林證券","192","163"
"9","星洲瑞銀","157","158"
"10","富邦","199","104"
"17","中美晶(5483)"
"1","元大","724","492"
"2","美商高盛亞","91","682"
"3","凱基","267","416"
"4","摩根士丹利","48","583"
"5","統一","380","122"
"6","國票","275","175"
"7","富邦","290","77"
"8","星洲瑞銀","89","219"
"9","永豐金","187","107"
"10","群益","209","82"
"18","中光電(5371)"
"1","元大","862","711"
"2","富邦","338","615"
"3","凱基","376","488"
"4","群益","132","331"
"5","國泰綜合","252","185"
"6","永豐金","165","189"
"7","美林證券","183","100"
"8","摩根士丹利","84","189"
"9","華南永昌","72","187"
"10","統一","146","78"
"19","合晶(6182)"
"1","元大","577","721"
"2","港商野村","1147","0"
"3","凱基","376","378"
"4","美商高盛亞","101","401"
"5","富邦","167","320"
"6","美林證券","164","221"
"7","永豐金","126","137"
"8","群益","156","77"
"9","國泰綜合","73","143"
"10","國票","10","204"
"20","致和證(5864)"
"1","元大","496","838"
"2","永豐金","877","92"
"3","凱基","225","427"
"4","兆豐","569","82"
"5","星洲瑞銀","64","289"
"6","美商高盛亞","41","294"
"7","摩根士丹利","22","250"
"8","富邦","108","142"
"9","第一金證券","175","43"
"10","元富","142","62"
"21","擎亞(8096)"
"1","元大","609","606"
"2","富邦","440","314"
"3","凱基","256","473"
"4","永豐金","141","486"
"5","美商高盛亞","294","263"
"6","國泰綜合","253","132"
"7","群益","165","171"
"8","星洲瑞銀","236","70"
"9","摩根士丹利","171","109"
"10","元富","110","167"
"22","長科*(6548)"
"1","元大","894","528"
"2","美商高盛亞","115","605"
"3","富邦","318","146"
"4","永豐金","127","254"
"5","群益","203","145"
"6","凱基","175","165"
"7","新光","129","209"
"8","統一","206","98"
"9","摩根士丹利","10","291"
"10","國泰綜合","254","41"
"23","榮剛(5009)"
"1","元大","904","431"
"2","永豐金","207","509"
"3","凱基","241","377"
"4","群益","110","394"
"5","兆豐","239","143"
"6","美商高盛亞","105","252"
"7","星洲瑞銀","91","250"
"8","富邦","152","86"
"9","元富","76","130"
"10","華南永昌","194","6"
"24","協易機(4533)"
"1","元大","799","577"
"2","凱基","188","614"
"3","富邦","405","164"
"4","永豐金","257","212"
"5","摩根大通","37","227"
"6","元富","166","75"
"7","國泰綜合","111","104"
"8","美商高盛亞","102","106"
"9","華南永昌","90","91"
"10","統一","80","89"
"25","新應材(4749)"
"1","元大","757","584"
"2","富邦","201","441"
"3","凱基","260","363"
"4","國泰綜合","166","104"
"5","群益","170","93"
"6","摩根大通","76","183"
"7","美商高盛亞","143","103"
"8","永豐金","101","138"
"9","星洲瑞銀","74","163"
"10","中國信託證","112","113"
"26","正德(2641)"
"1","元大","743","737"
"2","凱基","167","442"
"3","美商高盛亞","59","331"
"4","摩根士丹利","198","179"
"5","富邦","276","84"
"6","國泰綜合","265","87"
"7","星洲瑞銀","57","180"
"8","群益","142","82"
"9","美林證券","96","109"
"10","兆豐","44","120"
"27","鑫聯大投控(3709)"
"1","元大","732","812"
"2","凱基","678","509"
"3","永豐金","322","196"
"4","富邦","140","208"
"5","台新","37","190"
"6","星洲瑞銀","69","120"
"7","美商高盛亞","52","131"
"8","國泰綜合","112","57"
"9","新光","72","85"
"10","群益","99","52"
"28","世紀*(5314)"
"1","元大","524","525"
"2","凱基","267","361"
"3","美林證券","483","24"
"4","新光","50","457"
"5","永豐金","143","227"
"6","台新","76","222"
"7","富邦","135","95"
"8","國泰綜合","100","109"
"9","第一金證券","70","137"
"10","美商高盛亞","70","104"
"29","宜鼎(5289)"
"1","元大","672","484"
"2","凱基","239","426"
"3","富邦","254","112"
"4","永豐金","172","86"
"5","兆豐","79","165"
"6","摩根士丹利","40","191"
"7","國泰綜合","136","95"
"8","摩根大通","44","183"
"9","星洲瑞銀","130","84"
"10","群益","108","92"
"30","欣銓(3264)"
"1","元大","498","562"
"2","凱基","478","204"
"3","永豐金","228","174"
"4","美商高盛亞","62","228"
"5","星洲瑞銀","6","239"
"6","群益","78","166"
"7","港商麥格理","244","0"
"8","富邦","136","104"
"9","新光","147","41"
"10","美林證券","90","85"
"共300筆"
