115年01月16日 截至13:46止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","44491","46512"
"2","凱基","29848","27574"
"3","富邦","18085","20471"
"4","國泰綜合","14320","14351"
"5","永豐金","11541","12573"
"6","群益","9479","9377"
"7","星洲瑞銀","6575","6667"
"8","元富","5845","7381"
"9","統一","7294","5908"
"10","華南永昌","5769","6812"
"2","世界(5347)"
"1","凱基","11763","17318"
"2","元大","10584","12756"
"3","富邦","8554","8776"
"4","統一","5800","4448"
"5","星洲瑞銀","4754","3257"
"6","群益","3374","3479"
"7","永豐金","3178","2314"
"8","國票","3558","1852"
"9","國泰綜合","2406","2798"
"10","華南永昌","2072","3115"
"3","合晶(6182)"
"1","元大","9831","8295"
"2","凱基","5464","6775"
"3","富邦","3771","4870"
"4","國泰綜合","3695","2759"
"5","永豐金","2669","2138"
"6","玉山證券","2579","1198"
"7","群益","2142","1391"
"8","美商高盛亞","927","2567"
"9","星洲瑞銀","616","2723"
"10","元富","1756","1246"
"4","品安(8088)"
"1","元大","10144","6714"
"2","富邦","4582","6772"
"3","凱基","2913","2631"
"4","國泰綜合","2047","1883"
"5","永豐金","1696","2060"
"6","群益","1534","1388"
"7","星洲瑞銀","1165","1424"
"8","元富","873","1225"
"9","華南永昌","649","1070"
"10","美商高盛亞","915","783"
"5","華容(5328)"
"1","元大","7674","6138"
"2","凱基","4381","7786"
"3","富邦","4178","3966"
"4","國泰綜合","1461","1255"
"5","華南永昌","1164","1100"
"6","永豐金","1223","934"
"7","群益","1211","912"
"8","摩根大通","1815","12"
"9","元富","674","555"
"10","統一","380","693"
"6","蜜望實(8043)"
"1","元大","6181","5488"
"2","凱基","2407","2167"
"3","富邦","1868","2413"
"4","國泰綜合","1774","1424"
"5","永豐金","1354","1073"
"6","星洲瑞銀","1085","1335"
"7","統一","805","1076"
"8","群益","974","837"
"9","華南永昌","956","822"
"10","台新","844","714"
"7","穩懋(3105)"
"1","元大","3487","2784"
"2","凱基","2219","3813"
"3","富邦","2231","1691"
"4","永豐金","1339","1183"
"5","國泰綜合","1308","927"
"6","星洲瑞銀","649","1064"
"7","群益","861","554"
"8","新光","743","608"
"9","美商高盛亞","606","722"
"10","摩根士丹利","409","853"
"8","高鋒(4510)"
"1","元大","3584","3878"
"2","凱基","3042","2606"
"3","富邦","1696","1973"
"4","永豐金","1052","1016"
"5","國泰綜合","940","926"
"6","群益","963","856"
"7","元富","867","898"
"8","美商高盛亞","918","639"
"9","華南永昌","668","658"
"10","統一","665","646"
"9","亞電(4939)"
"1","元大","5176","4378"
"2","凱基","1938","4889"
"3","富邦","1868","1259"
"4","永豐金","963","869"
"5","國泰綜合","1017","726"
"6","群益","876","631"
"7","元富","895","539"
"8","玉山證券","930","404"
"9","台新","609","631"
"10","兆豐","606","630"
"10","信昌電(6173)"
"1","元大","4426","4008"
"2","凱基","2036","2197"
"3","富邦","1365","1479"
"4","星洲瑞銀","963","1229"
"5","永豐金","984","898"
"6","國泰綜合","834","794"
"7","統一","881","596"
"8","元富","752","715"
"9","群益","739","689"
"10","美商高盛亞","503","855"
"11","鑫科(3663)"
"1","元大","3644","3174"
"2","凱基","1772","2330"
"3","富邦","1435","925"
"4","永豐金","889","1303"
"5","統一","788","1265"
"6","群益","693","885"
"7","國泰綜合","886","626"
"8","元富","675","622"
"9","兆豐","496","605"
"10","新光","590","357"
"12","合正(5381)"
"1","元大","3463","3778"
"2","凱基","1941","1944"
"3","富邦","1405","1320"
"4","台新","1021","860"
"5","永豐金","965","651"
"6","群益","664","877"
"7","國泰綜合","860","624"
"8","華南永昌","513","561"
"9","元富","571","448"
"10","兆豐","423","564"
"13","協易機(4533)"
"1","富邦","4041","2150"
"2","元大","3008","2978"
"3","凱基","1730","1636"
"4","永豐金","981","905"
"5","群益","601","884"
"6","國泰綜合","752","722"
"7","中國信託證","253","964"
"8","華南永昌","737","375"
"9","玉山證券","420","413"
"10","兆豐","365","440"
"14","點序(6485)"
"1","元大","2384","2541"
"2","凱基","2503","1928"
"3","富邦","1879","1526"
"4","國泰綜合","1042","1234"
"5","永豐金","784","893"
"6","群益","640","703"
"7","統一","793","429"
"8","台新","426","435"
"9","兆豐","329","420"
"10","華南永昌","372","375"
"15","鉅橡(8074)"
"1","元大","3136","2933"
"2","凱基","1630","1574"
"3","富邦","1211","1675"
"4","國泰綜合","887","760"
"5","永豐金","747","645"
"6","群益","705","673"
"7","華南永昌","491","588"
"8","美商高盛亞","670","399"
"9","兆豐","536","484"
"10","統一","398","461"
"16","千如(3236)"
"1","元大","3362","3150"
"2","凱基","1229","1735"
"3","富邦","1218","1044"
"4","永豐金","1054","683"
"5","國泰綜合","746","761"
"6","群益","687","688"
"7","美商高盛亞","358","644"
"8","星洲瑞銀","364","626"
"9","兆豐","410","368"
"10","新光","412","360"
"17","建榮(5340)"
"1","凱基","931","4382"
"2","元大","2962","2023"
"3","富邦","2749","1613"
"4","華南永昌","1356","482"
"5","永豐金","755","945"
"6","統一","478","791"
"7","元富","499","426"
"8","國泰綜合","395","387"
"9","星洲瑞銀","689","61"
"10","群益","384","335"
"18","台半(5425)"
"1","元大","2623","2805"
"2","凱基","1872","1559"
"3","富邦","1004","1093"
"4","國泰綜合","727","837"
"5","美商高盛亞","912","596"
"6","永豐金","591","792"
"7","元富","550","528"
"8","群益","508","568"
"9","統一","543","496"
"10","兆豐","460","539"
"19","信音(6126)"
"1","凱基","2137","2219"
"2","元大","2281","2070"
"3","群益","795","1807"
"4","富邦","821","830"
"5","永豐金","618","564"
"6","國泰綜合","576","592"
"7","華南永昌","561","351"
"8","元富","428","434"
"9","兆豐","377","461"
"10","新光","426","307"
"20","東捷(8064)"
"1","元大","2319","2327"
"2","凱基","1972","1551"
"3","富邦","1109","1140"
"4","星洲瑞銀","853","658"
"5","永豐金","740","661"
"6","群益","631","517"
"7","國泰綜合","649","437"
"8","合庫","361","640"
"9","美商高盛亞","344","503"
"10","華南永昌","453","290"
"21","廣穎(4973)"
"1","元大","2353","2523"
"2","富邦","3105","1188"
"3","凱基","1682","1446"
"4","永豐金","349","776"
"5","群益","506","562"
"6","星洲瑞銀","560","390"
"7","國泰綜合","312","538"
"8","元富","362","463"
"9","台新","244","483"
"10","新光","318","393"
"22","九豪(6127)"
"1","元大","2774","2957"
"2","富邦","1424","1217"
"3","凱基","1163","1085"
"4","永豐金","787","1196"
"5","國泰綜合","763","669"
"6","群益","628","624"
"7","華南永昌","524","508"
"8","元富","342","402"
"9","統一","345","363"
"10","玉山證券","371","334"
"23","德宏(5475)"
"1","元大","1556","2076"
"2","凱基","1273","2167"
"3","富邦","1878","1205"
"4","統一","1084","519"
"5","永豐金","758","516"
"6","國泰綜合","687","520"
"7","元富","351","667"
"8","摩根大通","794","196"
"9","兆豐","517","453"
"10","華南永昌","314","503"
"24","康和證(6016)"
"1","元大","1217","1925"
"2","凱基","1013","1482"
"3","群益","729","1371"
"4","永豐金","1011","1002"
"5","富邦","763","1191"
"6","兆豐","669","973"
"7","華南永昌","1040","390"
"8","美商高盛亞","1146","60"
"9","國票","514","588"
