115年02月23日 截至12:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","13880","19022"
"2","凱基","9543","12313"
"3","富邦","11745","9462"
"4","統一","7575","8889"
"5","國泰綜合","4025","4877"
"6","永豐金","4354","4481"
"7","星洲瑞銀","7049","1757"
"8","國票","3045","5065"
"9","群益","2521","4595"
"10","摩根士丹利","5510","626"
"2","穩懋(3105)"
"1","元大","8531","7446"
"2","元富","3747","4114"
"3","富邦","2604","3413"
"4","凱基","3307","2236"
"5","摩根士丹利","1682","3651"
"6","港商麥格理","0","4496"
"7","美林證券","2215","766"
"8","港商野村","2499","63"
"9","群益","1065","1142"
"10","永豐金","1052","1147"
"3","茂迪(6244)"
"1","元大","5622","5779"
"2","凱基","3144","2257"
"3","富邦","2565","2729"
"4","群益","1631","1476"
"5","國泰綜合","1159","1384"
"6","永豐金","1076","1278"
"7","華南永昌","1084","856"
"8","元富","881","936"
"9","台新","828","792"
"10","摩根士丹利","712","808"
"4","華星光(4979)"
"1","元大","4624","5335"
"2","凱基","2736","2822"
"3","富邦","2088","2612"
"4","永豐金","1272","1353"
"5","國泰綜合","976","1380"
"6","群益","973","1320"
"7","摩根士丹利","1396","363"
"8","星洲瑞銀","1509","213"
"9","美商高盛亞","960","605"
"10","統一","873","648"
"5","世界(5347)"
"1","元大","2913","2298"
"2","美商高盛亞","4076","793"
"3","凱基","1471","2569"
"4","星洲瑞銀","1777","1708"
"5","兆豐","260","3039"
"6","港商麥格理","204","3000"
"7","富邦","1931","979"
"8","華南永昌","2065","456"
"9","摩根大通","1461","620"
"10","摩根士丹利","603","731"
"6","威剛(3260)"
"1","凱基","3338","3172"
"2","元大","3187","3319"
"3","國泰綜合","1785","1119"
"4","星洲瑞銀","354","2073"
"5","富邦","1173","959"
"6","群益","1013","855"
"7","美商高盛亞","710","1047"
"8","永豐金","810","913"
"9","台新","1372","279"
"10","元富","541","710"
"7","中探針(6217)"
"1","元大","3189","3797"
"2","凱基","2064","2031"
"3","富邦","1007","1824"
"4","永豐金","1008","1272"
"5","群益","709","1061"
"6","元富","853","856"
"7","美商高盛亞","1069","589"
"8","國泰綜合","670","801"
"9","星洲瑞銀","1205","262"
"10","統一","565","595"
"8","系統電(5309)"
"1","元大","1879","2481"
"2","凱基","1951","1036"
"3","富邦","535","1510"
"4","永豐金","382","868"
"5","統一","623","494"
"6","星洲瑞銀","829","186"
"7","美商高盛亞","769","243"
"8","元富","359","533"
"9","群益","286","596"
"10","華南永昌","332","489"
"9","精材(3374)"
"1","凱基","3186","1058"
"2","元大","1234","1648"
"3","永豐金","375","2410"
"4","美商高盛亞","1094","81"
"5","星洲瑞銀","881","236"
"6","富邦","314","724"
"7","摩根士丹利","1012","19"
"8","群益","382","506"
"9","國泰綜合","304","495"
"10","台新","85","584"
"10","良維(6290)"
"1","元大","1797","2476"
"2","凱基","1909","1091"
"3","富邦","422","768"
"4","群益","642","534"
"5","美商高盛亞","804","252"
"6","星洲瑞銀","684","347"
"7","國泰綜合","411","535"
"8","永豐金","293","617"
"9","統一","386","497"
"10","摩根士丹利","681","76"
"11","中光電(5371)"
"1","元大","1414","1807"
"2","凱基","1373","888"
"3","星洲瑞銀","1247","301"
"4","摩根士丹利","458","931"
"5","富邦","561","764"
"6","群益","630","504"
"7","元富","313","724"
"8","永豐金","459","452"
"9","美商高盛亞","321","551"
"10","國泰綜合","444","381"
"12","凱崴(5498)"
"1","元大","2318","1945"
"2","凱基","983","1076"
"3","富邦","835","887"
"4","美商高盛亞","676","564"
"5","國泰綜合","588","513"
"6","永豐金","499","407"
"7","群益","474","323"
"8","兆豐","377","402"
"9","中國信託證","166","529"
"10","華南永昌","235","432"
"13","欣銓(3264)"
"1","凱基","1396","1489"
"2","元大","1052","1177"
"3","永豐金","777","1173"
"4","國泰綜合","489","482"
"5","富邦","422","477"
"6","星洲瑞銀","506","125"
"7","美商高盛亞","321","192"
"8","兆豐","217","186"
"9","華南永昌","175","226"
"10","元富","261","113"
"14","康和證(6016)"
"1","元大","915","1611"
"2","華南永昌","347","1382"
"3","凱基","652","735"
"4","群益","854","344"
"5","富邦","313","476"
"6","統一","235","361"
"7","美商高盛亞","455","102"
"8","星洲瑞銀","540","1"
"9","永豐金","202","330"
"10","摩根士丹利","493","23"
"15","萬泰科(6190)"
"1","凱基","2072","876"
"2","元大","833","1427"
"3","永豐金","434","586"
"4","富邦","318","594"
"5","兆豐","365","307"
"6","群益","267","354"
"7","新光","214","315"
"8","國泰綜合","181","330"
"9","美商高盛亞","377","126"
"10","星洲瑞銀","418","75"
"16","世紀*(5314)"
"1","元大","1241","1277"
"2","凱基","1030","1033"
"3","美林證券","699","509"
"4","富邦","300","406"
"5","永豐金","363","323"
"6","華南永昌","432","157"
"7","群益","202","288"
"8","元富","198","269"
"9","國泰綜合","202","261"
"10","美商高盛亞","230","228"
"17","聚和(6509)"
"1","元大","1220","1108"
"2","新光","588","513"
"3","美商高盛亞","188","775"
"4","群益","418","483"
"5","凱基","361","535"
"6","富邦","519","263"
"7","統一","345","379"
"8","永豐金","444","218"
"9","台新","378","269"
"10","國泰綜合","300","305"
"18","萬潤(6187)"
"1","元大","773","1385"
"2","凱基","998","616"
"3","富邦","1000","456"
"4","美商高盛亞","522","195"
"5","群益","219","492"
"6","摩根士丹利","562","18"
"7","星洲瑞銀","380","188"
"8","美林證券","451","55"
"9","國泰綜合","97","386"
"10","兆豐","102","261"
"19","前鼎(4908)"
"1","元大","1533","1378"
"2","凱基","727","995"
"3","富邦","454","843"
"4","永豐金","456","350"
"5","群益","433","260"
"6","美商高盛亞","328","363"
"7","國泰綜合","295","181"
"8","元富","223","231"
"9","統一","194","145"
"10","兆豐","201","124"
"20","鈺創(5351)"
"1","元大","983","1144"
"2","凱基","754","545"
"3","美商高盛亞","576","180"
"4","富邦","336","408"
"5","摩根士丹利","335","318"
"6","群益","239","358"
"7","永豐金","172","405"
"8","摩根大通","415","23"
"9","華南永昌","144","264"
"10","國泰綜合","167","207"
"21","台燿(6274)"
"1","凱基","605","925"
"2","元大","705","823"
"3","花旗環球","1210","0"
"4","富邦","413","403"
"5","永豐金","195","418"
"6","美商高盛亞","270","319"
"7","星洲瑞銀","281","262"
"8","摩根士丹利","129","387"
"9","國泰綜合","247","245"
"10","群益","214","266"
"22","德宏(5475)"
"1","凱基","892","1128"
"2","國票","394","1050"
"3","元大","745","351"
"4","富邦","408","595"
"5","群益","380","337"
"6","永豐金","289","382"
"7","元富","291","342"
"8","統一","76","506"
"9","美商高盛亞","422","42"
"10","國泰綜合","206","119"
"23","高技(5439)"
"1","元大","1065","782"
"2","凱基","674","949"
"3","富邦","569","221"
"4","群益","169","562"
"5","永豐金","402","151"
"6","美林證券","144","322"
"7","摩根士丹利","29","385"
"8","國票","196","213"
"9","美商高盛亞","77","312"
"10","國泰綜合","306","78"
"24","致和證(5864)"
"1","元大","1615","973"
"2","凱基","859","778"
"3","元富","353","1047"
"4","群益","333","396"
"5","美商高盛亞","388","133"
"6","永豐金","291","163"
"7","富邦","153","281"
"8","台新","132","227"
"9","摩根士丹利","220","85"
"10","合庫","13","224"
"25","信昌電(6173)"
"1","元大","916","940"
"2","凱基","654","493"
"3","美商高盛亞","447","414"
"4","富邦","377","355"
"5","國泰綜合","303","300"
"6","群益","200","348"
"7","永豐金","206","264"
"8","元富","257","177"
"9","統一","330","87"
"10","華南永昌","139","239"
"26","光環(3234)"
"1","元大","1028","746"
"2","富邦","418","460"
"3","凱基","281","577"
"4","永豐金","320","420"
"5","美林證券","242","436"
"6","美商高盛亞","27","498"
"7","群益","393","129"
"8","星洲瑞銀","152","340"
"9","統一","286","102"
"10","國泰綜合","182","198"
"27","上詮(3363)"
"1","元大","699","1045"
"2","富邦","1042","418"
"3","凱基","464","610"
"4","永豐金","215","393"
"5","摩根士丹利","237","287"
"6","華南永昌","202","240"
"7","摩根大通","336","84"
"8","群益","210","210"
"9","台新","248","113"
"10","元富","117","175"
"28","元太(8069)"
"1","元大","473","971"
"2","星洲瑞銀","1018","353"
"3","美商高盛亞","394","470"
"4","凱基","324","523"
"5","國泰綜合","541","130"
"6","華南永昌","389","142"
"7","摩根士丹利","169","336"
"8","美林證券","148","275"
"9","富邦","176","238"
"10","兆豐","269","97"
"29","環球晶(6488)"
"1","元大","759","768"
"2","凱基","665","457"
"3","港商麥格理","0","1034"
"4","永豐金","250","342"
"5","富邦","197","311"
"6","摩根士丹利","278","223"
"7","星洲瑞銀","369","119"
"8","統一","361","59"
"9","國泰綜合","195","159"
"10","摩根大通","213","135"
"30","晟德(4123)"
"1","美商高盛亞","1010","133"
"2","凱基","852","282"
