115年03月11日 截至12:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"2","凱基","566","879"
"3","富邦","487","304"
"4","國泰綜合","314","317"
"5","群益","252","322"
"6","美商高盛亞","69","343"
"7","華南永昌","226","186"
"8","永豐金","214","140"
"9","兆豐","118","208"
"10","港商麥格理","300","0"
"23","系統電(5309)"
"1","元大","1790","671"
"2","凱基","420","1068"
"3","富邦","293","731"
"4","永豐金","275","213"
"5","群益","230","217"
"6","美商高盛亞","69","325"
"7","國泰綜合","165","121"
"8","華南永昌","116","151"
"9","玉山證券","143","109"
"10","兆豐","178","72"
"24","匯鑽科(8431)"
"1","元大","823","1053"
"2","凱基","905","203"
"3","富邦","357","458"
"4","元富","241","404"
"5","花旗環球","0","448"
"6","華南永昌","292","141"
"7","國票","142","290"
"8","永豐金","172","209"
"9","群益","118","195"
"10","台新","128","116"
"25","亞通(6179)"
"1","凱基","680","566"
"2","元大","545","604"
"3","群益","190","675"
"4","富邦","313","520"
"5","國票","288","524"
"6","永豐金","399","135"
"7","台新","92","256"
"8","新光","238","71"
"9","兆豐","157","129"
"10","美林證券","261","0"
"26","聯亞(3081)"
"1","元大","785","912"
"2","凱基","322","559"
"3","美商高盛亞","197","321"
"4","富邦","293","221"
"5","國泰綜合","268","171"
"6","星洲瑞銀","255","151"
"7","群益","241","149"
"8","摩根士丹利","83","296"
"9","元富","243","96"
"10","永豐金","192","137"
"27","頎邦(6147)"
"1","元大","464","723"
"2","凱基","753","331"
"3","美商高盛亞","577","52"
"4","摩根士丹利","423","57"
"5","永豐金","307","159"
"6","華南永昌","153","272"
"7","群益","226","195"
"8","富邦","138","270"
"9","台新","135","159"
"10","元富","104","144"
"28","方土昶(6265)"
"1","元大","761","521"
"2","凱基","543","468"
"3","富邦","474","334"
"4","永豐金","90","357"
"5","星洲瑞銀","198","206"
"6","華南永昌","183","203"
"7","美商高盛亞","160","209"
"8","國泰綜合","152","160"
"9","群益","122","163"
"10","港商野村","23","244"
"29","華容(5328)"
"1","元大","829","956"
"2","凱基","552","560"
"3","富邦","453","251"
"4","群益","170","256"
"5","美商高盛亞","55","262"
"6","華南永昌","178","87"
"7","元富","159","106"
"8","國泰綜合","156","82"
"9","永豐金","120","104"
"10","兆豐","99","113"
"30","凱崴(5498)"
"1","元大","697","809"
"2","凱基","436","399"
"3","富邦","360","343"
"4","永豐金","201","293"
"5","國泰綜合","197","196"
"6","群益","195","172"
"7","華南永昌","141","127"
"8","元富","98","164"
"9","台新","128","133"
"10","兆豐","96","128"
"共300筆"
