115年01月28日 截至12:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","華星光(4979)"
"1","元大","8015","10085"
"2","凱基","7210","7172"
"3","富邦","5426","5501"
"4","永豐金","2951","3396"
"5","國泰綜合","2542","3032"
"6","群益","2086","2431"
"7","統一","2942","1547"
"8","元富","1464","1719"
"9","國票","2303","869"
"10","華南永昌","1271","1888"
"2","世界(5347)"
"1","元大","9067","9342"
"2","凱基","5109","6428"
"3","富邦","3181","6161"
"4","星洲瑞銀","3618","3721"
"5","美商高盛亞","1876","3270"
"6","永豐金","2112","2651"
"7","摩根士丹利","4261","231"
"8","統一","1541","2871"
"9","國泰綜合","2679","1519"
"10","群益","2077","1698"
"3","擎亞(8096)"
"1","元大","9327","15279"
"2","凱基","7665","5552"
"3","富邦","3191","4078"
"4","群益","4221","2492"
"5","永豐金","2965","2805"
"6","國泰綜合","1866","2666"
"7","元富","1351","2038"
"8","新光","2290","997"
"9","華南永昌","996","1483"
"10","台新","1150","1294"
"4","協易機(4533)"
"1","元大","6505","7553"
"2","富邦","4311","4429"
"3","凱基","3907","3920"
"4","永豐金","2818","1721"
"5","元富","1665","1988"
"6","國泰綜合","1242","1354"
"7","玉山證券","525","1796"
"8","群益","1067","1089"
"9","統一","1008","1040"
"10","兆豐","1043","1005"
"5","穩懋(3105)"
"1","元大","5409","6764"
"2","凱基","3462","3439"
"3","富邦","1768","3086"
"4","永豐金","1798","2028"
"5","統一","1902","1819"
"6","摩根大通","2196","823"
"7","星洲瑞銀","1368","1388"
"8","國泰綜合","1000","1266"
"9","群益","1019","1188"
"10","美商高盛亞","1355","848"
"6","富喬(1815)"
"1","元大","6166","5801"
"2","凱基","4379","4504"
"3","星洲瑞銀","1198","3415"
"4","富邦","2161","2269"
"5","國泰綜合","1757","1502"
"6","群益","2038","1047"
"7","永豐金","1487","1040"
"8","美商高盛亞","933","1171"
"9","新光","894","849"
"10","華南永昌","924","589"
"7","凱崴(5498)"
"1","元大","7024","5643"
"2","富邦","1924","4333"
"3","凱基","2800","3418"
"4","國泰綜合","2708","863"
"5","永豐金","1418","1273"
"6","群益","1446","1043"
"7","統一","703","1325"
"8","美商高盛亞","569","1105"
"9","華南永昌","865","532"
"10","星洲瑞銀","104","1282"
"8","中探針(6217)"
"1","元大","4255","4755"
"2","凱基","2948","2777"
"3","富邦","1705","1537"
"4","群益","1182","1342"
"5","國泰綜合","1256","969"
"6","永豐金","1034","1125"
"7","兆豐","953","677"
"8","元富","888","739"
"9","華南永昌","658","756"
"10","新光","795","561"
"9","威剛(3260)"
"1","元大","3456","3568"
"2","凱基","2350","3082"
"3","美商高盛亞","1715","1548"
"4","富邦","1761","1149"
"5","群益","1104","1424"
"6","永豐金","1253","1134"
"7","摩根士丹利","629","1475"
"8","國泰綜合","1279","765"
"9","摩根大通","440","858"
"10","元富","534","455"
"10","方土昶(6265)"
"1","元大","4293","3919"
"2","凱基","2108","2480"
"3","富邦","2096","2084"
"4","永豐金","965","886"
"5","國泰綜合","872","895"
"6","華南永昌","605","932"
"7","元富","761","737"
"8","群益","742","680"
"9","統一","662","659"
"10","星洲瑞銀","414","844"
"11","茂迪(6244)"
"1","元大","4527","2949"
"2","凱基","1261","2802"
"3","富邦","2062","1294"
"4","群益","1001","2034"
"5","永豐金","831","1200"
"6","國泰綜合","1337","389"
"7","元富","729","718"
"8","摩根士丹利","0","1364"
"9","星洲瑞銀","411","885"
"10","兆豐","395","803"
"12","欣銓(3264)"
"1","元大","2805","2548"
"2","凱基","2608","2449"
"3","永豐金","1644","973"
"4","富邦","1034","1167"
"5","星洲瑞銀","728","1039"
"6","國泰綜合","930","648"
"7","群益","696","515"
"8","元富","624","584"
"9","兆豐","718","478"
"10","美商高盛亞","401","720"
"13","正德(2641)"
"1","元大","3047","2964"
"2","凱基","2268","1901"
"3","富邦","1449","1148"
"4","華南永昌","651","904"
"5","第一金證券","732","737"
"6","群益","816","557"
"7","永豐金","676","684"
"8","國泰綜合","637","510"
"9","統一","455","639"
"10","元富","477","427"
"14","鈺創(5351)"
"1","元大","2602","3500"
"2","凱基","1537","1970"
"3","富邦","2024","1379"
"4","美商高盛亞","876","828"
"5","群益","918","598"
"6","國泰綜合","604","653"
"7","永豐金","651","606"
"8","星洲瑞銀","638","494"
"9","美林證券","837","231"
"10","元富","453","505"
"15","波若威(3163)"
"1","元大","2803","3596"
"2","凱基","1627","2181"
"3","富邦","1987","1345"
"4","統一","1133","519"
"5","國泰綜合","811","755"
