115年03月20日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","穩懋(3105)"
"1","元大","7127","6497"
"2","凱基","4367","4883"
"3","富邦","3686","5053"
"4","群益","2579","1793"
"5","國泰綜合","2984","1160"
"6","統一","1322","2124"
"7","永豐金","1933","1400"
"8","美商高盛亞","1301","1933"
"9","國票","1260","1894"
"10","摩根士丹利","186","2868"
"2","富喬(1815)"
"1","元大","7895","6549"
"2","凱基","3684","4936"
"3","富邦","2816","3148"
"4","永豐金","2689","2925"
"5","星洲瑞銀","475","3596"
"6","國泰綜合","2359","1092"
"7","國票","1478","1557"
"8","群益","1607","1198"
"9","新光","1396","740"
"10","元富","1125","735"
"3","擎亞(8096)"
"1","元大","4253","5131"
"2","凱基","3349","3130"
"3","國泰綜合","1895","1778"
"4","永豐金","1839","1685"
"5","富邦","1380","1616"
"6","群益","916","1170"
"7","星洲瑞銀","955","909"
"8","摩根大通","1110","700"
"9","華南永昌","674","913"
"10","元富","951","624"
"4","九豪(6127)"
"1","凱基","4355","3701"
"2","元大","3017","3432"
"3","富邦","1142","1250"
"4","統一","1197","670"
"5","永豐金","918","857"
"6","華南永昌","848","833"
"7","國泰綜合","833","683"
"8","群益","620","865"
"9","元富","553","780"
"10","新光","425","850"
"5","華星光(4979)"
"1","元大","4162","4232"
"2","凱基","1708","2043"
"3","富邦","1370","1457"
"4","國泰綜合","1466","1176"
"5","永豐金","895","793"
"6","群益","722","796"
"7","美商高盛亞","721","530"
"8","元富","501","558"
"9","台新","537","501"
"10","玉山證券","549","443"
"6","光洋科(1785)"
"1","元大","3283","2067"
"2","永豐金","1471","1320"
"3","星洲瑞銀","76","2117"
"4","凱基","922","1262"
"5","摩根大通","629","1009"
"6","摩根士丹利","243","1392"
"7","富邦","975","517"
"8","國泰綜合","952","514"
"9","華南永昌","688","337"
"10","群益","581","371"
"7","佶優(5452)"
"1","元大","3308","4049"
"2","凱基","2342","1607"
"3","富邦","1460","1516"
"4","永豐金","1002","1559"
"5","群益","918","944"
"6","元富","670","669"
"7","國泰綜合","493","616"
"8","港商野村","896","106"
"9","統一","691","288"
"10","華南永昌","426","369"
"8","前鼎(4908)"
"1","元大","3255","3149"
"2","凱基","1546","2210"
"3","富邦","1069","1684"
"4","國泰綜合","1116","573"
"5","群益","796","849"
"6","永豐金","821","509"
"7","統一","273","938"
"8","星洲瑞銀","428","559"
"9","兆豐","663","165"
"10","美商高盛亞","367","416"
"9","金居(8358)"
"1","元大","3140","2381"
"2","凱基","1453","2422"
"3","群益","792","1080"
"4","國泰綜合","826","895"
"5","富邦","982","509"
"6","統一","609","838"
"7","永豐金","761","512"
"8","摩根大通","108","894"
"9","中國信託證","340","658"
"10","康和","730","174"
"10","方土昶(6265)"
"1","元大","3335","3604"
"2","凱基","1968","1493"
"3","富邦","1056","1019"
"4","國泰綜合","997","835"
"5","群益","834","940"
"6","永豐金","477","779"
"7","華南永昌","455","601"
"8","元富","455","579"
"9","美商高盛亞","481","542"
"10","統一","316","475"
"11","台燿(6274)"
"1","元大","3010","2719"
"2","凱基","1725","1605"
"3","富邦","991","1319"
"4","國泰綜合","926","530"
"5","星洲瑞銀","152","968"
"6","群益","513","513"
"7","永豐金","596","396"
"8","台新","415","428"
"9","摩根士丹利","318","440"
"10","華南永昌","495","252"
"12","環宇-KY(4991)"
"1","元大","2221","2624"
"2","凱基","2028","1938"
"3","富邦","896","1509"
"4","群益","902","840"
"5","永豐金","974","536"
"6","國泰綜合","903","587"
"7","美商高盛亞","424","617"
"8","元富","373","292"
"9","華南永昌","299","309"
"10","台新","291","239"
"13","合晶(6182)"
"1","元大","2995","2762"
"2","凱基","1747","1635"
"3","富邦","843","832"
"4","群益","523","694"
"5","國泰綜合","594","610"
"6","永豐金","481","668"
"7","摩根士丹利","325","775"
"8","華南永昌","510","392"
"9","兆豐","584","217"
"10","元富","313","385"
"14","頎邦(6147)"
"1","元大","2378","2407"
"2","凱基","1652","1721"
"3","富邦","991","1076"
"4","永豐金","575","933"
"5","群益","739","404"
"6","國泰綜合","626","341"
"7","國票","83","879"
"8","摩根士丹利","100","851"
"9","星洲瑞銀","149","613"
"10","元富","564","182"
"15","良維(6290)"
"1","凱基","1206","1648"
"2","元大","1479","1071"
"3","富邦","1134","707"
"4","美商高盛亞","391","1169"
"5","永豐金","796","688"
"6","國泰綜合","450","405"
"7","群益","446","373"
"8","國票","359","371"
"9","元富","375","302"
"10","統一","341","243"
"16","威剛(3260)"
"1","元大","1411","2745"
"2","凱基","1240","1126"
"3","富邦","1502","782"
"4","統一","484","902"
"5","永豐金","725","324"
"6","元富","276","655"
"7","群益","506","368"
"8","華南永昌","357","156"
"9","摩根士丹利","87","376"
"10","兆豐","346","110"
"17","茂迪(6244)"
"1","元大","1624","1963"
"2","凱基","938","872"
"3","富邦","658","663"
"4","華南永昌","478","556"
"5","摩根大通","11","958"
"6","永豐金","416","411"
"7","群益","416","349"
"8","國泰綜合","476","191"
"9","星洲瑞銀","139","451"
"10","元富","378","89"
"18","鈺創(5351)"
"1","統一","891","1166"
"2","元大","1245","706"
"3","富邦","770","908"
"4","永豐金","366","640"
"5","凱基","448","539"
"6","華南永昌","349","455"
"7","群益","381","409"
"8","國泰綜合","339","351"
"9","兆豐","282","224"
"10","元富","218","284"
"19","千如(3236)"
"1","元大","1956","1778"
"2","凱基","905","1211"
"3","群益","577","635"
"4","富邦","619","539"
"5","國泰綜合","513","322"
"6","永豐金","368","462"
"7","統一","238","310"
"8","兆豐","281","205"
"9","元富","256","169"
"10","國票","240","176"
"20","創威(6530)"
"1","元大","1090","1475"
"2","凱基","906","607"
"3","富邦","699","741"
"4","元富","254","509"
"5","統一","471","221"
"6","星洲瑞銀","443","94"
"7","群益","240","295"
"8","永豐金","192","329"
"9","國泰綜合","178","312"
"10","摩根大通","473","11"
"21","陽程(3498)"
"1","元大","1719","1722"
"2","凱基","710","665"
"3","富邦","579","418"
"4","群益","415","406"
"5","永豐金","326","365"
"6","元富","296","342"
"7","星洲瑞銀","119","347"
"8","統一","179","281"
"9","國泰綜合","277","183"
"10","台新","183","192"
"22","世界(5347)"
"1","元大","1575","1088"
"2","凱基","899","388"
"3","港商麥格理","0","1257"
"4","摩根大通","216","809"
"5","國泰綜合","201","776"
"6","摩根士丹利","672","147"
"7","美商高盛亞","199","391"
"8","星洲瑞銀","193","341"
"9","中國信託證","56","432"
"10","富邦","350","96"
"23","萬泰科(6190)"
"1","元大","1425","1287"
"2","凱基","830","727"
"3","富邦","494","495"
"4","國泰綜合","457","321"
"5","統一","267","325"
"6","永豐金","255","237"
"7","摩根士丹利","27","449"
"8","新光","224","205"
"9","元富","206","212"
"10","群益","205","212"
"24","位速(3508)"
"1","富邦","934","1792"
"2","元大","1174","897"
"3","凱基","412","420"
"4","摩根大通","289","511"
"5","永豐金","394","363"
"6","國泰綜合","265","225"
"7","華南永昌","330","155"
"8","群益","220","231"
"9","統一","270","157"
"10","台新","322","96"
"25","萬潤(6187)"
"1","富邦","1051","801"
"2","元大","716","1017"
"3","凱基","629","1024"
"4","星洲瑞銀","719","326"
"5","群益","300","287"
"6","兆豐","234","330"
"7","統一","387","146"
"8","國泰綜合","279","225"
"9","永豐金","199","241"
"10","美林證券","408","11"
"26","邑昇(5291)"
"1","元大","1546","1713"
"2","富邦","857","586"
"3","凱基","573","755"
"4","元富","269","335"
"5","華南永昌","298","294"
"6","統一","226","331"
"7","群益","263","273"
"8","國泰綜合","250","147"
"9","星洲瑞銀","169","220"
"10","永豐金","203","172"
"27","宜特(3289)"
"1","元大","1216","965"
"2","凱基","656","789"
"3","台新","232","1054"
"4","富邦","528","224"
"5","國泰綜合","339","242"
"6","永豐金","317","217"
"7","群益","296","219"
"8","摩根大通","156","184"
"9","星洲瑞銀","35","264"
"10","統一","132","166"
"28","順達(3211)"
"1","凱基","961","1021"
"2","元大","796","947"
"3","永豐金","360","431"
"4","富邦","348","317"
"5","群益","261","336"
"6","國泰綜合","211","249"
"7","國票","339","96"
"8","美商高盛亞","163","261"
"9","華南永昌","220","200"
"10","元富","169","234"
"29","營邦(3693)"
"1","元大","1137","843"
"2","凱基","698","1223"
"3","富邦","524","495"
"4","統一","400","527"
"5","群益","268","359"
"6","國泰綜合","358","207"
"7","永豐金","261","236"
"8","美商高盛亞","150","193"
"9","國票","65","264"
"10","兆豐","223","87"
"30","上詮(3363)"
"1","元大","1055","1122"
"2","富邦","849","715"
"3","凱基","440","654"
"4","永豐金","307","377"
"5","國泰綜合","374","254"
"6","台新","242","305"
"7","群益","285","259"
"8","美商高盛亞","253","255"
"9","統一","135","143"
"10","華南永昌","143","131"
"共300筆"
