115年04月07日 截至12:35止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","頎邦(6147)"
"1","元大","19349","17750"
"2","富邦","8084","13966"
"3","凱基","10215","10514"
"4","永豐金","9341","3906"
"5","國泰綜合","6886","5485"
"6","統一","4366","7227"
"7","群益","5702","2645"
"8","摩根士丹利","2918","4468"
"9","國票","3558","2433"
"10","台新","3188","2663"
"2","穩懋(3105)"
"1","元大","6548","7488"
"2","凱基","5038","3497"
"3","富邦","2099","2630"
"4","國泰綜合","1814","2403"
"5","永豐金","1995","1785"
"6","群益","1983","1741"
"7","台新","1201","1891"
"8","統一","1285","1342"
"9","華南永昌","860","1071"
"10","星洲瑞銀","1139","784"
"3","中探針(6217)"
"1","元大","5831","4794"
"2","富邦","3618","4964"
"3","凱基","2507","2599"
"4","永豐金","2305","1709"
"5","群益","1373","1263"
"6","國泰綜合","1558","1059"
"7","台新","1559","945"
"8","統一","1028","1006"
"9","華南永昌","1189","744"
"10","摩根大通","441","1047"
"4","世界(5347)"
"1","元大","2840","3508"
"2","凱基","2976","3112"
"3","摩根士丹利","5064","221"
"4","富邦","1199","2114"
"5","國泰綜合","1026","869"
"6","美林證券","488","1376"
"7","永豐金","797","1061"
"8","港商野村","1433","12"
"9","星洲瑞銀","952","401"
"10","台新","266","1037"
"5","富喬(1815)"
"1","元大","3797","3828"
"2","凱基","2547","2055"
"3","富邦","1133","1846"
"4","永豐金","1403","1154"
"5","國泰綜合","1008","1463"
"6","群益","582","954"
"7","台新","650","865"
"8","美商高盛亞","889","415"
"9","兆豐","345","712"
"10","統一","519","513"
"6","擎亞(8096)"
"1","元大","3483","3589"
"2","富邦","1781","1741"
"3","凱基","2061","1442"
"4","國泰綜合","1252","1277"
"5","群益","1051","1148"
"6","永豐金","836","936"
"7","台新","661","780"
"8","統一","808","551"
"9","第一金證券","484","664"
"10","華南永昌","492","594"
"7","威剛(3260)"
"1","元大","3480","3126"
"2","凱基","2573","2143"
"3","美商高盛亞","217","1834"
"4","群益","1024","595"
"5","永豐金","1181","435"
"6","摩根士丹利","46","1553"
"7","富邦","877","709"
"8","國泰綜合","879","549"
"9","台新","789","457"
"10","港商野村","217","823"
"8","光洋科(1785)"
"1","元大","3614","2988"
"2","凱基","1553","2025"
"3","富邦","939","1211"
"4","台新","1003","1060"
"5","國泰綜合","791","967"
"6","星洲瑞銀","1068","607"
"7","群益","812","638"
"8","永豐金","722","724"
"9","摩根士丹利","975","169"
"10","華南永昌","466","585"
"9","宏捷科(8086)"
"1","凱基","3205","1653"
"2","元大","1443","2533"
"3","富邦","1804","1977"
"4","摩根士丹利","731","558"
"5","港商野村","1093","62"
"6","台新","310","730"
"7","群益","557","437"
"8","永豐金","317","603"
"9","國泰綜合","188","454"
"10","摩根大通","479","83"
"10","波若威(3163)"
"1","元大","2171","1976"
"2","凱基","1425","2170"
"3","富邦","793","713"
"4","國泰綜合","842","605"
"5","永豐金","752","532"
"6","台新","519","540"
"7","群益","443","419"
"8","統一","426","262"
"9","美商高盛亞","357","308"
"10","摩根士丹利","47","561"
"11","鈺創(5351)"
"1","元大","2448","2195"
"2","凱基","1142","1244"
"3","富邦","1145","655"
"4","永豐金","674","511"
"5","群益","509","639"
"6","國泰綜合","748","298"
"7","摩根士丹利","15","901"
"8","台新","509","323"
"9","星洲瑞銀","169","594"
"10","兆豐","346","357"
"12","金居(8358)"
"1","元大","2157","2641"
"2","凱基","1423","1343"
"3","群益","1422","442"
"4","永豐金","774","808"
"5","國泰綜合","584","921"
"6","富邦","550","875"
"7","台新","355","480"
"8","星洲瑞銀","645","139"
"9","華南永昌","257","340"
"10","統一","357","216"
"13","台燿(6274)"
"1","元大","1534","2167"
"2","富邦","1690","801"
"3","凱基","1270","1028"
"4","國票","813","217"
"5","國泰綜合","395","585"
"6","統一","660","212"
"7","永豐金","256","509"
"8","台新","195","549"
"9","群益","249","467"
"10","華南永昌","141","384"
"14","鈦昇(8027)"
"1","元大","2106","1782"
"2","凱基","961","1036"
"3","富邦","518","1327"
"4","群益","692","528"
"5","國泰綜合","523","444"
"6","永豐金","513","324"
"7","台新","361","277"
"8","美商高盛亞","159","478"
"9","星洲瑞銀","278","353"
"10","華南永昌","316","267"
"15","德宏(5475)"
"1","台新","612","1531"
"2","富邦","558","1557"
"3","凱基","844","1115"
"4","元大","1202","751"
"5","永豐金","1067","223"
"6","國泰綜合","500","170"
"7","美林證券","232","422"
"8","摩根大通","338","209"
"9","群益","376","148"
"10","華南永昌","266","242"
