115年01月19日 截至13:46止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","22484","32084"
"2","富邦","27659","22950"
"3","凱基","17627","16655"
"4","統一","10728","6478"
"5","國泰綜合","7813","8982"
"6","永豐金","6810","9869"
"7","國票","8835","6275"
"8","星洲瑞銀","11140","3966"
"9","群益","7337","6320"
"10","兆豐","4117","3581"
"2","世界(5347)"
"1","元大","10507","8057"
"2","富邦","5364","7554"
"3","凱基","6028","6058"
"4","星洲瑞銀","3365","5583"
"5","永豐金","3399","3444"
"6","國泰綜合","3361","1669"
"7","美商高盛亞","1098","2659"
"8","華南永昌","2216","1503"
"9","美林證券","1789","1854"
"10","元富","1901","1672"
"3","中探針(6217)"
"1","元大","4883","5871"
"2","凱基","4926","3612"
"3","永豐金","2168","1892"
"4","富邦","1493","1912"
"5","群益","1449","1630"
"6","台新","1826","1008"
"7","元富","1062","1707"
"8","國泰綜合","1287","1441"
"9","華南永昌","1078","1436"
"10","美商高盛亞","1475","764"
"4","協易機(4533)"
"1","元大","5909","5361"
"2","凱基","3787","3828"
"3","富邦","2205","5165"
"4","國泰綜合","2013","1549"
"5","永豐金","1754","1442"
"6","群益","1764","1076"
"7","華南永昌","965","1077"
"8","兆豐","1111","786"
"9","元富","1028","766"
"10","統一","946","797"
"5","信昌電(6173)"
"1","元大","5373","6042"
"2","凱基","3506","3513"
"3","富邦","2236","1943"
"4","永豐金","1798","1656"
"5","星洲瑞銀","1685","1186"
"6","國泰綜合","1246","1439"
"7","美商高盛亞","1330","1099"
"8","群益","1259","1015"
"9","元富","1066","1177"
"10","統一","743","837"
"6","凱崴(5498)"
"1","元大","6189","5964"
"2","凱基","1951","2465"
"3","富邦","2304","2027"
"4","國泰綜合","2443","1810"
"5","永豐金","1659","1576"
"6","群益","1478","1287"
"7","華南永昌","1163","1133"
"8","摩根大通","600","1326"
"9","台新","961","725"
"10","兆豐","839","566"
"7","蜜望實(8043)"
"1","元大","5229","5534"
"2","富邦","2398","2888"
"3","凱基","2182","2454"
"4","國泰綜合","1427","1345"
"5","永豐金","1533","1178"
"6","星洲瑞銀","1232","1041"
"7","群益","983","790"
"8","台新","809","761"
"9","華南永昌","790","623"
"10","統一","627","748"
"8","合晶(6182)"
"1","元大","4041","4671"
"2","凱基","2078","3433"
"3","富邦","1800","1551"
"4","國泰綜合","1240","1616"
"5","星洲瑞銀","1705","804"
"6","永豐金","1085","1143"
"7","美商高盛亞","1418","517"
"8","華南永昌","958","883"
"9","群益","898","809"
"10","兆豐","464","987"
"9","建榮(5340)"
"1","元大","3704","4877"
"2","凱基","3663","2640"
"3","富邦","2429","2871"
"4","國泰綜合","1131","1193"
"5","統一","1394","679"
"6","永豐金","1101","965"
"7","華南永昌","506","1484"
"8","星洲瑞銀","989","797"
"9","台新","410","1051"
"10","新光","658","623"
"10","台半(5425)"
"1","元大","3304","3901"
"2","凱基","2220","2210"
"3","富邦","1949","1367"
"4","兆豐","747","1353"
"5","永豐金","1047","1026"
"6","國泰綜合","1073","888"
"7","群益","1104","797"
"8","美商高盛亞","876","701"
"9","統一","771","794"
"10","星洲瑞銀","669","760"
"11","佶優(5452)"
"1","元大","4184","3050"
"2","富邦","1724","3409"
"3","凱基","2046","2851"
"4","永豐金","1143","686"
"5","國泰綜合","1025","745"
"6","群益","705","743"
"7","台新","700","601"
"8","元富","614","586"
"9","華南永昌","540","580"
"10","摩根大通","592","506"
"12","華電網(6163)"
"1","元大","3188","3242"
"2","凱基","2748","2977"
"3","富邦","1521","1619"
"4","永豐金","1465","1366"
"5","國泰綜合","809","836"
"6","群益","738","826"
"7","兆豐","605","571"
"8","新光","499","567"
"9","元富","522","493"
"10","台新","403","506"
"13","九豪(6127)"
"1","元大","3352","3570"
"2","凱基","2262","1738"
"3","富邦","1849","1335"
"4","國泰綜合","796","1180"
"5","群益","872","895"
"6","美商高盛亞","883","826"
"7","永豐金","797","854"
"8","星洲瑞銀","919","605"
"9","華南永昌","504","541"
"10","元富","467","453"
"14","華容(5328)"
"1","元大","2101","5593"
"2","富邦","1413","1951"
"3","凱基","1028","2228"
"4","中國信託證","2046","395"
"5","統一","1924","193"
"6","摩根大通","1681","1"
"7","國泰綜合","937","669"
"8","華南永昌","435","846"
"9","永豐金","703","540"
"10","元富","480","700"
"15","高鋒(4510)"
"1","元大","2882","2733"
"2","凱基","1757","2091"
"3","富邦","1626","1468"
"4","永豐金","1061","962"
"5","群益","793","872"
"6","兆豐","744","846"
"7","國泰綜合","759","668"
"8","元富","595","562"
"9","美商高盛亞","348","525"
"10","統一","492","375"
"16","鉅橡(8074)"
"1","元大","3106","3215"
"2","凱基","2258","2036"
"3","富邦","1324","1317"
"4","國泰綜合","843","926"
"5","永豐金","748","773"
"6","美商高盛亞","627","540"
"7","兆豐","618","524"
"8","台新","574","547"
"9","群益","504","609"
"10","華南永昌","587","473"
"17","千如(3236)"
"1","元大","3533","3232"
"2","凱基","1539","1632"
"3","富邦","1132","1184"
"4","永豐金","782","655"
"5","國泰綜合","696","720"
"6","美商高盛亞","643","719"
"7","星洲瑞銀","608","665"
"8","群益","589","421"
"9","台新","445","433"
"10","元富","414","416"
"18","光頡(3624)"
"1","元大","2612","2672"
"2","凱基","1954","1804"
"3","永豐金","983","1001"
"4","富邦","1094","869"
"5","統一","869","841"
"6","國泰綜合","632","701"
"7","群益","632","679"
"8","元富","580","688"
"9","美商高盛亞","476","447"
"10","台新","437","409"
"19","金山電(8042)"
"1","元大","2999","2893"
"2","凱基","1337","1532"
"3","富邦","1207","884"
"4","國泰綜合","784","1200"
"5","星洲瑞銀","807","647"
"6","永豐金","647","638"
"7","美商高盛亞","549","407"
