115年04月07日 截至14:02止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","頎邦(6147)"
"1","元大","20615","19729"
"2","富邦","9394","14910"
"3","凱基","12242","11969"
"4","永豐金","9819","5445"
"5","國泰綜合","8824","6168"
"6","統一","4990","8128"
"7","群益","6503","3100"
"8","摩根士丹利","3117","4947"
"9","台新","3901","3129"
"10","美商高盛亞","1693","5214"
"2","穩懋(3105)"
"1","元大","7191","8163"
"2","凱基","5585","3975"
"3","富邦","2570","2953"
"4","國泰綜合","2044","2623"
"5","永豐金","2247","2023"
"6","群益","2180","1971"
"7","台新","1329","2055"
"8","統一","1478","1446"
"9","星洲瑞銀","1336","850"
"10","華南永昌","949","1226"
"3","中探針(6217)"
"1","元大","6624","5531"
"2","富邦","4436","5499"
"3","凱基","3056","2884"
"4","永豐金","2567","1978"
"5","國泰綜合","1701","1435"
"6","群益","1642","1420"
"7","台新","1726","1209"
"8","華南永昌","1381","950"
"9","統一","1235","1075"
"10","摩根大通","552","1301"
"4","富喬(1815)"
"1","元大","6964","5835"
"2","凱基","3632","3235"
"3","富邦","1900","2676"
"4","永豐金","2433","1823"
"5","國泰綜合","1380","2154"
"6","台新","1056","1578"
"7","群益","814","1301"
"8","統一","1249","843"
"9","兆豐","502","1127"
"10","華南永昌","675","912"
"5","世界(5347)"
"1","元大","2853","3594"
"2","凱基","3118","3153"
"3","摩根士丹利","5064","256"
"4","富邦","1403","2163"
"5","國泰綜合","1936","902"
"6","永豐金","859","1065"
"7","美林證券","488","1379"
"8","港商野村","1433","12"
"9","花旗環球","60","1378"
"10","星洲瑞銀","952","401"
"6","威剛(3260)"
"1","元大","4956","4313"
"2","凱基","3292","2875"
"3","美商高盛亞","815","2809"
"4","富邦","1532","1123"
"5","群益","1697","894"
"6","永豐金","1671","819"
"7","摩根士丹利","264","1961"
"8","國泰綜合","1089","864"
"9","台新","1163","785"
"10","摩根大通","152","1362"
"7","擎亞(8096)"
"1","元大","4214","4279"
"2","凱基","2531","1896"
"3","富邦","2219","2173"
"4","國泰綜合","1410","1632"
"5","群益","1370","1328"
"6","永豐金","978","1106"
"7","台新","827","1010"
"8","統一","998","704"
"9","華南永昌","579","671"
"10","第一金證券","492","693"
"8","光洋科(1785)"
"1","元大","4306","3685"
"2","凱基","1968","2292"
"3","富邦","1321","1450"
"4","台新","1190","1179"
"5","國泰綜合","1084","1144"
"6","星洲瑞銀","1296","725"
"7","群益","985","786"
"8","永豐金","957","813"
"9","摩根士丹利","1048","525"
"10","華南永昌","588","821"
"9","鈺創(5351)"
"1","元大","3227","2622"
"2","凱基","1673","1452"
