115年03月23日 截至11:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","8838","7833"
"2","凱基","3681","3609"
"3","富邦","4113","2423"
"4","永豐金","2846","1827"
"5","國泰綜合","2450","1978"
"6","群益","1249","1864"
"7","美商高盛亞","548","1823"
"8","華南永昌","1067","1041"
"9","新光","1173","801"
"10","摩根大通","643","1247"
"2","佶優(5452)"
"1","元大","7370","6136"
"2","凱基","2980","4401"
"3","富邦","2019","1890"
"4","群益","1251","2091"
"5","國泰綜合","1977","1295"
"6","永豐金","1391","1089"
"7","元富","798","1065"
"8","美商高盛亞","715","1140"
"9","統一","553","1220"
"10","兆豐","722","639"
"3","九豪(6127)"
"1","元大","5922","4810"
"2","凱基","2958","4742"
"3","富邦","1838","1686"
"4","國泰綜合","1601","1070"
"5","永豐金","1000","1127"
"6","群益","1078","920"
"7","康和","158","1722"
"8","星洲瑞銀","580","943"
"9","元富","711","425"
"10","兆豐","680","380"
"4","聯光通(4903)"
"1","元大","4681","4586"
"2","凱基","3614","3087"
"3","元富","1597","1380"
"4","富邦","1080","1406"
"5","群益","963","1048"
"6","永豐金","904","1003"
"7","統一","731","667"
"8","華南永昌","647","746"
"9","兆豐","641","537"
"10","星洲瑞銀","589","566"
"5","華電網(6163)"
"1","元大","5738","6420"
"2","凱基","2619","3027"
"3","富邦","1538","1415"
"4","群益","1204","1294"
"5","國泰綜合","1507","909"
"6","永豐金","1329","1018"
"7","統一","670","858"
"8","兆豐","622","486"
"9","美商高盛亞","397","645"
"10","玉山證券","581","375"
"6","擎亞(8096)"
"1","元大","4802","4335"
"2","凱基","1948","2672"
"3","國泰綜合","1539","2153"
"4","富邦","1621","1481"
"5","群益","1113","1678"
"6","永豐金","988","733"
"7","美商高盛亞","638","788"
"8","元富","664","560"
"9","摩根士丹利","653","534"
"10","華南永昌","645","514"
"7","環宇-KY(4991)"
"1","元大","4337","4702"
"2","凱基","2616","2463"
"3","富邦","1238","1597"
"4","國泰綜合","1466","1017"
"5","群益","847","1026"
"6","永豐金","871","972"
"7","美商高盛亞","619","946"
"8","華南永昌","616","613"
"9","統一","528","618"
"10","元富","504","563"
"8","穩懋(3105)"
"1","凱基","3798","3211"
"2","元大","3184","2535"
"3","永豐金","949","1783"
"4","富邦","1534","1182"
"5","群益","886","1376"
"6","統一","1038","837"
"7","美商高盛亞","997","805"
"8","國泰綜合","963","602"
"9","國票","265","1124"
"10","摩根士丹利","646","687"
"9","創威(6530)"
"1","元大","4410","4256"
"2","富邦","1878","1728"
"3","凱基","1347","1116"
"4","群益","814","941"
"5","永豐金","823","850"
"6","國泰綜合","797","747"
"7","美商高盛亞","469","587"
"8","華南永昌","458","539"
"9","統一","620","356"
"10","星洲瑞銀","185","671"
"10","華星光(4979)"
"1","元大","3072","2904"
"2","凱基","2216","1618"
"3","富邦","1290","1377"
"4","國泰綜合","1214","1071"
"5","永豐金","1014","971"
"6","美商高盛亞","525","823"
"7","群益","680","559"
"8","星洲瑞銀","365","695"
"9","華南永昌","491","524"
"10","元富","509","443"
"11","東捷(8064)"
"1","元大","2525","2812"
"2","富邦","2506","2426"
"3","凱基","1960","1316"
"4","華南永昌","1053","684"
"5","國泰綜合","531","957"
"6","港商野村","1212","156"
"7","永豐金","609","605"
"8","群益","443","619"
"9","星洲瑞銀","444","576"
"10","元富","604","393"
"12","高端疫苗(6547)"
"1","元大","5408","4221"
