115年03月30日 截至14:02止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","光洋科(1785)"
"1","元大","17181","15665"
"2","凱基","8020","8549"
"3","富邦","6805","4120"
"4","國泰綜合","5387","3685"
"5","星洲瑞銀","2180","6122"
"6","元富","2668","5137"
"7","永豐金","4638","2987"
"8","群益","3384","3055"
"9","台新","2101","2542"
"10","摩根大通","1864","2419"
"2","穩懋(3105)"
"1","元大","9975","9124"
"2","凱基","7369","7779"
"3","富邦","3604","4973"
"4","永豐金","2875","3420"
"5","國泰綜合","3029","2963"
"6","群益","3114","2732"
"7","摩根士丹利","1977","1552"
"8","星洲瑞銀","1230","2253"
"9","元富","1458","1478"
"10","台新","1246","1631"
"3","頎邦(6147)"
"1","凱基","8431","5706"
"2","元大","4726","9361"
"3","統一","691","4605"
"4","富邦","2497","2598"
"5","摩根士丹利","3773","550"
"6","永豐金","2725","1474"
"7","群益","2444","1658"
"8","國票","581","3056"
"9","美商高盛亞","1601","1286"
"10","國泰綜合","1466","1176"
"4","擎亞(8096)"
"1","元大","6913","7626"
"2","凱基","4345","5158"
"3","富邦","2718","2559"
"4","國泰綜合","2300","2057"
"5","永豐金","1958","1914"
"6","群益","1879","1877"
"7","華南永昌","1460","1436"
"8","統一","1025","1194"
"9","台新","1039","1102"
"10","元富","938","990"
"5","台嘉碩(3221)"
"1","元大","5783","5084"
"2","凱基","2046","3993"
"3","富邦","2102","1962"
"4","群益","1770","1504"
"5","國泰綜合","1689","1430"
"6","華南永昌","1458","1231"
"7","永豐金","1267","1164"
"8","統一","817","1032"
"9","元富","681","908"
"10","台新","924","658"
"6","富喬(1815)"
"1","元大","5154","4781"
"2","凱基","2809","2272"
"3","富邦","1597","1545"
"4","國泰綜合","1260","1266"
"5","星洲瑞銀","1138","1362"
"6","群益","1296","1110"
"7","統一","843","1491"
"8","永豐金","1081","1144"
"9","摩根士丹利","1116","974"
"10","美商高盛亞","987","802"
"7","世界(5347)"
"1","國泰綜合","1338","5212"
"2","元大","2476","2029"
"3","凱基","2207","1509"
"4","美商高盛亞","1544","839"
"5","摩根大通","1304","510"
"6","摩根士丹利","848","776"
"7","富邦","619","747"
"8","星洲瑞銀","293","827"
"9","法銀巴黎證","315","691"
"10","群益","388","477"
"8","東典光電(6588)"
"1","元大","2651","2763"
"2","凱基","2500","1962"
"3","富邦","1584","1458"
"4","國泰綜合","744","749"
"5","群益","674","678"
"6","元富","448","620"
"7","永豐金","561","469"
"8","華南永昌","511","470"
"9","摩根大通","435","480"
"10","玉山證券","438","413"
"9","鈦昇(8027)"
"1","元大","2716","3286"
"2","凱基","4160","1719"
"3","富邦","1273","1115"
"4","永豐金","993","974"
"5","群益","574","888"
"6","國泰綜合","469","566"
"7","台新","454","440"
"8","美商高盛亞","444","365"
"9","統一","299","386"
"10","華南永昌","227","433"
"10","IET-KY(4971)"
"1","元大","2827","3139"
"2","凱基","2105","1670"
"3","富邦","1303","1383"
"4","國泰綜合","817","868"
"5","永豐金","702","710"
"6","群益","645","717"
"7","美商高盛亞","791","510"
"8","華南永昌","431","561"
"9","統一","425","355"
"10","新光","309","316"
"11","順達(3211)"
"1","元大","2612","2349"
"2","凱基","1647","1714"
"3","永豐金","982","1049"
"4","富邦","864","840"
"5","國泰綜合","811","678"
"6","群益","764","696"
"7","美商高盛亞","590","498"
"8","星洲瑞銀","319","698"
"9","華南永昌","599","400"
"10","台新","342","637"
"12","泰藝(8289)"
"1","凱基","2279","3692"
