115年02月11日 截至12:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","11132","18240"
"2","凱基","12820","5904"
"3","富邦","9869","7671"
"4","統一","8021","2657"
"5","永豐金","3970","4854"
"6","國泰綜合","1812","5517"
"7","群益","2766","4536"
"8","國票","3945","1057"
"9","華南永昌","1323","3064"
"10","星洲瑞銀","3256","617"
"2","穩懋(3105)"
"1","元大","5111","4554"
"2","凱基","2351","3074"
"3","國泰綜合","1570","1658"
"4","美林證券","721","2162"
"5","富邦","1634","1192"
"6","永豐金","1346","1303"
"7","星洲瑞銀","926","1187"
"8","群益","1098","890"
"9","摩根士丹利","439","1321"
"10","美商高盛亞","825","676"
"3","建榮(5340)"
"1","元大","4663","4321"
"2","凱基","1576","1969"
"3","富邦","1671","1555"
"4","國泰綜合","1540","1330"
"5","永豐金","1309","1194"
"6","群益","961","1176"
"7","台新","1100","744"
"8","美商高盛亞","584","930"
"9","兆豐","942","512"
"10","統一","570","713"
"4","茂迪(6244)"
"1","元大","2652","2308"
"2","富邦","1340","813"
"3","凱基","911","1033"
"4","國泰綜合","992","619"
"5","星洲瑞銀","474","1113"
"6","群益","628","769"
"7","永豐金","725","593"
"8","美商高盛亞","334","932"
"9","台新","486","477"
"10","華南永昌","503","366"
"5","凱崴(5498)"
"1","元大","3100","2685"
"2","凱基","1400","1726"
"3","富邦","983","859"
"4","國泰綜合","916","695"
"5","永豐金","555","512"
"6","華南永昌","564","385"
"7","摩根大通","137","631"
"8","美商高盛亞","274","447"
"9","群益","371","342"
"10","統一","417","266"
"6","華星光(4979)"
"1","元大","2278","2113"
"2","凱基","1076","1140"
"3","富邦","801","867"
"4","國泰綜合","767","559"
"5","永豐金","640","558"
"6","群益","435","435"
"7","台新","366","417"
"8","星洲瑞銀","146","487"
"9","統一","368","240"
"10","元富","335","270"
"7","中美晶(5483)"
"1","元大","2407","1445"
"2","凱基","838","1434"
"3","美商高盛亞","71","1655"
"4","摩根士丹利","29","1356"
"5","永豐金","822","337"
"6","星洲瑞銀","102","967"
"7","富邦","799","200"
"8","群益","381","438"
"9","元富","575","186"
"10","台新","365","332"
"8","精材(3374)"
"1","凱基","2057","1232"
"2","元大","1176","1627"
"3","富邦","897","1130"
"4","美商高盛亞","1103","439"
"5","永豐金","724","552"
"6","國泰綜合","421","530"
"7","群益","375","538"
"8","台新","470","253"
"9","摩根大通","405","211"
"10","元富","226","358"
"9","鑫科(3663)"
"1","元大","1471","1476"
"2","凱基","1238","1113"
"3","富邦","818","796"
"4","永豐金","703","514"
"5","群益","472","624"
"6","美商高盛亞","463","339"
"7","元富","384","365"
"8","國泰綜合","287","310"
"9","華南永昌","321","245"
"10","統一","157","356"
"10","高技(5439)"
"1","元大","1129","1552"
"2","凱基","1387","1155"
"3","富邦","684","817"
"4","永豐金","341","533"
"5","美商高盛亞","535","335"
"6","群益","468","399"
"7","國泰綜合","418","329"
"8","星洲瑞銀","349","252"
"9","美林證券","367","179"
"10","台新","297","215"
"11","世界(5347)"
"1","元大","1123","1457"
"2","美商高盛亞","1335","816"
"3","凱基","1094","914"
"4","星洲瑞銀","785","637"
"5","永豐金","532","416"
"6","富邦","433","353"
"7","摩根士丹利","48","528"
"8","國泰綜合","197","279"
"9","元富","125","230"
"10","群益","93","242"
"12","良維(6290)"
"1","元大","1172","1211"
"2","凱基","1176","1154"
"3","富邦","628","722"
"4","永豐金","408","434"
"5","群益","376","389"
"6","美商高盛亞","710","15"
"7","統一","236","415"
"8","元富","277","367"
"9","國泰綜合","276","337"
"10","兆豐","287","287"
"13","中探針(6217)"
"1","元大","1375","1386"
"2","凱基","555","934"
"3","永豐金","774","602"
"4","富邦","418","484"
"5","國泰綜合","503","321"
"6","元富","361","420"
"7","群益","263","466"
"8","美商高盛亞","267","350"
"9","台新","261","142"
