115年04月07日 截至11:26止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","頎邦(6147)"
"1","元大","18040","16210"
"2","富邦","6332","12033"
"3","凱基","8401","9223"
"4","永豐金","8796","3445"
"5","統一","4193","6854"
"6","國泰綜合","5488","4826"
"7","群益","5050","2297"
"8","摩根士丹利","2910","4134"
"9","國票","3432","2287"
"10","台新","2837","2219"
"2","穩懋(3105)"
"1","元大","6256","6963"
"2","凱基","4024","3269"
"3","富邦","1821","2281"
"4","國泰綜合","1755","2196"
"5","群益","1917","1611"
"6","永豐金","1720","1627"
"7","台新","1167","1707"
"8","統一","1130","1273"
"9","星洲瑞銀","1072","743"
"10","華南永昌","753","980"
"3","中探針(6217)"
"1","元大","5018","4050"
"2","富邦","3196","4547"
"3","凱基","1993","2341"
"4","永豐金","2016","1422"
"5","群益","1193","1100"
"6","台新","1347","741"
"7","國泰綜合","1263","804"
"8","統一","979","955"
"9","華南永昌","971","574"
"10","摩根大通","367","726"
"4","世界(5347)"
"1","元大","2831","3446"
"2","凱基","2895","3066"
"3","摩根士丹利","4837","221"
"4","富邦","1125","2081"
"5","國泰綜合","1026","850"
"6","美林證券","488","1376"
"7","永豐金","797","885"
"8","港商野村","1433","12"
"9","星洲瑞銀","952","401"
"10","群益","432","833"
"5","擎亞(8096)"
"1","元大","3269","3461"
"2","富邦","1712","1644"
"3","凱基","1949","1387"
"4","國泰綜合","1161","1213"
"5","群益","983","1041"
"6","永豐金","772","905"
"7","台新","570","709"
"8","統一","756","511"
"9","第一金證券","446","655"
"10","華南永昌","457","581"
"6","光洋科(1785)"
"1","元大","3471","2881"
"2","凱基","1490","1907"
"3","富邦","859","1170"
"4","國泰綜合","732","892"
"5","台新","829","781"
"6","星洲瑞銀","1006","552"
"7","永豐金","700","702"
"8","群益","741","622"
"9","摩根士丹利","931","157"
"10","華南永昌","423","533"
"7","富喬(1815)"
"1","元大","2699","2782"
"2","凱基","1695","1735"
"3","富邦","840","1475"
"4","永豐金","1140","892"
"5","國泰綜合","843","1056"
"6","群益","533","669"
"7","台新","466","648"
"8","美商高盛亞","612","396"
"9","統一","446","439"
"10","兆豐","286","570"
"8","威剛(3260)"
"1","元大","3162","2847"
"2","凱基","2293","1938"
"3","美商高盛亞","137","1605"
"4","富邦","827","614"
"5","群益","866","538"
"6","永豐金","983","381"
"7","摩根士丹利","33","1259"
"8","國泰綜合","783","500"
"9","台新","685","417"
"10","港商野村","120","732"
"9","宏捷科(8086)"
"1","凱基","2986","1639"
"2","元大","1443","2477"
"3","富邦","1804","1955"
"4","摩根士丹利","731","558"
"5","港商野村","1093","62"
"6","台新","310","721"
"7","群益","557","430"
"8","永豐金","317","582"
