115年04月01日 截至10:17止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","穩懋(3105)"
"1","元大","4218","5210"
"2","凱基","2894","3095"
"3","國泰綜合","1644","2217"
"4","群益","2193","1433"
"5","富邦","1704","1802"
"6","永豐金","1641","1835"
"7","美商高盛亞","1844","810"
"8","統一","994","980"
"9","華南永昌","584","930"
"10","台新","674","769"
"2","九豪(6127)"
"1","元大","6527","5429"
"2","凱基","1752","3786"
"3","富邦","2213","1403"
"4","群益","1585","1113"
"5","國泰綜合","1880","595"
"6","永豐金","1219","978"
"7","華南永昌","879","628"
"8","統一","588","815"
"9","星洲瑞銀","0","1372"
"10","美商高盛亞","195","1103"
"3","頎邦(6147)"
"1","凱基","2881","3011"
"2","元大","2302","2911"
"3","富邦","1487","2582"
"4","永豐金","1248","1164"
"5","康和","1874","190"
"6","群益","1395","581"
"7","國泰綜合","947","630"
"8","摩根士丹利","578","776"
"9","摩根大通","721","556"
"10","元富","770","436"
"4","光洋科(1785)"
"1","元大","5513","2940"
"2","凱基","1587","2871"
"3","富邦","1157","956"
"4","群益","749","1001"
"5","永豐金","1114","600"
"6","國泰綜合","1054","605"
"7","星洲瑞銀","329","1263"
"8","統一","426","702"
"9","新光","448","626"
"10","兆豐","540","525"
"5","萬泰科(6190)"
"1","元大","3763","3119"
"2","凱基","891","1655"
"3","富邦","1151","689"
"4","群益","854","936"
"5","國泰綜合","861","762"
"6","永豐金","777","504"
"7","美商高盛亞","183","1063"
"8","兆豐","914","234"
"9","元富","709","336"
"10","統一","367","573"
"6","富喬(1815)"
"1","元大","2945","3003"
"2","凱基","881","1154"
"3","富邦","1010","930"
"4","國泰綜合","917","711"
"5","永豐金","602","737"
"6","群益","777","557"
"7","台新","364","344"
"8","摩根士丹利","354","334"
"9","星洲瑞銀","488","199"
"10","美商高盛亞","186","490"
"7","金居(8358)"
"1","元大","1887","1353"
"2","凱基","705","1359"
