115年02月02日 截至13:46止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","擎亞(8096)"
"1","元大","11162","10492"
"2","凱基","6677","6521"
"3","永豐金","4108","4909"
"4","富邦","3775","4823"
"5","國泰綜合","4459","3872"
"6","群益","3275","3200"
"7","統一","1240","3372"
"8","台新","1316","2263"
"9","華南永昌","1668","1855"
"10","星洲瑞銀","2212","1257"
"2","富喬(1815)"
"1","元大","7783","7985"
"2","凱基","5424","5540"
"3","富邦","3219","2924"
"4","國泰綜合","2048","1682"
"5","永豐金","1646","1689"
"6","星洲瑞銀","590","2596"
"7","群益","1731","1067"
"8","玉山證券","1284","943"
"9","華南永昌","1214","813"
"10","台新","1111","833"
"3","世界(5347)"
"1","凱基","4922","5883"
"2","元大","5030","5050"
"3","美商高盛亞","3582","2010"
"4","富邦","3782","1573"
"5","永豐金","1035","3847"
"6","星洲瑞銀","3711","690"
"7","摩根大通","969","3011"
"8","國票","724","3020"
"9","摩根士丹利","2934","726"
"10","台新","398","1496"
"4","華星光(4979)"
"1","元大","5089","5350"
"2","凱基","3163","3442"
"3","富邦","1591","1811"
"4","國泰綜合","1567","1599"
"5","群益","1774","1340"
"6","永豐金","1310","1625"
"7","美商高盛亞","1465","971"
"8","統一","1223","871"
"9","華南永昌","778","717"
"10","元富","696","773"
"5","茂迪(6244)"
"1","元大","6429","4800"
"2","凱基","2182","3542"
"3","富邦","1876","1336"
"4","群益","1492","1586"
"5","永豐金","1573","1492"
"6","國泰綜合","1414","1168"
"7","統一","1226","1146"
"8","元富","799","855"
"9","美商高盛亞","857","792"
"10","華南永昌","865","648"
"6","穩懋(3105)"
"1","元大","3860","3885"
"2","凱基","3680","3391"
"3","永豐金","1273","1681"
"4","富邦","1107","1095"
"5","美商高盛亞","1253","885"
"6","摩根士丹利","1237","871"
"7","國泰綜合","831","709"
"8","群益","654","813"
"9","元富","545","684"
"10","星洲瑞銀","708","510"
"7","系統電(5309)"
"1","元大","6331","3915"
"2","凱基","2432","1763"
"3","富邦","1056","1628"
"4","群益","854","1023"
"5","永豐金","636","899"
"6","國泰綜合","434","1004"
"7","元富","580","829"
"8","美商高盛亞","627","579"
"9","華南永昌","338","677"
"10","兆豐","188","605"
"8","威剛(3260)"
"1","凱基","3038","2698"
"2","元大","2195","2687"
"3","富邦","1048","1372"
"4","永豐金","832","775"
"5","群益","676","867"
"6","摩根士丹利","992","396"
"7","國泰綜合","544","666"
"8","摩根大通","613","476"
"9","星洲瑞銀","691","380"
"10","統一","293","615"
"9","鈺創(5351)"
"1","元大","2806","2513"
"2","凱基","1788","1392"
"3","富邦","1113","1125"
"4","群益","1014","1114"
"5","兆豐","900","986"
"6","美商高盛亞","397","876"
"7","國泰綜合","678","590"
"8","永豐金","635","576"
"9","華南永昌","557","630"
"10","星洲瑞銀","240","811"
"10","方土昶(6265)"
"1","元大","2847","3412"
"2","凱基","2518","1226"
"3","永豐金","941","1042"
"4","富邦","796","1067"
"5","群益","543","684"
"6","美商高盛亞","636","559"
"7","國泰綜合","562","607"
"8","玉山證券","396","614"
"9","台新","488","502"
"10","摩根大通","703","191"
"11","東典光電(6588)"
"1","元大","2688","2796"
"2","凱基","1803","1755"
"3","富邦","1013","885"
"4","永豐金","889","732"
"5","國泰綜合","741","637"
"6","元富","704","662"
"7","群益","664","672"
"8","統一","396","698"
"9","華南永昌","547","452"
"10","兆豐","432","507"
"12","欣銓(3264)"
"1","元大","3102","2272"
"2","凱基","1610","1734"
"3","富邦","812","1107"
"4","美商高盛亞","1052","336"
"5","台新","979","312"
"6","永豐金","391","889"
"7","星洲瑞銀","850","286"
"8","國泰綜合","307","692"
"9","群益","303","516"
"10","摩根大通","137","588"
"13","光洋科(1785)"
"1","元大","2361","2823"
"2","凱基","1430","2000"
"3","富邦","971","1099"
"4","摩根大通","1045","281"
"5","美商高盛亞","573","696"
"6","永豐金","482","671"
"7","國泰綜合","609","441"
"8","統一","660","256"
"9","群益","461","360"
"10","元富","452","316"
"14","協易機(4533)"
"1","元大","2977","2683"
"2","凱基","1241","1273"
"3","富邦","1086","715"
"4","美商高盛亞","582","971"
"5","永豐金","778","681"
"6","群益","785","603"
"7","國泰綜合","643","538"
"8","星洲瑞銀","217","826"
"9","元富","545","362"
"10","華南永昌","434","270"
"15","上詮(3363)"
"1","元大","2760","2702"
"2","凱基","2345","1296"
"3","富邦","483","953"
"4","永豐金","304","823"
"5","群益","461","517"
"6","美商高盛亞","658","184"
"7","台新","471","352"
"8","國泰綜合","294","487"
"9","元富","195","407"
"10","摩根士丹利","573","14"
"16","合晶(6182)"
"1","元大","1773","2206"
"2","凱基","1380","1681"
"3","美商高盛亞","1202","1147"
"4","富邦","738","756"
"5","永豐金","391","735"
"6","群益","441","529"
"7","國泰綜合","480","476"
"8","摩根大通","635","25"
"9","星洲瑞銀","487","141"
"10","華南永昌","278","342"
"17","順達(3211)"
"1","凱基","1633","2009"
"2","元大","1698","1740"
"3","永豐金","800","683"
"4","群益","556","662"
"5","富邦","610","465"
"6","美商高盛亞","487","537"
"7","華南永昌","613","240"
"8","摩根大通","544","267"
"9","國泰綜合","435","370"
"10","元富","388","267"
"18","長科*(6548)"
"1","凱基","1292","2408"
"2","元大","1761","1636"
"3","美商高盛亞","1149","717"
"4","富邦","788","904"
"5","永豐金","618","469"
"6","國泰綜合","423","412"
"7","第一金證券","240","546"
"8","群益","271","388"
"9","星洲瑞銀","574","38"
"10","摩根士丹利","248","271"
"19","台燿(6274)"
"1","元大","1449","1367"
"2","凱基","1055","1259"
"3","美商高盛亞","673","1015"
"4","富邦","1073","550"
"5","永豐金","557","744"
"6","統一","191","716"
"7","群益","385","441"
"8","國泰綜合","375","421"
"9","美林證券","690","50"
"10","摩根士丹利","69","589"
"20","凱崴(5498)"
"1","元大","1218","2231"
"2","凱基","1426","763"
"3","摩根大通","1732","224"
"4","富邦","425","861"
"5","美商高盛亞","713","237"
"6","國泰綜合","271","629"
"7","星洲瑞銀","856","19"
"8","永豐金","210","431"
"9","群益","253","373"
"10","元富","143","467"
"21","康和證(6016)"
"1","元大","1698","1006"
"2","永豐金","474","1578"
"3","凱基","589","1094"
"4","富邦","730","911"
"5","群益","655","465"
"6","國票","742","281"
"7","兆豐","343","425"
"8","台新","226","510"
"9","美商高盛亞","396","253"
"10","星洲瑞銀","367","279"
"22","漢磊(3707)"
"1","元大","1706","1784"
"2","凱基","1410","805"
"3","富邦","557","743"
"4","群益","549","501"
"5","美商高盛亞","513","424"
"6","永豐金","394","512"
"7","摩根大通","190","483"
"8","國泰綜合","322","299"
"9","兆豐","422","178"
"10","元富","239","331"
"23","中光電(5371)"
"1","元大","1988","1660"
"2","凱基","925","812"
"3","富邦","641","854"
"4","永豐金","462","918"
"5","美商高盛亞","787","457"
"6","玉山證券","273","539"
"7","群益","425","353"
"8","國泰綜合","341","432"
"9","摩根士丹利","104","386"
"10","新光","201","260"
"24","加百裕(3323)"
"1","元大","1717","1922"
"2","凱基","1127","736"
"3","富邦","614","781"
"4","國泰綜合","463","400"
"5","新光","195","617"
"6","永豐金","402","329"
"7","美商高盛亞","319","294"
"8","群益","309","300"
"9","國票","449","140"
"10","台新","305","247"
"25","中美晶(5483)"
"1","元大","1676","1034"
"2","凱基","768","601"
"3","美商高盛亞","418","913"
"4","星洲瑞銀","39","999"
"5","富邦","568","417"
"6","永豐金","504","139"
"7","群益","371","218"
"8","國泰綜合","381","201"
"9","合庫","178","366"
"10","元富","312","150"
"26","群聯(8299)"
"1","元大","1601","1507"
"2","凱基","843","1109"
"3","富邦","689","350"
"4","永豐金","501","248"
"5","星洲瑞銀","20","719"
"6","美商高盛亞","236","404"
"7","國泰綜合","417","217"
"8","兆豐","233","322"
"9","群益","303","193"
"10","統一","274","182"
"27","台嘉碩(3221)"
"1","元大","1554","1364"
"2","凱基","665","1160"
"3","富邦","594","542"
"4","永豐金","443","394"
"5","群益","400","330"
"6","華南永昌","382","259"
"7","國泰綜合","307","231"
"8","國票","322","188"
"9","元富","274","233"
"10","統一","169","253"
"28","中探針(6217)"
"1","元大","1353","1325"
"2","永豐金","782","1067"
"3","凱基","827","862"
