115年03月02日 截至12:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","茂迪(6244)"
"1","元大","12322","14787"
"2","凱基","7893","8353"
"3","富邦","5272","5678"
"4","國泰綜合","3213","3923"
"5","港商野村","4898","374"
"6","華南永昌","2244","2723"
"7","永豐金","2460","2476"
"8","群益","1889","2437"
"9","統一","2073","1628"
"10","元富","1233","2238"
"2","富喬(1815)"
"1","元大","11664","10312"
"2","凱基","6671","8088"
"3","摩根士丹利","1146","4955"
"4","富邦","3238","2511"
"5","統一","2687","3003"
"6","永豐金","2525","2756"
"7","國泰綜合","2915","2081"
"8","群益","1883","1625"
"9","美商高盛亞","809","2089"
"10","華南永昌","1474","1192"
"3","穩懋(3105)"
"1","元大","6517","5132"
"2","凱基","3171","4221"
"3","國泰綜合","1875","1340"
"4","永豐金","1828","1310"
"5","富邦","1710","1100"
"6","群益","1567","1161"
"7","美商高盛亞","1085","1291"
"8","統一","727","1386"
"9","摩根士丹利","373","1459"
"10","國票","358","1320"
"4","中探針(6217)"
"1","富邦","5377","4252"
"2","元大","3644","5915"
"3","凱基","3510","2555"
"4","國泰綜合","1141","1291"
"5","永豐金","1144","1222"
"6","美商高盛亞","1935","287"
"7","群益","1119","1002"
"8","統一","1149","752"
"9","台新","448","956"
"10","摩根大通","1047","351"
"5","華星光(4979)"
"1","元大","4839","5189"
"2","凱基","3561","3442"
"3","國泰綜合","1879","1620"
"4","富邦","1763","1555"
"5","群益","1227","1515"
"6","美商高盛亞","1157","1078"
"7","永豐金","1037","1191"
"8","華南永昌","893","852"
"9","台新","706","655"
"10","元富","665","679"
"6","新復興(4909)"
"1","元大","2300","2882"
"2","凱基","2456","1944"
"3","富邦","1360","1320"
"4","永豐金","729","853"
"5","群益","720","770"
"6","華南永昌","611","792"
"7","統一","763","525"
"8","國泰綜合","549","630"
"9","元富","507","590"
"10","兆豐","374","293"
"7","世界(5347)"
"1","元大","2237","2219"
"2","凱基","1986","1314"
"3","永豐金","423","1735"
"4","港商麥格理","2051","11"
"5","合庫","209","1376"
"6","摩根士丹利","632","593"
"7","群益","631","482"
"8","上海匯豐","1071","0"
"9","富邦","409","569"
"10","美商高盛亞","548","344"
"8","中光電(5371)"
"1","元大","2835","2268"
"2","凱基","1155","1822"
"3","摩根士丹利","120","1932"
"4","群益","667","924"
"5","富邦","981","481"
"6","國泰綜合","843","502"
"7","永豐金","839","502"
"8","元富","614","259"
"9","兆豐","562","242"
"10","華南永昌","522","252"
"9","台嘉碩(3221)"
"1","元大","2160","2245"
"2","凱基","1418","1035"
"3","富邦","921","956"
"4","永豐金","474","1166"
"5","群益","653","826"
"6","美商高盛亞","652","717"
"7","國泰綜合","671","653"
"8","華南永昌","679","370"
"9","台新","425","557"
"10","元富","387","552"
"10","擎亞(8096)"
"1","元大","2535","2541"
"2","凱基","1192","1404"
"3","摩根大通","263","1558"
"4","群益","912","672"
"5","第一金證券","788","617"
"6","富邦","932","424"
"7","港商野村","79","1170"
"8","永豐金","839","357"
"9","星洲瑞銀","254","923"
"10","國泰綜合","754","392"
"11","光洋科(1785)"
"1","元大","2976","2396"
"2","凱基","904","2094"
"3","國泰綜合","752","530"
"4","摩根士丹利","278","864"
"5","富邦","710","363"
"6","元富","700","354"
