115年01月28日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","擎亞(8096)"
"1","元大","6483","12296"
"2","凱基","5084","3706"
"3","群益","3127","1766"
"4","富邦","2132","2688"
"5","永豐金","2321","1791"
"6","國泰綜合","1493","1630"
"7","新光","2094","566"
"8","元富","1014","1219"
"9","星洲瑞銀","1408","527"
"10","台新","1027","725"
"2","華星光(4979)"
"1","元大","6244","6814"
"2","凱基","3429","4472"
"3","富邦","3277","3001"
"4","永豐金","1680","1869"
"5","國泰綜合","1718","1821"
"6","群益","1454","1662"
"7","康和","2074","430"
"8","華南永昌","899","1153"
"9","美商高盛亞","1234","776"
"10","星洲瑞銀","1137","646"
"3","世界(5347)"
"1","元大","5537","5718"
"2","凱基","3232","4534"
"3","富邦","1929","3674"
"4","星洲瑞銀","2214","2640"
"5","美商高盛亞","1244","2057"
"6","摩根士丹利","2620","33"
"7","國票","322","2329"
"8","統一","527","1994"
"9","國泰綜合","1753","694"
"10","永豐金","1173","936"
"4","協易機(4533)"
"1","元大","5612","6814"
"2","富邦","3826","4259"
"3","凱基","3467","3026"
"4","永豐金","2396","1516"
"5","元富","1481","1851"
"6","國泰綜合","999","1209"
"7","玉山證券","403","1703"
"8","統一","904","991"
"9","兆豐","905","882"
"10","群益","877","863"
"5","穩懋(3105)"
"1","元大","4045","5369"
"2","凱基","2493","2798"
"3","富邦","1424","2595"
"4","統一","1629","1557"
"5","永豐金","1365","1640"
"6","摩根大通","1697","608"
"7","星洲瑞銀","1259","603"
"8","群益","812","902"
"9","港商野村","1689","11"
"10","國泰綜合","676","972"
"6","富喬(1815)"
"1","元大","4804","4844"
"2","凱基","3624","3732"
"3","星洲瑞銀","1191","2157"
"4","富邦","1548","1739"
"5","群益","1750","882"
"6","國泰綜合","1319","1236"
"7","美商高盛亞","929","1016"
"8","永豐金","1006","847"
"9","新光","697","556"
"10","統一","469","617"
"7","凱崴(5498)"
"1","元大","5172","4050"
"2","凱基","2171","2465"
"3","富邦","1363","2607"
"4","國泰綜合","1997","577"
"5","永豐金","947","1057"
"6","統一","517","1186"
"7","群益","762","782"
"8","美商高盛亞","465","801"
"9","星洲瑞銀","86","1130"
"10","中國信託證","938","127"
"8","中探針(6217)"
"1","元大","3163","3845"
"2","凱基","2337","2126"
"3","富邦","1142","1235"
"4","群益","919","792"
"5","國泰綜合","933","772"
"6","永豐金","795","910"
"7","元富","672","571"
"8","華南永昌","448","680"
"9","兆豐","606","474"
"10","統一","537","444"
"9","波若威(3163)"
"1","元大","2803","3564"
"2","凱基","1627","2175"
"3","富邦","1987","1329"
"4","國泰綜合","811","732"
"5","統一","886","519"
"6","永豐金","732","650"
"7","美林證券","1272","99"
"8","美商高盛亞","637","658"
"9","群益","462","612"
"10","台新","460","591"
"10","茂迪(6244)"
"1","元大","3630","2271"
"2","凱基","933","2549"
"3","富邦","1687","979"
"4","群益","836","1767"
"5","永豐金","634","1074"
"6","國泰綜合","1125","250"
"7","摩根士丹利","0","1249"
"8","兆豐","354","750"
"9","星洲瑞銀","286","812"
"10","元富","574","405"
"11","方土昶(6265)"
"1","元大","3121","2804"
"2","富邦","1598","1593"
"3","凱基","1497","1551"
"4","永豐金","631","626"
"5","國泰綜合","579","661"
"6","元富","568","576"
"7","華南永昌","438","689"
"8","群益","477","512"
"9","統一","510","408"
"10","星洲瑞銀","371","455"
"12","威剛(3260)"
"1","元大","2398","2473"
"2","凱基","1465","2098"
"3","富邦","1329","905"
"4","美商高盛亞","869","1043"
"5","永豐金","841","743"
"6","群益","546","1022"
"7","摩根士丹利","620","769"
"8","國泰綜合","892","388"
"9","摩根大通","263","729"
"10","台新","428","244"
"13","正德(2641)"
"1","元大","2560","2331"
"2","凱基","1833","1603"
"3","富邦","1217","898"
"4","華南永昌","608","779"
"5","第一金證券","706","661"
"6","永豐金","563","624"
"7","群益","671","483"
"8","國泰綜合","568","414"
"9","統一","419","556"
"10","美商高盛亞","475","273"
"14","高端疫苗(6547)"
"1","元大","2291","2203"
"2","凱基","1237","2450"
"3","國泰綜合","1189","521"
"4","富邦","894","766"
"5","兆豐","911","646"
"6","永豐金","556","480"
"7","統一","416","488"
"8","台新","474","203"
"9","群益","334","335"
"10","摩根大通","208","438"
"15","順達(3211)"
"1","元大","2063","2577"
"2","凱基","1751","1714"
"3","富邦","884","839"
"4","永豐金","658","1015"
"5","統一","754","236"
"6","元富","422","382"
"7","港商野村","750","48"
"8","華南永昌","261","506"
"9","群益","221","516"
"10","國泰綜合","274","456"
"16","長科*(6548)"
"1","元大","2260","1817"
"2","凱基","1750","1700"
"3","富邦","846","571"
"4","永豐金","630","747"
"5","國泰綜合","725","424"
"6","元富","297","484"
"7","群益","239","526"
"8","星洲瑞銀","402","319"
"9","華南永昌","220","423"
"10","大展","12","613"
"17","金居(8358)"
"1","元大","2196","1503"
"2","凱基","829","1795"
"3","富邦","697","1007"
"4","美商高盛亞","537","768"
"5","永豐金","556","626"
"6","國泰綜合","808","296"
"7","華南永昌","384","249"
"8","群益","393","217"
"9","中國信託證","272","332"
"10","兆豐","331","240"
"18","鈺創(5351)"
"1","元大","1553","2317"
"2","凱基","1077","825"
"3","富邦","833","856"
"4","美商高盛亞","606","463"
"5","群益","539","330"
"6","國泰綜合","402","416"
"7","星洲瑞銀","414","383"
"8","美林證券","623","77"
"9","永豐金","286","358"
"10","元富","254","317"
"19","廣運(6125)"
"1","元大","884","1491"
"2","永豐金","810","724"
"3","凱基","851","464"
"4","富邦","287","492"
"5","宏遠","330","356"
"6","統一","557","122"
"7","國泰綜合","304","329"
"8","美商高盛亞","506","114"
"9","群益","213","364"
"10","元富","98","402"
"20","欣銓(3264)"
