115年04月07日 截至10:17止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","頎邦(6147)"
"1","元大","13454","11300"
"2","凱基","6879","7780"
"3","富邦","4560","9200"
"4","永豐金","6816","2464"
"5","統一","3009","6078"
"6","國泰綜合","4027","3836"
"7","摩根士丹利","2892","3098"
"8","群益","3256","1758"
"9","國票","2790","2029"
"10","摩根大通","2266","1742"
"2","穩懋(3105)"
"1","元大","5338","5644"
"2","凱基","3027","2626"
"3","富邦","1417","1942"
"4","國泰綜合","1406","1813"
"5","群益","1644","1393"
"6","永豐金","1460","1287"
"7","台新","909","1391"
"8","統一","894","1076"
"9","星洲瑞銀","998","653"
"10","華南永昌","568","844"
"3","世界(5347)"
"1","元大","2617","2548"
"2","凱基","1845","2483"
"3","摩根士丹利","2757","115"
"4","富邦","969","1799"
"5","國泰綜合","834","679"
"6","星洲瑞銀","866","398"
"7","永豐金","489","603"
"8","華南永昌","377","694"
"9","台新","217","750"
"10","新光","614","322"
"4","擎亞(8096)"
"1","元大","2732","3031"
"2","凱基","1647","1219"
"3","富邦","1558","1301"
"4","國泰綜合","1037","1056"
"5","群益","811","816"
"6","永豐金","674","741"
"7","台新","446","624"
"8","統一","632","351"
"9","第一金證券","384","566"
"10","華南永昌","416","409"
"5","光洋科(1785)"
"1","元大","3156","2479"
"2","凱基","1226","1618"
"3","富邦","695","1069"
"4","國泰綜合","604","764"
"5","星洲瑞銀","965","384"
"6","台新","671","644"
"7","群益","617","552"
"8","永豐金","502","592"
"9","摩根士丹利","801","120"
"10","統一","333","361"
"6","富喬(1815)"
"1","元大","2072","2004"
"2","凱基","1435","1158"
"3","富邦","653","1163"
"4","國泰綜合","623","725"
"5","永豐金","537","727"
"6","群益","443","576"
"7","台新","335","461"
"8","統一","333","337"
"9","兆豐","168","429"
"10","美商高盛亞","307","275"
"7","威剛(3260)"
"1","元大","2302","2142"
"2","凱基","1588","1275"
"3","美商高盛亞","93","1279"
"4","摩根士丹利","25","1090"
"5","富邦","622","473"
"6","群益","667","414"
"7","永豐金","802","240"
"8","國泰綜合","619","366"
"9","台新","468","289"
"10","港商野村","32","633"
"8","台燿(6274)"
"1","元大","1534","2046"
"2","富邦","1690","740"
"3","凱基","1270","1000"
"4","國泰綜合","395","556"
"5","國票","746","190"
"6","永豐金","256","474"
"7","台新","195","500"
"8","群益","249","436"
"9","摩根大通","349","142"
"10","華南永昌","141","339"
"9","宏捷科(8086)"
"1","元大","1153","1758"
"2","凱基","1754","1103"
"3","富邦","1335","1301"
"4","台新","290","557"
"5","港商野村","596","62"
"6","永豐金","218","420"
"7","群益","312","285"
"8","摩根士丹利","468","95"
"9","國泰綜合","181","338"
"10","統一","270","180"
"10","中探針(6217)"
"1","富邦","1185","2726"
"2","元大","1745","1024"
"3","凱基","569","640"
"4","永豐金","646","503"
"5","統一","543","554"
"6","台新","480","277"
"7","群益","285","387"
"8","華南永昌","462","193"
"9","新光","240","199"
"10","兆豐","85","266"
"11","波若威(3163)"
"1","凱基","928","1891"
"2","元大","1487","1295"
"3","富邦","579","431"
"4","國泰綜合","619","367"
"5","永豐金","500","365"
"6","台新","345","317"
"7","美商高盛亞","340","257"
"8","群益","312","262"
"9","統一","214","184"
"10","兆豐","266","112"
"12","鈺創(5351)"
"1","元大","1578","1584"
"2","凱基","725","884"
"3","富邦","773","360"
"4","群益","337","478"
"5","永豐金","464","301"
"6","國泰綜合","502","184"
"7","星洲瑞銀","127","439"
"8","台新","315","218"
"9","摩根士丹利","13","464"
"10","兆豐","178","203"
"13","鈦昇(8027)"
"1","元大","1323","1040"
"2","凱基","355","871"
"3","群益","471","393"
"4","富邦","381","461"
"5","國泰綜合","361","238"
"6","永豐金","316","211"
"7","星洲瑞銀","169","293"
"8","美商高盛亞","88","357"
"9","台新","266","137"
"10","摩根士丹利","47","347"
"14","金居(8358)"
"1","元大","1037","1287"
"2","凱基","803","871"
"3","永豐金","483","507"
"4","國泰綜合","389","529"
"5","富邦","368","320"
"6","星洲瑞銀","354","102"
"7","台新","201","178"
"8","群益","149","215"
"9","統一","224","93"
"10","華南永昌","139","161"
"15","德宏(5475)"
"1","富邦","335","1232"
"2","元大","908","488"
"3","凱基","420","836"
"4","台新","390","822"
"5","永豐金","580","100"
"6","國泰綜合","385","96"
"7","美林證券","88","263"
"8","群益","245","71"
"9","華南永昌","224","52"
"10","統一","154","104"
"16","欣銓(3264)"
"1","元大","1094","1013"
"2","凱基","517","548"
"3","美商高盛亞","219","388"
"4","富邦","294","290"
"5","群益","356","210"
"6","永豐金","295","177"
"7","台新","218","250"
"8","國泰綜合","269","191"
"9","摩根士丹利","12","391"
"10","摩根大通","47","225"
"17","港建*(3093)"
"1","凱基","822","672"
"2","元大","389","511"
"3","台新","404","425"
"4","兆豐","653","78"
"5","富邦","273","361"
"6","永豐金","245","193"
"7","群益","91","306"
"8","統一","166","214"
"9","國票","155","110"
"10","國泰綜合","91","140"
"18","東捷(8064)"
"1","元大","737","730"
"2","凱基","380","508"
"3","富邦","485","156"
"4","群益","282","258"
"5","摩根士丹利","3","500"
"6","永豐金","249","142"
"7","星洲瑞銀","60","294"
"8","摩根大通","39","239"
"9","統一","116","115"
"10","國泰綜合","153","67"
"19","宜鼎(5289)"
"1","元大","1104","1020"
"2","凱基","395","303"
"3","富邦","248","345"
"4","摩根士丹利","0","543"
"5","統一","275","94"
"6","華南永昌","188","111"
"7","群益","224","60"
"8","美商高盛亞","2","276"
"9","永豐金","177","72"
"10","國票","117","78"
"20","泰谷(3339)"
"1","元大","900","727"
"2","凱基","257","433"
"3","群益","292","346"
"4","統一","163","207"
"5","永豐金","166","190"
"6","兆豐","132","223"
"7","富邦","164","146"
"8","國泰綜合","161","145"
"9","台新","178","112"
"10","國票","116","143"
"21","湧德(3689)"
"1","富邦","1516","240"
"2","元大","404","728"
"3","兆豐","392","70"
"4","永豐金","129","234"
"5","台新","143","214"
"6","凱基","106","220"
"7","國泰綜合","10","295"
"8","群益","89","181"
"9","中國信託證","125","72"
"10","玉山證券","9","185"
"22","台嘉碩(3221)"
"1","元大","799","954"
"2","凱基","313","420"
"3","富邦","205","281"
"4","永豐金","132","266"
"5","國泰綜合","318","79"
"6","中國信託證","157","144"
"7","華南永昌","92","155"
"8","台新","181","66"
"9","新光","136","84"
"10","群益","104","111"
"23","群翊(6664)"
"1","元大","671","660"
"2","凱基","597","640"
"3","富邦","172","282"
"4","美商高盛亞","187","175"
"5","台新","134","134"
"6","永豐金","107","122"
"7","國泰綜合","127","99"
"8","群益","96","110"
"9","兆豐","148","39"
"10","統一","90","76"
"24","萬泰科(6190)"
"1","元大","624","560"
"2","凱基","124","479"
"3","摩根士丹利","334","50"
"4","富邦","168","204"
"5","台新","214","104"
"6","群益","143","143"
"7","國泰綜合","96","174"
"8","美林證券","225","1"
"9","美商高盛亞","110","109"
"10","華南永昌","71","143"
"25","璟德(3152)"
"1","元大","680","528"
"2","凱基","431","426"
"3","富邦","187","282"
"4","永豐金","183","153"
"5","統一","47","258"
"6","兆豐","213","91"
"7","群益","135","126"
"8","台新","140","101"
"9","國泰綜合","146","83"
"10","美商高盛亞","76","125"
"26","華電網(6163)"
"1","元大","627","458"
"2","凱基","243","518"
"3","永豐金","219","197"
"4","富邦","312","69"
"5","摩根士丹利","133","243"
"6","群益","177","101"
"7","兆豐","102","162"
"8","國票","77","176"
"9","國泰綜合","178","63"
"10","美商高盛亞","70","136"
"27","九豪(6127)"
"1","元大","716","906"
"2","群益","129","314"
"3","凱基","173","227"
"4","國泰綜合","253","136"
"5","富邦","228","151"
"6","華南永昌","260","115"
"7","玉山證券","194","51"
"8","永豐金","65","121"
"9","統一","91","71"
"10","台新","89","48"
"28","良維(6290)"
"1","元大","547","688"
"2","凱基","419","270"
"3","康和","314","12"
"4","富邦","115","171"
"5","華南永昌","111","120"
"6","國泰綜合","68","153"
"7","永豐金","86","117"
"8","台新","121","68"
"9","美商高盛亞","88","93"
"10","玉山證券","98","59"
"29","順達(3211)"
"1","凱基","457","352"
"2","元大","371","398"
"3","永豐金","86","272"
"4","富邦","114","146"
"5","群益","150","109"
"6","星洲瑞銀","179","55"
"7","華南永昌","72","151"
"8","國泰綜合","81","88"
"9","港商野村","88","71"
"10","兆豐","99","48"
"30","東典光電(6588)"
"1","元大","625","484"
"2","凱基","252","443"
"3","富邦","195","148"
"4","永豐金","134","178"
"5","群益","128","147"
"6","國泰綜合","165","94"
"7","台新","157","85"
"8","美商高盛亞","80","115"
"9","華南永昌","84","84"
"10","統一","78","69"
