115年03月10日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","光洋科(1785)"
"1","元大","8056","9071"
"2","富邦","4015","3496"
"3","凱基","3868","3615"
"4","永豐金","2609","2338"
"5","群益","2533","2372"
"6","國泰綜合","1836","1697"
"7","元富","1233","1622"
"8","星洲瑞銀","1538","1259"
"9","台新","829","1837"
"10","華南永昌","1124","1519"
"2","鈺創(5351)"
"1","元大","5570","4780"
"2","凱基","1658","1303"
"3","富邦","1575","1031"
"4","群益","851","1019"
"5","永豐金","956","800"
"6","摩根士丹利","358","1364"
"7","國泰綜合","1059","613"
"8","元富","829","736"
"9","美商高盛亞","284","1097"
"10","星洲瑞銀","63","1245"
"3","威剛(3260)"
"1","元大","3768","2558"
"2","凱基","1419","2498"
"3","富邦","1799","966"
"4","群益","1387","680"
"5","永豐金","892","1019"
"6","美商高盛亞","402","1505"
"7","國泰綜合","1325","557"
"8","摩根士丹利","158","1683"
"9","台新","534","724"
"10","摩根大通","323","837"
"4","茂迪(6244)"
"1","元大","3454","3653"
"2","凱基","941","1867"
"3","富邦","1265","946"
"4","永豐金","800","1130"
"5","國泰綜合","1050","360"
"6","星洲瑞銀","233","1113"
"7","群益","619","624"
"8","華南永昌","432","484"
"9","統一","230","663"
"10","台新","500","306"
"5","鑫聯大投控(3709)"
"1","凱基","2791","4136"
"2","元大","3585","2485"
"3","富邦","953","1017"
"4","永豐金","680","1224"
"5","國票","761","615"
"6","元富","695","507"
"7","星洲瑞銀","72","796"
"8","國泰綜合","627","150"
"9","統一","348","423"
"10","群益","464","269"
"6","擎亞(8096)"
"1","元大","2758","3015"
"2","凱基","1228","1287"
"3","富邦","1263","926"
"4","美商高盛亞","1151","914"
"5","國泰綜合","711","525"
"6","永豐金","686","478"
"7","群益","470","655"
"8","元富","676","343"
"9","新光","522","487"
"10","台新","454","276"
"7","良維(6290)"
"1","元大","1898","2066"
"2","凱基","1417","864"
"3","美商高盛亞","330","1004"
"4","富邦","537","614"
"5","群益","666","442"
"6","統一","507","595"
"7","永豐金","487","355"
"8","國泰綜合","492","341"
"9","兆豐","488","177"
"10","元富","342","302"
"8","世界(5347)"
"1","元大","1253","670"
"2","摩根士丹利","17","1818"
"3","凱基","978","678"
"4","美林證券","1520","1"
"5","富邦","295","1129"
"6","星洲瑞銀","452","858"
"7","摩根大通","319","454"
"8","群益","426","252"
"9","統一","93","356"
"10","永豐金","280","133"
"9","康和證(6016)"
"1","元大","1361","1227"
"2","永豐金","77","1635"
"3","美商高盛亞","1477","47"
"4","凱基","649","573"
"5","群益","525","333"
"6","富邦","566","277"
"7","台新","93","550"
"8","美林證券","498","4"
"9","元富","135","295"
"10","摩根大通","357","33"
"10","台燿(6274)"
"1","元大","835","1001"
"2","港商麥格理","1124","0"
"3","美商高盛亞","357","333"
"4","凱基","269","419"
"5","星洲瑞銀","348","338"
"6","國泰綜合","220","293"
"7","永豐金","185","306"
"8","富邦","244","240"
"9","群益","162","186"
"10","聯邦銀","15","319"
"11","順達(3211)"
"1","元大","982","914"
"2","凱基","820","605"
"3","永豐金","256","722"
"4","華南永昌","195","323"
"5","群益","222","286"
"6","富邦","252","253"
"7","國泰綜合","250","222"
"8","星洲瑞銀","385","72"
"9","美商高盛亞","220","154"
"10","元富","145","218"
"12","宜鼎(5289)"
"1","元大","650","961"
"2","凱基","944","454"
"3","富邦","542","395"
"4","永豐金","215","320"
"5","國泰綜合","218","277"
"6","美商高盛亞","209","227"
"7","統一","172","237"
"8","群益","156","172"
"9","星洲瑞銀","116","203"
"10","美林證券","242","47"
"13","欣銓(3264)"
"1","元大","939","931"
