115年04月01日 截至14:02止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","穩懋(3105)"
"1","元大","7240","8658"
"2","凱基","6838","5502"
"3","國泰綜合","2899","4010"
"4","富邦","2922","3265"
"5","群益","3622","2335"
"6","永豐金","2961","2976"
"7","美商高盛亞","2415","1696"
"8","統一","2175","1875"
"9","摩根士丹利","1078","2354"
"10","元富","1415","1534"
"2","九豪(6127)"
"1","元大","10231","8931"
"2","凱基","3605","5216"
"3","富邦","3836","2580"
"4","群益","3000","2173"
"5","國泰綜合","2522","1842"
"6","永豐金","2173","1823"
"7","統一","1491","1290"
"8","華南永昌","1505","1217"
"9","台新","1187","1099"
"10","元富","1186","993"
"3","光洋科(1785)"
"1","元大","8883","6176"
"2","凱基","3318","5392"
"3","富邦","2757","2000"
"4","群益","2317","2126"
"5","國泰綜合","2067","1726"
"6","星洲瑞銀","1746","1820"
"7","永豐金","1959","1289"
"8","美商高盛亞","619","1867"
"9","兆豐","1505","891"
"10","統一","1191","1158"
"4","富喬(1815)"
"1","元大","6821","6578"
"2","凱基","2390","2710"
"3","富邦","2651","2371"
"4","國泰綜合","1947","1786"
"5","永豐金","2367","1348"
"6","群益","1509","1672"
"7","星洲瑞銀","829","853"
"8","台新","810","757"
"9","摩根士丹利","671","831"
"10","新光","856","641"
"5","頎邦(6147)"
"1","凱基","9344","3810"
"2","元大","2357","3749"
"3","富邦","1690","3049"
"4","永豐金","1284","1505"
"5","康和","1874","568"
"6","群益","1423","771"
"7","美商高盛亞","180","1829"
"8","國泰綜合","952","987"
"9","摩根士丹利","578","860"
"10","統一","788","646"
"6","萬泰科(6190)"
"1","元大","5569","4779"
"2","凱基","1472","2224"
"3","富邦","1721","1121"
"4","群益","1461","1303"
"5","國泰綜合","1114","1238"
"6","永豐金","1265","852"
"7","統一","960","866"
"8","兆豐","1389","380"
"9","元富","1102","642"
"10","美林證券","74","1402"
"7","擎亞(8096)"
"1","元大","3527","4093"
"2","凱基","3258","2312"
"3","富邦","1620","1706"
"4","群益","1318","1339"
"5","國泰綜合","1139","1366"
"6","永豐金","947","1210"
"7","星洲瑞銀","1323","292"
"8","統一","385","823"
"9","華南永昌","408","754"
"10","美商高盛亞","601","408"
"8","金居(8358)"
"1","元大","4169","3743"
"2","凱基","2291","2594"
"3","富邦","1273","1273"
"4","永豐金","1214","1045"
"5","美商高盛亞","1151","935"
"6","國泰綜合","1041","1040"
"7","群益","1413","495"
"8","港商野村","316","1032"
"9","摩根士丹利","272","1070"
"10","統一","497","606"
"9","台嘉碩(3221)"
"1","元大","3613","3642"
"2","富邦","2710","2688"
"3","凱基","2175","1814"
"4","國泰綜合","1102","1225"
"5","華南永昌","1069","1211"
"6","群益","680","1006"
"7","永豐金","807","829"
"8","台新","851","496"
"9","統一","907","429"
"10","元富","442","737"
"10","欣銓(3264)"
"1","元大","2723","3220"
"2","凱基","1850","1917"
"3","群益","1488","1185"
"4","富邦","973","1099"
"5","兆豐","1374","536"
"6","永豐金","874","745"
"7","統一","892","553"
"8","國泰綜合","661","681"
"9","台新","750","425"
"10","華南永昌","466","657"
"11","世界(5347)"
"1","元大","2463","1829"
"2","凱基","1376","2291"
"3","大和國泰","2500","0"
"4","群益","959","1283"
"5","摩根士丹利","136","2106"
"6","美商高盛亞","497","1434"
"7","富邦","1383","507"
"8","星洲瑞銀","367","1039"
"9","國泰綜合","678","361"
"10","元富","597","174"
"12","台燿(6274)"
"1","元大","2314","2513"
"2","凱基","2188","1282"
"3","富邦","893","909"
"4","群益","739","850"
"5","國泰綜合","715","755"
"6","永豐金","504","750"
"7","兆豐","594","369"
"8","統一","510","355"
"9","華南永昌","230","548"
"10","摩根士丹利","490","280"
"13","順達(3211)"
"1","元大","2189","1837"
