115年03月25日 截至13:46止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","14415","18545"
"2","凱基","10118","8112"
"3","富邦","6936","7594"
"4","永豐金","6339","5717"
"5","國泰綜合","3632","5057"
"6","統一","4445","2889"
"7","群益","2879","3627"
"8","星洲瑞銀","4008","1269"
"9","新光","1710","3222"
"10","港商野村","4790","126"
"2","頎邦(6147)"
"1","元大","3161","5252"
"2","凱基","2876","3104"
"3","富邦","1619","2887"
"4","永豐金","2232","2166"
"5","元富","946","1878"
"6","星洲瑞銀","2093","327"
"7","國泰綜合","1122","1044"
"8","國票","1645","428"
"9","群益","1141","929"
"10","華南永昌","783","1082"
"3","金居(8358)"
"1","元大","5422","4095"
"2","凱基","3166","2750"
"3","富邦","1832","3566"
"4","國泰綜合","1506","3663"
"5","永豐金","1593","1143"
"6","摩根士丹利","977","1632"
"7","群益","1120","944"
"8","華南永昌","812","888"
"9","國票","1151","282"
"10","兆豐","950","473"
"4","聯光通(4903)"
"1","元大","5767","5425"
"2","凱基","2702","3411"
"3","富邦","2041","1893"
"4","群益","1916","1665"
"5","永豐金","1766","1783"
"6","華南永昌","830","966"
"7","兆豐","794","932"
"8","新光","1013","683"
"9","統一","685","938"
"10","台新","689","602"
"5","光洋科(1785)"
"1","元大","3835","3794"
"2","富邦","2687","4216"
"3","凱基","2203","2252"
"4","永豐金","1742","818"
"5","國泰綜合","1158","1189"
"6","美商高盛亞","1229","928"
"7","新光","1607","535"
"8","摩根大通","642","1278"
"9","星洲瑞銀","1149","702"
"10","群益","702","1118"
"6","擎亞(8096)"
"1","元大","4872","5014"
"2","凱基","2741","2992"
"3","富邦","2025","2194"
"4","群益","1648","1621"
"5","國泰綜合","1589","1574"
"6","永豐金","1627","1500"
"7","華南永昌","919","844"
"8","統一","809","706"
"9","台新","632","651"
"10","元富","699","575"
"7","台嘉碩(3221)"
"1","元大","4024","4672"
"2","凱基","1222","2049"
"3","富邦","1698","1421"
"4","國泰綜合","928","617"
"5","兆豐","961","548"
