"115年04月08日 截至13:46止 热门股券商进出排行(等价整股由大而小排列)"
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"9","國泰綜合","475","283"
"10","統一","278","371"
"22","台半(5425)"
"1","元大","2087","2045"
"2","凱基","720","1015"
"3","群益","735","666"
"4","美商高盛亞","147","936"
"5","富邦","667","400"
"6","台新","578","427"
"7","永豐金","544","268"
"8","國泰綜合","501","267"
"9","星洲瑞銀","414","317"
"10","統一","196","297"
"23","凱崴(5498)"
"1","元大","1913","1925"
"2","凱基","956","786"
"3","富邦","672","740"
"4","國泰綜合","493","572"
"5","台新","509","485"
"6","永豐金","434","391"
"7","美商高盛亞","326","383"
"8","群益","348","327"
"9","兆豐","227","323"
"10","玉山證券","255","265"
"24","廣穎(4973)"
"1","元大","1832","1375"
"2","凱基","630","783"
"3","富邦","726","533"
"4","台新","530","380"
"5","統一","411","434"
"6","美商高盛亞","15","814"
"7","群益","366","431"
"8","永豐金","363","284"
"9","華南永昌","270","286"
"10","國泰綜合","256","297"
"25","群聯(8299)"
"1","元大","1713","1074"
"2","凱基","976","949"
"3","富邦","663","496"
"4","國票","828","273"
"5","美商高盛亞","118","966"
"6","永豐金","356","395"
"7","群益","361","377"
"8","台新","350","320"
"9","統一","391","236"
"10","國泰綜合","221","274"
"26","精確(3162)"
"1","元大","1011","1303"
"2","凱基","929","722"
"3","台新","231","1085"
"4","國票","526","475"
"5","美林證券","916","0"
"6","富邦","189","576"
"7","美商高盛亞","694","48"
"8","統一","332","320"
"9","群益","344","261"
"10","摩根大通","523","51"
"27","高技(5439)"
"1","元大","939","1317"
"2","富邦","466","1720"
"3","凱基","948","907"
"4","國泰綜合","955","305"
"5","台新","428","719"
"6","永豐金","521","320"
"7","摩根士丹利","410","178"
"8","群益","259","315"
"9","統一","363","153"
"10","美林證券","394","81"
"28","九豪(6127)"
"1","國泰綜合","286","2184"
"2","元大","1389","1047"
"3","富邦","750","539"
"4","凱基","632","589"
"5","華南永昌","363","376"
"6","群益","382","238"
"7","康和","61","502"
"8","台新","306","220"
"9","永豐金","307","165"
"10","摩根大通","319","71"
"29","德宏(5475)"
"1","元大","992","1001"
"2","富邦","510","1099"
"3","摩根大通","445","676"
"4","永豐金","683","410"
"5","凱基","448","566"
"6","台新","491","324"
"7","國泰綜合","508","233"
"8","美商高盛亞","572","54"
"9","群益","378","235"
"10","玉山證券","156","324"
"30","台星科(3265)"
