主鍵,交易日期,時間,股票代號,股票名稱,股票排名,累計買進張數,累計賣出張數,累計買賣超,時段買進張數,時段賣出張數,時段買賣超,時段買超,時段買超差,時段賣超,時段賣超差,時段買超家數,時段賣超家數,買超率,賣超率
2026/3/27-10-5483,2026/3/27,10,5483,中美晶,25,1751,2058,-307,1751,2058,-307,1063,,1370,,5,5,0.52,0.78
2026/3/27-10-3491,2026/3/27,10,3491,昇達科,26,1824,1877,-53,1824,1877,-53,187,,240,,5,5,0.10,0.13
2026/3/27-10-6182,2026/3/27,10,6182,合晶,27,1768,2234,-466,1768,2234,-466,617,,1083,,5,5,0.28,0.61
2026/3/27-10-3324,2026/3/27,10,3324,雙鴻,28,1714,1870,-156,1714,1870,-156,284,,440,,4,6,0.15,0.26
2026/3/27-10-6187,2026/3/27,10,6187,萬潤,29,1809,1745,64,1809,1745,64,429,,365,,6,4,0.25,0.20
2026/3/27-10-8289,2026/3/27,10,8289,泰藝,30,1548,1570,-22,1548,1570,-22,455,,477,,5,5,0.29,0.31
2026/3/27-11-1785,2026/3/27,11,1785,光洋科,1,34647,32765,1882,7351,5328,2023,4722,2658,2699,494,4,6,0.89,0.37
2026/3/27-11-6147,2026/3/27,11,6147,頎邦,2,25431,25362,69,4402,4749,-347,1144,-5529,1491,-4766,6,4,0.24,0.34
2026/3/27-11-3105,2026/3/27,11,3105,穩懋,3,21697,22445,-748,8187,8427,-240,523,-1367,763,-1398,5,5,0.06,0.09
2026/3/27-11-8358,2026/3/27,11,8358,金居,4,12228,14216,-1988,2247,2495,-248,401,-1389,649,-2439,5,5,0.16,0.29
2026/3/27-11-5347,2026/3/27,11,5347,世界,5,11729,12692,-963,1592,2668,-1076,417,-618,1493,131,5,5,0.16,0.94
2026/3/27-11-3211,2026/3/27,11,3211,順達,6,11501,11276,225,4754,4424,330,1117,-158,787,-770,5,5,0.25,0.17
2026/3/27-11-1815,2026/3/27,11,1815,富喬,7,11260,10943,317,2622,2477,145,1020,-614,875,-587,3,7,0.41,0.33
2026/3/27-11-3221,2026/3/27,11,3221,台嘉碩,8,12169,12086,83,812,810,2,147,-1377,145,-1298,6,4,0.18,0.18
2026/3/27-11-8027,2026/3/27,11,8027,鈦昇,9,9452,9977,-525,2491,2555,-64,329,-1085,393,-1314,6,4,0.13,0.16
2026/3/27-11-8096,2026/3/27,11,8096,擎亞,10,6709,7824,-1115,3305,3525,-220,496,155,716,-179,4,6,0.14,0.22
2026/3/27-11-4903,2026/3/27,11,4903,聯光通,11,5806,6127,-321,1628,1688,-60,197,-168,257,-369,3,6,0.12,0.16
2026/3/27-11-6274,2026/3/27,11,6274,台燿,12,5548,5611,-63,963,876,87,231,-148,144,-385,6,4,0.26,0.15
2026/3/27-11-3339,2026/3/27,11,3339,泰谷,13,5085,5324,-239,2659,2573,86,481,163,395,-186,4,6,0.19,0.15
2026/3/27-11-8299,2026/3/27,11,8299,群聯,14,4445,5103,-658,1248,1461,-213,392,-44,605,-276,4,6,0.27,0.48
2026/3/27-11-4971,2026/3/27,11,4971,IET-KY,15,4795,5228,-433,1024,1058,-34,234,-383,268,-748,4,6,0.22,0.26
2026/3/27-11-3260,2026/3/27,11,3260,威剛,16,5012,4999,13,2069,2041,28,510,52,482,-18,4,6,0.25,0.23
2026/3/27-11-8064,2026/3/27,11,8064,東捷,17,4208,5165,-957,714,960,-246,92,-455,338,-920,2,8,0.10,0.47
2026/3/27-11-6244,2026/3/27,11,6244,茂迪,18,4144,4039,105,1672,1660,12,393,-42,381,31,5,5,0.24,0.23
2026/3/27-11-6821,2026/3/27,11,6821,聯寶,19,4517,4805,-288,947,1066,-119,237,-419,356,-469,5,5,0.22,0.38
2026/3/27-11-5291,2026/3/27,11,5291,邑昇,20,3792,3760,32,700,680,20,178,-165,158,-173,7,3,0.26,0.23
2026/3/27-11-6163,2026/3/27,11,6163,華電網,21,3552,3769,-217,1079,1164,-85,564,54,649,7,7,3,0.48,0.60
2026/3/27-11-5483,2026/3/27,11,5483,中美晶,22,2708,3242,-534,1016,1344,-328,556,-507,884,-486,5,5,0.41,0.87
2026/3/27-11-6182,2026/3/27,11,6182,合晶,23,2593,3364,-771,825,1130,-305,228,-389,533,-550,5,5,0.20,0.65
2026/3/27-11-4931,2026/3/27,11,4931,新盛力,24,2778,2875,-97,524,586,-62,104,-378,166,-338,4,5,0.18,0.32
2026/3/27-11-5439,2026/3/27,11,5439,高技,25,2680,2903,-223,732,633,99,349,81,250,-262,3,7,0.55,0.34
2026/3/27-11-8289,2026/3/27,11,8289,泰藝,26,2822,2687,135,1678,1276,402,1237,782,835,358,1,9,0.97,0.50
2026/3/27-11-5498,2026/3/27,11,5498,凱崴,27,2759,2842,-83,529,592,-63,103,-63,166,-20,5,5,0.17,0.31
2026/3/27-11-6187,2026/3/27,11,6187,萬潤,28,2466,2523,-57,657,778,-121,77,-352,198,-167,4,5,0.10,0.30
2026/3/27-11-3491,2026/3/27,11,3491,昇達科,29,2187,2281,-94,514,460,54,129,-58,75,-165,6,4,0.28,0.15
2026/3/27-11-5351,2026/3/27,11,5351,鈺創,30,2078,2600,-522,2078,2600,-522,394,,916,,5,5,0.15,0.44
2026/3/27-12-1785,2026/3/27,12,1785,光洋科,1,35371,33861,1510,2104,2417,-313,1146,-3576,1459,-1240,1,8,0.47,0.69
2026/3/27-12-3105,2026/3/27,12,3105,穩懋,2,31688,30744,944,10438,10142,296,1113,590,817,54,5,5,0.11,0.08
2026/3/27-12-6147,2026/3/27,12,6147,頎邦,3,28093,28399,-306,2662,3037,-375,1248,104,1623,132,3,7,0.41,0.61
2026/3/27-12-8358,2026/3/27,12,8358,金居,4,14911,16020,-1109,2394,2341,53,861,460,808,159,5,5,0.37,0.34
2026/3/27-12-1815,2026/3/27,12,1815,富喬,5,14863,14489,374,3870,4519,-649,1030,10,1679,804,5,5,0.23,0.43
