主鍵,交易日期,時間,股票代號,股票名稱,股票排名,累計買進張數,累計賣出張數,累計買賣超,時段買進張數,時段賣出張數,時段買賣超,時段買超,時段買超差,時段賣超,時段賣超差,時段買超家數,時段賣超家數,買超率,賣超率
2026/1/6-12-1815,2026/1/6,12,1815,富喬,4,22035,21090,945,1925,1868,57,767,-1306,710,-1014,6,4,0.41,0.37
2026/1/6-12-6548,2026/1/6,12,6548,長科*,5,15762,14430,1332,846,910,-64,295,-2354,359,-2274,5,5,0.32,0.42
2026/1/6-12-5347,2026/1/6,12,5347,世界,6,14139,12576,1563,6827,5368,1459,3717,1728,2258,265,7,3,0.69,0.33
2026/1/6-12-5483,2026/1/6,12,5483,中美晶,7,13190,10640,2550,742,688,54,295,-378,241,227,6,3,0.43,0.32
2026/1/6-12-3105,2026/1/6,12,3105,穩懋,8,11591,12501,-910,2371,2374,-3,1027,573,1030,237,6,4,0.43,0.43
2026/1/6-12-8027,2026/1/6,12,8027,鈦昇,9,9909,9743,166,1100,1245,-145,224,-253,369,-15,5,5,0.18,0.34
2026/1/6-12-5309,2026/1/6,12,5309,系統電,10,9267,10293,-1026,536,493,43,150,-531,107,-1296,7,3,0.30,0.20
2026/1/6-12-8042,2026/1/6,12,8042,金山電,11,10427,10612,-185,2541,2269,272,688,557,416,229,4,6,0.30,0.16
2026/1/6-12-6127,2026/1/6,12,6127,九豪,12,9545,9521,24,1605,1546,59,255,-76,196,-106,8,2,0.16,0.12
2026/1/6-12-6188,2026/1/6,12,6188,廣明,13,9672,9061,611,620,625,-5,138,-1012,143,-768,5,5,0.22,0.23
2026/1/6-12-6488,2026/1/6,12,6488,環球晶,14,9267,7969,1298,1360,1035,325,667,182,342,50,7,3,0.64,0.25
2026/1/6-12-3374,2026/1/6,12,3374,精材,15,7692,7483,209,966,1065,-99,360,-917,459,-510,4,6,0.34,0.48
2026/1/6-12-5392,2026/1/6,12,5392,能率,16,6914,6812,102,679,608,71,322,-353,251,-623,3,7,0.53,0.37
2026/1/6-12-8358,2026/1/6,12,8358,金居,17,7078,7457,-379,2297,2252,45,446,287,401,154,7,3,0.20,0.17
2026/1/6-12-4979,2026/1/6,12,4979,華星光,18,6196,6470,-274,2371,2445,-74,778,374,852,533,5,5,0.32,0.36
2026/1/6-12-8240,2026/1/6,12,8240,華宏,19,6566,6591,-25,722,665,57,175,-303,118,-408,5,5,0.26,0.16
2026/1/6-12-8299,2026/1/6,12,8299,群聯,20,6177,6146,31,494,575,-81,166,-205,247,-110,4,6,0.29,0.50
2026/1/6-12-3680,2026/1/6,12,3680,家登,21,5935,5561,374,398,398,0,87,-1029,87,-578,3,7,0.22,0.22
2026/1/6-12-6207,2026/1/6,12,6207,雷科,22,5346,5481,-135,240,243,-3,72,-124,75,-131,6,4,0.30,0.31
2026/1/6-12-3163,2026/1/6,12,3163,波若威,23,4690,4705,-15,730,574,156,220,-93,64,-295,6,4,0.38,0.09
2026/1/6-12-8088,2026/1/6,12,8088,品安,24,5080,5410,-330,399,524,-125,107,-537,232,-617,6,4,0.20,0.58
2026/1/6-12-3624,2026/1/6,12,3624,光頡,25,4642,4913,-271,524,562,-38,45,-182,83,-126,5,4,0.08,0.16
2026/1/6-12-6244,2026/1/6,12,6244,茂迪,26,4581,4688,-107,1450,1576,-126,543,314,669,535,5,5,0.34,0.46
2026/1/6-12-3236,2026/1/6,12,3236,千如,27,4415,4722,-307,434,501,-67,79,-172,146,-26,5,5,0.16,0.34
2026/1/6-12-6190,2026/1/6,12,6190,萬泰科,28,3669,3835,-166,3669,3835,-166,346,,512,,4,6,0.09,0.14
2026/1/6-12-6173,2026/1/6,12,6173,信昌電,29,3837,4123,-286,876,798,78,270,120,192,18,5,5,0.34,0.22
2026/1/6-12-8431,2026/1/6,12,8431,匯鑽科,30,3793,3648,145,3793,3648,145,541,,396,,5,5,0.15,0.10
2026/1/6-13-5351,2026/1/6,13,5351,鈺創,1,60402,59464,938,17194,15251,1943,3896,3077,1953,1608,5,5,0.26,0.11
2026/1/6-13-6182,2026/1/6,13,6182,合晶,2,40823,39436,1387,3629,3482,147,837,-336,690,-414,6,4,0.24,0.19
2026/1/6-13-1815,2026/1/6,13,1815,富喬,3,32584,31638,946,11644,11148,496,2996,2229,2500,1790,6,4,0.27,0.21
2026/1/6-13-3707,2026/1/6,13,3707,漢磊,4,26154,29174,-3020,3995,3599,396,892,740,496,29,4,6,0.25,0.12
2026/1/6-13-5347,2026/1/6,13,5347,世界,5,20046,20067,-21,6891,7591,-700,5294,1577,5994,3736,5,5,0.70,0.87
2026/1/6-13-8042,2026/1/6,13,8042,金山電,6,19215,19172,43,9127,8929,198,483,-205,285,-131,5,5,0.05,0.03
2026/1/6-13-6548,2026/1/6,13,6548,長科*,7,16378,16341,37,1766,2069,-303,365,70,668,309,5,5,0.18,0.38
2026/1/6-13-3105,2026/1/6,13,3105,穩懋,8,16184,16801,-617,4593,4300,293,2532,1505,2239,1209,6,4,0.59,0.49
2026/1/6-13-4979,2026/1/6,13,4979,華星光,9,15809,15965,-156,9381,9961,-580,903,125,1483,631,5,5,0.09,0.16
2026/1/6-13-5483,2026/1/6,13,5483,中美晶,10,15302,12483,2819,2112,1843,269,758,463,489,248,6,4,0.41,0.23
2026/1/6-13-5309,2026/1/6,13,5309,系統電,11,13473,13211,262,4323,3028,1295,1584,1434,289,182,8,2,0.52,0.07
2026/1/6-13-8027,2026/1/6,13,8027,鈦昇,12,12489,12207,282,2506,2587,-81,810,586,891,522,6,4,0.31,0.36
2026/1/6-13-6127,2026/1/6,13,6127,九豪,13,12330,12039,291,2785,2518,267,593,338,326,130,6,4,0.24,0.12
2026/1/6-13-6188,2026/1/6,13,6188,廣明,14,11464,10648,816,1792,1587,205,459,321,254,111,6,4,0.29,0.14
2026/1/6-13-6488,2026/1/6,13,6488,環球晶,15,10841,10310,531,1750,2832,-1082,601,-66,1683,1341,6,4,0.21,0.96
2026/1/6-13-6190,2026/1/6,13,6190,萬泰科,16,9280,9205,75,5611,5370,241,1543,1197,1302,790,7,3,0.29,0.23
2026/1/6-13-3374,2026/1/6,13,3374,精材,17,10430,10562,-132,2738,3079,-341,658,298,999,540,3,7,0.21,0.36
2026/1/6-13-8358,2026/1/6,13,8358,金居,18,9053,9372,-319,2205,2140,65,328,-118,263,-138,5,5,0.15,0.12
2026/1/6-13-5392,2026/1/6,13,5392,能率,19,8168,8061,107,1254,1249,5,264,-58,259,8,5,5,0.21,0.21
2026/1/6-13-3163,2026/1/6,13,3163,波若威,20,7723,6989,734,3274,3117,157,972,752,815,751,5,5,0.31,0.25
2026/1/6-13-8299,2026/1/6,13,8299,群聯,21,7905,7599,306,1728,1453,275,816,650,541,294,5,5,0.56,0.31
2026/1/6-13-3680,2026/1/6,13,3680,家登,22,6696,6313,383,761,752,9,167,80,158,71,5,4,0.22,0.21
2026/1/6-13-8240,2026/1/6,13,8240,華宏,23,7142,7114,28,576,523,53,162,-13,109,-9,5,5,0.31,0.19
2026/1/6-13-3624,2026/1/6,13,3624,光頡,24,6508,6561,-53,1866,1648,218,439,394,221,138,6,4,0.27,0.12
2026/1/6-13-8088,2026/1/6,13,8088,品安,25,6389,6583,-194,1309,1173,136,368,261,232,0,6,4,0.31,0.18
2026/1/6-13-6244,2026/1/6,13,6244,茂迪,26,5951,6468,-517,1638,1924,-286,440,-103,726,57,5,5,0.23,0.44
2026/1/6-13-6207,2026/1/6,13,6207,雷科,27,6284,6183,101,949,794,155,275,203,120,45,7,3,0.35,0.13
2026/1/6-13-3236,2026/1/6,13,3236,千如,28,5855,6019,-164,1440,1297,143,403,324,260,114,6,4,0.31,0.18
2026/1/6-13-6173,2026/1/6,13,6173,信昌電,29,5495,5607,-112,1820,1642,178,647,377,469,277,5,5,0.39,0.26
2026/1/6-13-4130,2026/1/6,13,4130,健亞,30,6331,5197,1134,6331,5197,1134,3106,,1972,,1,9,0.60,0.31
2026/1/7-10-6182,2026/1/7,10,6182,合晶,1,16490,18096,-1606,16490,18096,-1606,1158,,2764,,3,7,0.06,0.17
2026/1/7-10-1815,2026/1/7,10,1815,富喬,2,16472,16192,280,16472,16192,280,3613,,3333,,8,2,0.22,0.20
2026/1/7-10-3105,2026/1/7,10,3105,穩懋,3,11746,11428,318,11746,11428,318,1846,,1528,,3,7,0.16,0.13
2026/1/7-10-8088,2026/1/7,10,8088,品安,4,9275,9859,-584,9275,9859,-584,658,,1242,,4,6,0.07,0.13
2026/1/7-10-6244,2026/1/7,10,6244,茂迪,5,9486,8665,821,9486,8665,821,2411,,1590,,3,7,0.28,0.17
2026/1/7-10-3374,2026/1/7,10,3374,精材,6,7977,7652,325,7977,7652,325,1491,,1166,,5,5,0.19,0.15
2026/1/7-10-4979,2026/1/7,10,4979,華星光,7,7800,7388,412,7800,7388,412,1068,,656,,5,4,0.14,0.08
2026/1/7-10-8042,2026/1/7,10,8042,金山電,8,7225,7989,-764,7225,7989,-764,258,,1022,,2,8,0.03,0.14
2026/1/7-10-4157,2026/1/7,10,4157,太景*-KY,9,5641,5925,-284,5641,5925,-284,845,,1129,,4,6,0.14,0.20
2026/1/7-10-5483,2026/1/7,10,5483,中美晶,10,6071,5648,423,6071,5648,423,833,,410,,8,2,0.15,0.07
2026/1/7-10-4973,2026/1/7,10,4973,廣穎,11,6198,5594,604,6198,5594,604,1047,,443,,6,4,0.19,0.07
2026/1/7-10-6488,2026/1/7,10,6488,環球晶,12,5468,5378,90,5468,5378,90,1304,,1214,,5,5,0.24,0.22
2026/1/7-10-6125,2026/1/7,10,6125,廣運,13,5056,5530,-474,5056,5530,-474,1026,,1500,,4,6,0.19,0.30
2026/1/7-10-5347,2026/1/7,10,5347,世界,14,5767,5499,268,5767,5499,268,2413,,2145,,6,4,0.44,0.37
2026/1/7-10-8358,2026/1/7,10,8358,金居,15,5059,5218,-159,5059,5218,-159,331,,490,,6,4,0.06,0.10
2026/1/7-10-6127,2026/1/7,10,6127,九豪,16,4759,5209,-450,4759,5209,-450,569,,1019,,5,5,0.11,0.21
2026/1/7-10-6188,2026/1/7,10,6188,廣明,17,4897,4700,197,4897,4700,197,805,,608,,4,6,0.17,0.12
2026/1/7-10-5351,2026/1/7,10,5351,鈺創,18,4969,4533,436,4969,4533,436,1295,,859,,4,6,0.29,0.17
2026/1/7-10-6548,2026/1/7,10,6548,長科*,19,4853,4548,305,4853,4548,305,946,,641,,5,5,0.21,0.13
2026/1/7-10-3707,2026/1/7,10,3707,漢磊,20,3951,4452,-501,3951,4452,-501,329,,830,,5,5,0.07,0.21
2026/1/7-10-1785,2026/1/7,10,1785,光洋科,21,3460,3768,-308,3460,3768,-308,248,,556,,3,7,0.07,0.16
2026/1/7-10-3689,2026/1/7,10,3689,湧德,22,3703,3475,228,3703,3475,228,755,,527,,7,3,0.22,0.14
2026/1/7-10-3163,2026/1/7,10,3163,波若威,23,3234,3584,-350,3234,3584,-350,116,,466,,5,5,0.03,0.14
2026/1/7-10-5392,2026/1/7,10,5392,能率,24,3267,3308,-41,3267,3308,-41,394,,435,,4,6,0.12,0.13
2026/1/7-10-6485,2026/1/7,10,6485,點序,25,3153,3090,63,3153,3090,63,1137,,1074,,4,6,0.37,0.34
2026/1/7-10-3709,2026/1/7,10,3709,鑫聯大投控,26,3514,3360,154,3514,3360,154,1242,,1088,,5,5,0.37,0.31
2026/1/7-10-4971,2026/1/7,10,4971,IET-KY,27,2968,3015,-47,2968,3015,-47,326,,373,,5,5,0.11,0.13
2026/1/7-10-3624,2026/1/7,10,3624,光頡,28,2869,3221,-352,2869,3221,-352,572,,924,,5,5,0.18,0.32
2026/1/7-10-5289,2026/1/7,10,5289,宜鼎,29,2549,2862,-313,2549,2862,-313,212,,525,,5,5,0.07,0.21
2026/1/7-10-6274,2026/1/7,10,6274,台燿,30,2589,2838,-249,2589,2838,-249,311,,560,,5,5,0.11,0.22
2026/1/7-11-6182,2026/1/7,11,6182,合晶,1,22893,24755,-1862,6403,6659,-256,1378,220,1634,-1130,5,5,0.21,0.26
2026/1/7-11-1815,2026/1/7,11,1815,富喬,2,24472,24282,190,8876,8413,463,1016,-2597,553,-2780,5,5,0.12,0.06
2026/1/7-11-3105,2026/1/7,11,3105,穩懋,3,15649,15801,-152,3903,4373,-470,665,-1181,1135,-393,5,5,0.15,0.29
2026/1/7-11-3374,2026/1/7,11,3374,精材,4,14696,13687,1009,7746,6826,920,3012,1521,2092,926,5,5,0.44,0.27
2026/1/7-11-5347,2026/1/7,11,5347,世界,5,13935,14290,-355,8732,9092,-360,2933,520,3293,1148,4,6,0.32,0.38
2026/1/7-11-8088,2026/1/7,11,8088,品安,6,10683,11383,-700,1408,1524,-116,205,-453,321,-921,3,7,0.13,0.23
2026/1/7-11-4979,2026/1/7,11,4979,華星光,7,10458,10274,184,2658,2886,-228,571,-497,799,143,6,4,0.20,0.30
2026/1/7-11-6244,2026/1/7,11,6244,茂迪,8,9808,8953,855,322,288,34,266,-2145,232,-1358,3,7,0.92,0.72
2026/1/7-11-8042,2026/1/7,11,8042,金山電,9,8476,9431,-955,1251,1442,-191,97,-161,288,-734,5,5,0.07,0.23
2026/1/7-11-5483,2026/1/7,11,5483,中美晶,10,7770,7312,458,1699,1664,35,700,-133,665,255,3,7,0.42,0.39
2026/1/7-11-3707,2026/1/7,11,3707,漢磊,11,7044,7171,-127,3330,2859,471,751,422,280,-550,5,5,0.26,0.08
2026/1/7-11-4157,2026/1/7,11,4157,太景*-KY,12,7228,7212,16,1587,1287,300,761,-84,461,-668,4,6,0.59,0.29
2026/1/7-11-6488,2026/1/7,11,6488,環球晶,13,7168,6994,174,2003,1768,235,609,-695,374,-840,7,3,0.34,0.19
2026/1/7-11-6548,2026/1/7,11,6548,長科*,14,7062,6503,559,2336,2201,135,889,-57,754,113,6,4,0.40,0.32
2026/1/7-11-4973,2026/1/7,11,4973,廣穎,15,7178,6678,500,1186,1297,-111,177,-870,288,-155,3,6,0.14,0.24
2026/1/7-11-6188,2026/1/7,11,6188,廣明,16,6886,6585,301,2264,2051,213,679,-126,466,-142,5,5,0.33,0.21
2026/1/7-11-8358,2026/1/7,11,8358,金居,17,6819,7001,-182,1760,1783,-23,244,-87,267,-223,5,5,0.14,0.15
2026/1/7-11-3709,2026/1/7,11,3709,鑫聯大投控,18,7024,7170,-146,3818,3889,-71,990,-252,1061,-27,4,6,0.25,0.28
2026/1/7-11-5351,2026/1/7,11,5351,鈺創,19,6454,6030,424,1485,1497,-12,633,-662,645,-214,3,7,0.42,0.43
2026/1/7-11-6125,2026/1/7,11,6125,廣運,20,5864,6343,-479,808,813,-5,201,-825,206,-1294,5,5,0.25,0.25
2026/1/7-11-6127,2026/1/7,11,6127,九豪,21,5998,6440,-442,1437,1387,50,269,-300,219,-800,5,5,0.19,0.15
2026/1/7-11-6274,2026/1/7,11,6274,台燿,22,4471,4626,-155,2165,2048,117,397,86,280,-280,7,3,0.19,0.13
2026/1/7-11-1785,2026/1/7,11,1785,光洋科,23,4600,4962,-362,1140,1194,-54,257,9,311,-245,5,5,0.22,0.27
2026/1/7-11-3163,2026/1/7,11,3163,波若威,24,4306,4808,-502,1213,1348,-135,138,22,273,-193,4,6,0.10,0.23
2026/1/7-11-3689,2026/1/7,11,3689,湧德,25,4478,4448,30,775,973,-198,152,-603,350,-177,8,2,0.16,0.45
2026/1/7-11-4971,2026/1/7,11,4971,IET-KY,26,4067,4099,-32,1099,1084,15,217,-109,202,-171,6,4,0.20,0.18
2026/1/7-11-5498,2026/1/7,11,5498,凱崴,27,4075,3614,461,4075,3614,461,1549,,1088,,5,5,0.43,0.27
2026/1/7-11-5392,2026/1/7,11,5392,能率,28,3743,3788,-45,599,633,-34,132,-262,166,-269,4,6,0.21,0.28
2026/1/7-11-3624,2026/1/7,11,3624,光頡,29,3807,4204,-397,938,983,-45,88,-484,133,-791,5,5,0.09,0.14
2026/1/7-11-8431,2026/1/7,11,8431,匯鑽科,30,3747,3755,-8,3747,3755,-8,259,,267,,7,3,0.07,0.07
2026/1/7-12-1815,2026/1/7,12,1815,富喬,1,30741,30761,-20,6269,6479,-210,637,-379,847,294,4,6,0.10,0.14
2026/1/7-12-6182,2026/1/7,12,6182,合晶,2,24785,27035,-2250,3466,3217,249,619,-759,370,-1264,4,6,0.19,0.11
2026/1/7-12-5347,2026/1/7,12,5347,世界,3,20927,20581,346,7615,7260,355,4081,1148,3726,433,5,5,0.56,0.49
2026/1/7-12-3105,2026/1/7,12,3105,穩懋,4,16844,17600,-756,1195,1799,-604,360,-305,964,-171,4,6,0.20,0.81
2026/1/7-12-3374,2026/1/7,12,3374,精材,5,14906,14027,879,210,340,-130,84,-2928,214,-1878,3,6,0.25,1.02
2026/1/7-12-8088,2026/1/7,12,8088,品安,6,14152,14644,-492,3469,3261,208,727,522,519,198,5,5,0.22,0.15
2026/1/7-12-4979,2026/1/7,12,4979,華星光,7,11128,10963,165,670,689,-19,110,-461,129,-670,5,5,0.16,0.19
2026/1/7-12-5483,2026/1/7,12,5483,中美晶,8,9525,8346,1179,1996,1442,554,822,122,268,-397,6,3,0.57,0.13
2026/1/7-12-6244,2026/1/7,12,6244,茂迪,9,9812,9024,788,4,71,-67,2,-264,69,-163,1,6,0.03,17.25
2026/1/7-12-8042,2026/1/7,12,8042,金山電,10,8972,9879,-907,496,448,48,168,71,120,-168,7,3,0.38,0.24
2026/1/7-12-4157,2026/1/7,12,4157,太景*-KY,11,8486,8315,171,1484,1449,35,404,-357,369,-92,4,6,0.28,0.25
2026/1/7-12-3707,2026/1/7,12,3707,漢磊,12,7981,8026,-45,937,855,82,254,-497,172,-108,5,5,0.30,0.18
2026/1/7-12-6488,2026/1/7,12,6488,環球晶,13,8155,8156,-1,1324,1435,-111,616,7,727,353,7,3,0.43,0.55
2026/1/7-12-6548,2026/1/7,12,6548,長科*,14,8103,7204,899,1041,701,340,516,-373,176,-578,4,6,0.74,0.17
