115年02月03日 截至11:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","茂迪(6244)"
"1","元大","6470","8512"
"2","凱基","6979","5548"
"3","富邦","6338","5393"
"4","元富","1708","2287"
"5","群益","1957","1979"
"6","台新","2944","871"
"7","永豐金","1345","1828"
"8","國泰綜合","737","2151"
"9","美商高盛亞","1984","482"
"10","統一","1102","756"
"2","富喬(1815)"
"1","元大","8869","9999"
"2","凱基","5721","4568"
"3","富邦","4553","3467"
"4","國泰綜合","2430","2344"
"5","群益","2370","1593"
"6","永豐金","1900","1933"
"7","美商高盛亞","1211","1413"
"8","新光","1244","1042"
"9","玉山證券","1014","1161"
"10","元富","1063","1091"
"3","系統電(5309)"
"1","元大","9278","9925"
"2","凱基","4495","4987"
"3","群益","2839","2812"
"4","富邦","2906","2505"
"5","國泰綜合","2763","2159"
"6","永豐金","2238","2286"
"7","美商高盛亞","1794","1616"
"8","華南永昌","1440","1558"
"9","統一","736","2101"
"10","台新","1190","935"
"4","世界(5347)"
"1","元大","5427","3909"
"2","美商高盛亞","1656","2388"
"3","凱基","1504","2444"
"4","星洲瑞銀","824","2849"
"5","永豐金","1366","1191"
"6","富邦","1431","907"
"7","中國信託證","464","1226"
"8","國泰綜合","1195","410"
"9","群益","645","686"
"10","摩根士丹利","243","910"
"5","華星光(4979)"
"1","元大","4819","4101"
"2","凱基","2601","2933"
"3","永豐金","1523","1754"
"4","富邦","1771","1374"
"5","美商高盛亞","1018","1689"
"6","國泰綜合","1652","1050"
"7","群益","858","1089"
"8","康和","279","1265"
"9","統一","615","747"
"10","兆豐","681","592"
"6","威剛(3260)"
"1","元大","2755","3033"
"2","凱基","2575","2746"
"3","群益","1253","1888"
"4","富邦","984","1062"
"5","摩根大通","1302","741"
"6","國泰綜合","635","828"
"7","永豐金","639","813"
"8","星洲瑞銀","1110","293"
"9","元富","533","579"
"10","統一","525","485"
"7","方土昶(6265)"
"1","元大","3781","3399"
"2","凱基","1640","1896"
"3","富邦","1294","1406"
"4","群益","563","1860"
"5","美商高盛亞","1198","916"
"6","國泰綜合","813","703"
"7","永豐金","702","658"
"8","玉山證券","565","320"
"9","摩根大通","355","528"
"10","華南永昌","485","358"
"8","鈺創(5351)"
"1","元大","2336","3033"
"2","凱基","1626","1776"
"3","富邦","560","1208"
"4","星洲瑞銀","1499","83"
"5","摩根大通","1397","181"
"6","摩根士丹利","1296","43"
"7","群益","587","657"
"8","美商高盛亞","737","493"
"9","國泰綜合","474","663"
"10","永豐金","250","832"
"9","群聯(8299)"
"1","元大","2513","2823"
"2","凱基","1567","1635"
"3","美商高盛亞","1185","881"
"4","永豐金","842","1009"
"5","富邦","783","935"
"6","摩根大通","987","418"
"7","國泰綜合","575","574"
"8","星洲瑞銀","808","284"
"9","群益","399","687"
"10","元富","299","754"
"10","青雲(5386)"
"1","元大","2385","2659"
"2","凱基","1336","1951"
"3","富邦","1095","1232"
"4","國泰綜合","699","647"
"5","群益","695","625"
"6","永豐金","618","631"
"7","美商高盛亞","741","205"
"8","元富","426","487"
"9","新光","398","436"
"10","統一","402","427"
"11","環宇-KY(4991)"
"1","元大","2852","2736"
"2","富邦","2995","2463"
"3","凱基","1986","1291"
"4","永豐金","552","759"
"5","統一","413","764"
"6","群益","418","316"
"7","元富","248","482"
"8","國泰綜合","193","494"
"9","華南永昌","207","425"
"10","國票","225","347"
"12","品安(8088)"
"1","元大","2944","2733"
"2","美商高盛亞","1048","675"
"3","凱基","816","855"
"4","富邦","736","755"
"5","永豐金","487","884"
"6","國泰綜合","519","643"
"7","群益","425","568"
"8","台新","452","480"
"9","星洲瑞銀","480","324"
"10","元富","369","407"
"13","穩懋(3105)"
"1","元大","2312","2556"
"2","凱基","2097","1538"
"3","美商高盛亞","753","1078"
"4","永豐金","903","781"
"5","富邦","736","634"
"6","國泰綜合","410","399"
"7","群益","280","514"
"8","台新","526","236"
"9","摩根大通","180","555"
"10","華南永昌","494","211"
"14","漢磊(3707)"
"1","元大","2630","1846"
"2","凱基","683","1580"
"3","美商高盛亞","259","881"
"4","富邦","714","410"
"5","國泰綜合","653","194"
"6","群益","472","349"
"7","永豐金","366","360"
"8","統一","415","289"
"9","兆豐","267","404"
"10","摩根大通","18","589"
"15","上詮(3363)"
"1","元大","2271","2063"
"2","凱基","992","1306"
"3","富邦","706","588"
"4","美商高盛亞","336","771"
"5","國泰綜合","627","367"
"6","永豐金","597","371"
"7","群益","422","467"
"8","統一","270","409"
"9","元富","363","264"
"10","華南永昌","389","223"
"16","中探針(6217)"
"1","元大","1636","1660"
"2","凱基","963","1136"
"3","永豐金","931","910"
"4","富邦","613","845"
"5","美商高盛亞","424","525"
"6","群益","492","357"
"7","國泰綜合","450","391"
"8","華南永昌","261","351"
"9","元富","248","287"
"10","台新","261","260"
"17","東典光電(6588)"
"1","元大","1855","1786"
"2","凱基","1281","1083"
"3","富邦","668","765"
"4","群益","498","540"
"5","華南永昌","254","602"
"6","永豐金","319","389"
"7","國泰綜合","371","321"
"8","元富","301","316"
"9","美商高盛亞","269","285"
"10","台新","279","190"
"18","長科*(6548)"
"1","凱基","825","2269"
"2","元大","1448","1092"
"3","美商高盛亞","486","505"
"4","富邦","711","202"
"5","摩根大通","79","469"
"6","國泰綜合","336","163"
"7","永豐金","363","106"
"8","群益","178","236"
"9","台新","279","79"
"10","元富","243","105"
"19","合晶(6182)"
"1","元大","1500","1736"
"2","凱基","783","603"
"3","富邦","480","495"
"4","美商高盛亞","443","455"
"5","國泰綜合","479","380"
"6","群益","285","332"
"7","永豐金","276","272"
"8","元富","244","254"
"9","華南永昌","201","266"
"10","星洲瑞銀","239","160"
"20","凱崴(5498)"
"1","凱基","2875","815"
"2","元大","1068","1130"
"3","富邦","354","578"
"4","國泰綜合","285","515"
"5","永豐金","166","349"
"6","群益","180","304"
"7","美商高盛亞","167","242"
"8","摩根大通","29","311"
"9","星洲瑞銀","20","281"
"10","台新","146","155"
"21","信音(6126)"
"1","元大","906","1245"
"2","凱基","924","480"
"3","新光","655","292"
"4","富邦","283","421"
"5","國泰綜合","229","429"
"6","兆豐","406","250"
"7","永豐金","217","382"
"8","群益","251","225"
"9","台新","173","258"
"10","華南永昌","284","115"
"22","良維(6290)"
"1","凱基","1167","572"
"2","元大","668","859"
"3","美商高盛亞","536","360"
"4","富邦","284","514"
"5","群益","353","239"
"6","元富","137","333"
"7","兆豐","251","218"
"8","華南永昌","98","350"
"9","星洲瑞銀","261","162"
"10","永豐金","107","282"
"23","協易機(4533)"
"1","元大","1151","893"
"2","凱基","460","826"
"3","富邦","470","366"
"4","永豐金","291","534"
"5","國泰綜合","324","242"
"6","群益","255","309"
"7","美商高盛亞","202","358"
"8","華南永昌","296","201"
"9","元富","163","248"
"10","台新","224","125"
