"115年03月26日 截至10:00止 热门股券商进出排行(等价整股由大而小排列)"
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"9","統一","106","169"
"10","兆豐","66","195"
"23","九豪(6127)"
"1","元大","1036","853"
"2","凱基","469","622"
"3","國泰綜合","390","253"
"4","富邦","319","254"
"5","永豐金","104","384"
"6","華南永昌","324","147"
"7","群益","203","224"
"8","國票","220","203"
"9","兆豐","158","247"
"10","星洲瑞銀","76","313"
"24","穩懋(3105)"
"1","富邦","1347","574"
"2","元大","871","770"
"3","凱基","1122","405"
"4","統一","412","174"
"5","永豐金","124","325"
"6","群益","48","233"
"7","國泰綜合","32","220"
"8","國票","160","90"
"9","元富","101","144"
"10","美商高盛亞","203","3"
"25","長科*(6548)"
"1","元大","622","714"
"2","凱基","683","464"
"3","新光","515","467"
"4","富邦","142","376"
"5","摩根士丹利","193","220"
"6","群益","238","162"
"7","美商高盛亞","302","80"
"8","永豐金","133","243"
"9","玉山證券","217","93"
"10","星洲瑞銀","204","48"
"26","萬泰科(6190)"
"1","元大","828","775"
"2","凱基","577","578"
"3","富邦","264","227"
"4","國泰綜合","167","261"
"5","群益","159","172"
"6","星洲瑞銀","167","149"
"7","永豐金","176","133"
"8","宏遠","5","294"
"9","玉山證券","192","99"
"10","元富","117","156"
"27","協易機(4533)"
"1","元大","960","679"
"2","凱基","382","1073"
"3","群益","274","421"
"4","富邦","305","274"
"5","永豐金","224","188"
"6","國泰綜合","213","165"
"7","新光","147","122"
"8","華南永昌","163","100"
"9","兆豐","154","52"
"10","元富","114","90"
"28","邑昇(5291)"
"1","凱基","1685","480"
"2","元大","596","899"
"3","富邦","398","358"
"4","元富","180","177"
"5","永豐金","136","209"
"6","群益","107","233"
"7","國泰綜合","111","219"
"8","華南永昌","55","199"
"9","台新","37","135"
"10","兆豐","28","132"
"29","華電網(6163)"
"1","元大","775","750"
"2","凱基","500","511"
"3","富邦","298","332"
"4","永豐金","308","264"
"5","群益","194","357"
"6","統一","117","279"
"7","美商高盛亞","160","154"
"8","合庫","226","40"
"9","國泰綜合","152","91"
"10","玉山證券","116","85"
"30","鈦昇(8027)"
"1","元大","895","845"
"2","富邦","490","269"
"3","永豐金","262","321"
"4","群益","191","385"
"5","凱基","169","347"
"6","台新","235","151"
"7","國泰綜合","211","132"
"8","元富","117","214"
"9","統一","119","101"
"10","新光","94","109"
