115年01月13日 截至11:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","華電網(6163)"
"1","元大","12975","11680"
"2","凱基","8578","8885"
"3","富邦","7366","9289"
"4","永豐金","4682","4687"
"5","群益","2603","2997"
"6","國泰綜合","3284","2206"
"7","統一","1942","3336"
"8","兆豐","2025","1748"
"9","台新","1940","1408"
"10","華南永昌","1743","1582"
"2","世界(5347)"
"1","元大","7893","7964"
"2","凱基","4401","6482"
"3","國票","2674","6011"
"4","星洲瑞銀","2754","2985"
"5","統一","592","4719"
"6","富邦","3222","1814"
"7","國泰綜合","1941","2007"
"8","群益","2832","1098"
"9","永豐金","1429","1975"
"10","摩根士丹利","2902","63"
"3","富喬(1815)"
"1","元大","9992","9484"
"2","凱基","4650","5978"
"3","富邦","4417","3479"
"4","國泰綜合","3280","1942"
"5","永豐金","2312","1843"
"6","星洲瑞銀","1706","2315"
"7","群益","1937","1962"
"8","元富","1243","1360"
"9","兆豐","1531","1005"
"10","統一","995","1491"
"4","品安(8088)"
"1","凱基","10583","7272"
"2","元大","7699","9428"
"3","富邦","4416","4537"
"4","國泰綜合","1239","1936"
"5","永豐金","1475","1508"
"6","群益","1085","1296"
"7","華南永昌","1165","1049"
"8","元富","949","1116"
"9","美商高盛亞","925","866"
"10","台新","789","979"
"5","台半(5425)"
"1","元大","6798","9620"
"2","凱基","5018","4064"
"3","富邦","1325","3552"
"4","國泰綜合","2740","1844"
"5","永豐金","1627","1896"
"6","群益","1464","2030"
"7","統一","1734","1410"
"8","兆豐","1592","1321"
"9","元富","1100","1634"
"10","華南永昌","1256","1328"
"6","穩懋(3105)"
"1","元大","7331","5453"
"2","凱基","4259","6709"
"3","富邦","3049","2683"
"4","永豐金","2228","1410"
"5","國泰綜合","2221","1289"
"6","美商高盛亞","577","2654"
"7","群益","1952","1112"
"8","星洲瑞銀","204","2103"
"9","華南永昌","1367","914"
"10","元富","1139","928"
"7","茂迪(6244)"
"1","元大","6317","6603"
"2","凱基","4110","3454"
"3","富邦","3650","3628"
"4","國泰綜合","1825","1905"
"5","群益","1681","1702"
"6","永豐金","1294","1738"
"7","華南永昌","989","1171"
"8","元富","992","1068"
"9","兆豐","792","981"
"10","台新","931","718"
"8","合晶(6182)"
"1","元大","3542","3592"
"2","凱基","2101","1958"
"3","富邦","1804","1579"
"4","美商高盛亞","909","1076"
"5","國泰綜合","779","905"
"6","星洲瑞銀","607","852"
"7","永豐金","511","835"
"8","群益","547","754"
"9","華南永昌","691","331"
"10","元富","532","488"
"9","東捷(8064)"
"1","元大","1820","3191"
"2","凱基","2272","2048"
"3","富邦","1684","1962"
"4","群益","727","919"
"5","元富","603","1010"
"6","華南永昌","922","683"
"7","美林證券","1319","20"
"8","星洲瑞銀","1107","150"
"9","永豐金","521","727"
"10","統一","459","574"
"10","華星光(4979)"
"1","元大","2862","2452"
"2","凱基","1959","2097"
"3","永豐金","1572","1349"
"4","富邦","1215","1236"
"5","群益","693","1191"
"6","國泰綜合","957","802"
"7","元富","601","766"
"8","統一","489","763"
"9","華南永昌","614","563"
"10","美商高盛亞","384","700"
"11","新復興(4909)"
"1","元大","3489","3261"
"2","凱基","1536","2132"
"3","富邦","1153","951"
"4","國泰綜合","1003","610"
"5","群益","653","793"
"6","永豐金","681","629"
"7","統一","240","1064"
"8","華南永昌","741","520"
"9","台新","647","278"
"10","元富","369","422"
"12","廣穎(4973)"
"1","元大","2386","2143"
"2","凱基","1809","1750"
"3","富邦","1240","1296"
"4","國票","332","1074"
"5","永豐金","685","565"
"6","美商高盛亞","584","661"
"7","群益","521","522"
"8","國泰綜合","476","525"
"9","元富","367","421"
"10","華南永昌","427","348"
"13","環宇-KY(4991)"
"1","元大","1958","1529"
"2","凱基","1372","1667"
"3","富邦","726","773"
"4","美林證券","825","435"
"5","永豐金","761","482"
"6","國泰綜合","817","315"
"7","台新","321","612"
"8","統一","362","561"
"9","群益","429","463"
"10","星洲瑞銀","3","755"
"14","萬泰科(6190)"
"1","元大","1891","1790"
"2","凱基","1492","1197"
"3","富邦","869","1279"
"4","國泰綜合","568","572"
"5","群益","455","479"
"6","華南永昌","452","482"
"7","兆豐","362","457"
"8","元富","284","524"
"9","美商高盛亞","347","430"
"10","永豐金","430","299"
"15","鉅橡(8074)"
"1","元大","1818","2236"
"2","凱基","1298","961"
"3","國泰綜合","841","941"
"4","富邦","760","932"
"5","永豐金","513","587"
"6","美商高盛亞","600","322"
"7","群益","386","515"
"8","華南永昌","486","394"
"9","統一","226","540"
"10","合庫","406","172"
"16","精材(3374)"
"1","元大","1972","1687"
"2","凱基","1172","1215"
"3","永豐金","571","1120"
"4","富邦","735","743"
"5","國泰綜合","544","413"
"6","群益","466","451"
"7","美商高盛亞","417","394"
"8","元富","283","487"
"9","統一","201","473"
"10","台新","313","209"
"17","台星科(3265)"
"1","元大","1546","1882"
"2","凱基","1329","1093"
"3","富邦","567","657"
"4","群益","323","430"
"5","永豐金","435","311"
"6","星洲瑞銀","414","229"
"7","國泰綜合","297","300"
"8","新光","246","350"
"9","兆豐","276","295"
"10","統一","203","341"
"18","台燿(6274)"
"1","元大","1387","1584"
"2","凱基","1120","994"
"3","富邦","603","676"
"4","統一","192","772"
"5","星洲瑞銀","310","530"
"6","永豐金","361","318"
"7","國泰綜合","436","234"
"8","群益","366","281"
"9","元富","333","285"
"10","美商高盛亞","301","176"
"19","富強鑫(6603)"
"1","元大","1351","1280"
"2","凱基","808","1120"
"3","富邦","506","554"
"4","永豐金","627","430"
"5","華南永昌","415","448"
"6","元富","500","232"
"7","國泰綜合","342","306"
"8","中國信託證","254","386"
"9","群益","214","285"
"10","新光","198","296"
"20","環球晶(6488)"
"1","元大","1281","1523"
"2","凱基","740","1314"
"3","富邦","381","449"
"4","群益","333","321"
"5","摩根大通","572","28"
"6","華南永昌","186","358"
"7","國泰綜合","303","240"
"8","永豐金","253","286"
"9","星洲瑞銀","207","311"
"10","花旗環球","483","3"
"21","均豪(5443)"
"1","元大","1269","1581"
"2","凱基","1175","1061"
"3","富邦","384","473"
"4","國泰綜合","449","395"
"5","永豐金","499","314"
"6","群益","233","345"
"7","華南永昌","223","218"
"8","台新","251","178"
"9","元富","167","237"
"10","統一","236","159"
"22","邑昇(5291)"
"1","元大","1445","1308"
"2","凱基","868","1375"
"3","富邦","732","727"
"4","國泰綜合","405","275"
"5","華南永昌","277","388"
"6","群益","296","262"
"7","台新","234","273"
"8","永豐金","308","199"
"9","統一","211","230"
"10","元富","217","212"
"23","方土昶(6265)"
"1","台新","282","1155"
"2","群益","958","441"
"3","元大","633","737"
"4","富邦","529","342"
