115年01月13日 截至13:46止 熱門股證券商進出排行(等價整股由大而小排列),,,
排行,股票名稱(代號) ,,
排行, 證商名稱,總買量(張) ,總賣量(張) 
2,凱基,1221,705
3,富邦,816,997
4,永豐金,669,632
5,群益,412,522
6,國泰綜合,288,456
7,美商高盛亞,417,255
8,華南永昌,262,350
9,元富,253,325
10,新光,284,250
26,均豪(5443),,
1,元大,1755,1858
2,凱基,1452,1494
3,國泰綜合,594,542
4,富邦,523,607
5,永豐金,641,381
6,群益,387,440
7,台新,326,265
8,華南永昌,284,297
9,元富,241,308
10,統一,330,184
27,由田(3455),,
1,元大,1554,1643
2,凱基,1148,1220
3,永豐金,918,665
4,富邦,614,698
5,台新,591,546
6,元富,469,523
7,美商高盛亞,442,452
8,群益,495,347
9,國泰綜合,319,327
10,統一,268,254
28,中美晶(5483),,
1,元大,1356,1150
2,凱基,1132,993
3,富邦,636,681
4,永豐金,640,575
5,美商高盛亞,518,650
6,國泰綜合,325,491
7,台新,340,411
8,統一,369,316
9,華南永昌,396,270
10,群益,333,318
29,系統電(5309),,
1,元大,1561,1249
2,富邦,1014,1102
3,凱基,947,1040
4,國泰綜合,645,468
5,永豐金,498,513
6,群益,550,403
7,元富,309,291
8,華南永昌,348,187
9,星洲瑞銀,121,411
10,台新,203,316
30,千如(3236),,
1,元大,1822,1734
2,凱基,1427,1257
3,富邦,756,861
4,美商高盛亞,583,493
5,群益,458,442
6,國泰綜合,334,497
7,永豐金,424,369
8,星洲瑞銀,465,227
9,華南永昌,274,279
10,元富,181,239
共300筆,,,
