115年02月02日 截至11:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","擎亞(8096)"
"1","元大","8080","7931"
"2","凱基","4853","4900"
"3","永豐金","2894","4014"
"4","富邦","2660","3498"
"5","國泰綜合","3793","1511"
"6","群益","2062","2198"
"7","統一","716","2887"
"8","台新","983","1937"
"9","星洲瑞銀","1609","949"
"10","華南永昌","1071","1011"
"2","富喬(1815)"
"1","元大","4238","5049"
"2","凱基","1796","3448"
"3","富邦","1975","1308"
"4","國泰綜合","1322","847"
"5","永豐金","1078","911"
"6","星洲瑞銀","51","1923"
"7","群益","1172","542"
"8","玉山證券","892","388"
"9","新光","761","386"
"10","台新","791","302"
"3","世界(5347)"
"1","元大","3790","3459"
"2","凱基","2215","3223"
"3","永豐金","780","2673"
"4","美商高盛亞","1740","1092"
"5","富邦","1651","934"
"6","星洲瑞銀","2186","168"
"7","摩根大通","700","1285"
"8","摩根士丹利","1454","434"
"9","台新","284","1148"
"10","國票","365","894"
"4","茂迪(6244)"
"1","元大","5111","3509"
"2","凱基","1669","2951"
"3","永豐金","1171","1210"
"4","富邦","1309","827"
"5","群益","815","1280"
"6","統一","876","967"
"7","國泰綜合","1143","569"
"8","兆豐","496","766"
"9","華南永昌","727","410"
"10","元富","520","590"
"5","華星光(4979)"
"1","元大","3753","3796"
"2","凱基","2219","2785"
"3","國泰綜合","1232","1048"
"4","富邦","966","1140"
"5","群益","960","1027"
"6","永豐金","943","987"
"7","統一","905","599"
"8","美商高盛亞","744","759"
"9","華南永昌","591","394"
"10","元富","549","425"
"6","系統電(5309)"
"1","元大","5583","3778"
"2","凱基","2432","1729"
"3","富邦","1052","1558"
"4","群益","854","893"
"5","永豐金","636","867"
"6","國泰綜合","434","978"
"7","元富","578","796"
"8","美商高盛亞","627","579"
"9","華南永昌","338","585"
"10","兆豐","187","584"
"7","穩懋(3105)"
"1","元大","2670","2718"
"2","凱基","1592","2115"
"3","永豐金","1019","971"
"4","富邦","787","500"
"5","美商高盛亞","565","556"
"6","國泰綜合","640","413"
"7","群益","504","332"
"8","美林證券","644","191"
"9","星洲瑞銀","535","265"
"10","摩根士丹利","98","668"
"8","鈺創(5351)"
"1","元大","2387","1836"
"2","凱基","1195","1114"
"3","群益","868","944"
"4","富邦","880","819"
"5","兆豐","809","887"
"6","美商高盛亞","367","774"
"7","國泰綜合","617","398"
"8","永豐金","536","371"
"9","星洲瑞銀","105","791"
"10","華南永昌","450","397"
"9","東典光電(6588)"
"1","元大","2203","2337"
"2","凱基","1366","1471"
"3","富邦","723","635"
"4","永豐金","721","552"
"5","元富","588","463"
"6","國泰綜合","584","432"
"7","群益","504","455"
"8","統一","270","548"
"9","兆豐","342","441"
"10","華南永昌","430","339"
"10","威剛(3260)"
"1","元大","1687","2035"
"2","凱基","1620","1999"
"3","富邦","668","755"
"4","群益","508","423"
"5","永豐金","534","370"
"6","國泰綜合","399","451"
"7","星洲瑞銀","435","378"
"8","摩根大通","330","453"
"9","華南永昌","333","213"
"10","摩根士丹利","422","76"
"11","方土昶(6265)"
"1","元大","2209","2380"
"2","凱基","1388","991"
"3","永豐金","651","722"
"4","富邦","531","577"
"5","美商高盛亞","393","551"
"6","群益","435","375"
"7","國泰綜合","437","360"
"8","台新","397","377"
"9","玉山證券","310","361"
"10","星洲瑞銀","223","296"
