115年04月02日 截至14:02止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","頎邦(6147)"
"1","凱基","15713","9346"
"2","元大","10952","14040"
"3","富邦","13010","8094"
"4","統一","7956","3537"
"5","國票","4860","4962"
"6","永豐金","4883","3927"
"7","國泰綜合","2838","2434"
"8","群益","1404","3260"
"9","摩根士丹利","2039","1692"
"10","華南永昌","716","2606"
"2","穩懋(3105)"
"1","元大","15069","14562"
"2","凱基","6562","6522"
"3","國泰綜合","3876","4171"
"4","富邦","3640","4296"
"5","永豐金","3265","3845"
"6","群益","3207","2996"
"7","台新","1457","1748"
"8","統一","1376","1797"
"9","華南永昌","1398","1745"
"10","元富","1441","1633"
"3","威剛(3260)"
"1","元大","7136","6217"
"2","凱基","3587","3386"
"3","富邦","2307","2171"
"4","國泰綜合","1792","1489"
"5","摩根大通","981","2164"
"6","群益","1400","1378"
"7","永豐金","1565","1173"
"8","元富","1076","930"
"9","華南永昌","1064","874"
"10","統一","805","1032"
"4","富喬(1815)"
"1","元大","5787","5673"
"2","凱基","3707","3236"
"3","富邦","2270","1974"
"4","國泰綜合","1861","1584"
"5","美商高盛亞","1059","1925"
"6","永豐金","1276","1688"
"7","群益","1575","1105"
"8","元富","666","1496"
"9","台新","929","889"
"10","星洲瑞銀","900","806"
"5","光洋科(1785)"
"1","元大","5688","4425"
"2","凱基","3268","2739"
"3","富邦","2506","1465"
"4","國泰綜合","1748","1331"
"5","美商高盛亞","672","2206"
"6","群益","1424","1312"
"7","永豐金","1532","1188"
"8","星洲瑞銀","1229","1469"
"9","新光","733","1808"
"10","摩根士丹利","269","1518"
"6","世界(5347)"
"1","凱基","1980","4709"
"2","富邦","1215","4734"
"3","元大","3567","2369"
"4","群益","3061","644"
"5","星洲瑞銀","3106","216"
"6","港商麥格理","945","1671"
"7","摩根大通","2310","250"
"8","摩根士丹利","542","1902"
"9","新光","372","1948"
"10","花旗環球","439","1416"
"7","欣銓(3264)"
"1","元大","3953","3911"
"2","凱基","2116","2516"
"3","富邦","2035","1618"
"4","美商高盛亞","1182","1227"
"5","統一","1730","669"
"6","群益","1084","1230"
"7","國泰綜合","1024","999"
"8","永豐金","910","1066"
"9","台新","520","795"
"10","兆豐","508","630"
"8","鈦昇(8027)"
"1","元大","4319","4155"
"2","凱基","1615","3557"
"3","富邦","2364","2237"
"4","群益","1280","976"
"5","永豐金","1144","1017"
"6","國泰綜合","1059","946"
"7","星洲瑞銀","874","687"
"8","美商高盛亞","810","562"
"9","華南永昌","632","522"
"10","摩根士丹利","706","377"
"9","鈺創(5351)"
"1","元大","3509","2464"
"2","凱基","2357","2506"
"3","富邦","1816","1769"
"4","摩根大通","453","1771"
"5","國泰綜合","1323","891"
"6","群益","947","1029"
"7","永豐金","1117","735"
"8","星洲瑞銀","306","1341"
"9","華南永昌","716","726"
"10","摩根士丹利","420","1018"
"10","擎亞(8096)"
"1","元大","3827","3852"
"2","凱基","2061","2209"
"3","富邦","1392","1540"
"4","國泰綜合","1191","1025"
"5","群益","1105","1095"
"6","永豐金","1076","804"
"7","台新","715","591"
"8","華南永昌","613","664"
"9","統一","419","650"
"10","新光","448","517"
"11","台燿(6274)"
"1","元大","3320","3757"
"2","凱基","1803","2182"
"3","富邦","1126","1258"
"4","國泰綜合","940","881"
"5","群益","827","886"
"6","永豐金","613","747"
"7","星洲瑞銀","641","607"
"8","美商高盛亞","685","511"
"9","元富","490","639"
"10","兆豐","515","609"
"12","台嘉碩(3221)"
"1","元大","3032","2702"
"2","凱基","1419","1731"
"3","富邦","1215","1332"
"4","國泰綜合","983","925"
"5","永豐金","998","726"
"6","群益","711","566"
"7","台新","489","669"
"8","華南永昌","640","458"
"9","玉山證券","572","489"
"10","統一","327","661"
"13","金居(8358)"
"1","元大","3486","3584"
"2","凱基","1736","1736"
"3","富邦","1042","1041"
"4","永豐金","639","683"
"5","國泰綜合","725","580"
"6","群益","606","393"
"7","國票","163","732"
"8","星洲瑞銀","545","305"
"9","摩根士丹利","474","289"
"10","摩根大通","152","597"
"14","九豪(6127)"
"1","元大","2641","2484"
"2","凱基","1445","1369"
"3","富邦","1094","1236"
"4","永豐金","737","849"
"5","群益","752","769"
"6","國泰綜合","703","564"
"7","華南永昌","568","512"
"8","元富","434","270"
"9","玉山證券","278","395"
"10","兆豐","335","276"
"15","東典光電(6588)"
"1","元大","2067","2665"
"2","凱基","1036","1049"
"3","富邦","552","484"
"4","永豐金","573","418"
"5","群益","512","388"
"6","國泰綜合","492","401"
"7","統一","459","390"
"8","摩根大通","354","481"
"9","華南永昌","294","261"
"10","新光","188","312"
"16","群聯(8299)"
"1","元大","1581","1196"
"2","凱基","1035","1027"
"3","美商高盛亞","381","828"
"4","富邦","649","436"
"5","永豐金","515","395"
"6","法銀巴黎證","0","819"
"7","統一","393","363"
"8","群益","432","277"
"9","國泰綜合","365","293"
"10","摩根士丹利","204","363"
"17","德宏(5475)"
"1","元大","995","2206"
"2","富邦","1526","1065"
"3","凱基","1216","589"
"4","元富","1164","304"
"5","永豐金","251","604"
"6","兆豐","313","384"
"7","國泰綜合","251","369"
"8","台新","385","208"
"9","統一","215","293"
"10","華南永昌","131","343"
"18","萬泰科(6190)"
"1","元大","1483","1670"
"2","凱基","653","702"
"3","富邦","668","657"
"4","兆豐","265","901"
"5","國泰綜合","581","519"
"6","永豐金","437","396"
"7","元富","499","303"
"8","群益","330","371"
"9","統一","310","237"
"10","玉山證券","192","269"
"19","茂迪(6244)"
"1","元大","920","1361"
"2","富邦","582","858"
"3","凱基","543","421"
"4","美商高盛亞","838","126"
"5","國泰綜合","308","626"
"6","星洲瑞銀","563","239"
"7","摩根大通","656","63"
"8","群益","226","483"
"9","永豐金","242","371"
"10","摩根士丹利","431","182"
"20","東捷(8064)"
"1","元大","1558","1153"
"2","凱基","864","943"
"3","富邦","547","458"
"4","永豐金","383","386"
"5","星洲瑞銀","370","311"
"6","群益","370","260"
"7","國泰綜合","283","336"
"8","華南永昌","231","364"
"9","摩根士丹利","233","340"
"10","新光","196","363"
"21","聚和(6509)"
"1","元大","1301","1156"
"2","富邦","545","579"
"3","凱基","569","455"
"4","群益","427","352"
"5","元富","232","415"
"6","國泰綜合","359","232"
"7","永豐金","287","279"
"8","台新","181","188"
"9","兆豐","218","143"
"10","星洲瑞銀","36","306"
"22","順達(3211)"
"1","元大","719","869"
"2","凱基","780","570"
"3","永豐金","531","304"
"4","富邦","307","500"
"5","華南永昌","486","273"
"6","摩根士丹利","280","418"
"7","美林證券","459","106"
"8","國泰綜合","227","287"
"9","元富","167","309"
"10","統一","121","297"
"23","合晶(6182)"
"1","元大","917","780"
"2","凱基","700","589"
"3","富邦","539","698"
"4","美商高盛亞","221","579"
"5","永豐金","445","262"
"6","群益","349","264"
"7","星洲瑞銀","281","212"
"8","國泰綜合","282","196"
"9","摩根士丹利","32","397"
"10","華南永昌","205","200"
"24","凱崴(5498)"
"1","元大","1399","1315"
"2","凱基","639","732"
"3","富邦","556","381"
"4","群益","287","313"
"5","永豐金","323","259"
"6","國泰綜合","236","284"
"7","美商高盛亞","230","286"
"8","台新","220","203"
"9","元富","173","206"
"10","星洲瑞銀","143","218"
"25","波若威(3163)"
"1","凱基","1551","600"
"2","元大","716","1224"
"3","富邦","645","619"
"4","美商高盛亞","567","77"
"5","統一","145","410"
"6","國泰綜合","190","290"
"7","兆豐","91","348"
"8","群益","164","226"
"9","永豐金","122","263"
"10","元富","98","180"
"26","華電網(6163)"
"1","元大","1278","1151"
"2","凱基","422","539"
"3","富邦","333","534"
"4","永豐金","399","372"
"5","群益","297","311"
"6","國泰綜合","402","165"
"7","兆豐","293","183"
"8","統一","182","272"
"9","國票","125","241"
"10","台新","169","165"
"27","聯光通(4903)"
"1","元大","1059","1263"
"2","凱基","540","488"
"3","富邦","341","424"
"4","永豐金","372","353"
"5","星洲瑞銀","259","286"
"6","美商高盛亞","233","251"
"7","群益","182","233"
"8","國票","289","104"
"9","元富","156","231"
"10","玉山證券","212","146"
"28","達航科技(4577)"
"1","元大","939","986"
"2","凱基","791","717"
"3","富邦","370","438"
"4","永豐金","205","438"
"5","元富","211","310"
"6","群益","287","224"
"7","華南永昌","244","241"
"8","統一","234","222"
"9","國泰綜合","154","222"
"10","國票","274","96"
"29","建榮(5340)"
"1","元大","840","1018"
"2","凱基","695","372"
"3","美商高盛亞","390","332"
"4","國泰綜合","280","410"
"5","富邦","289","289"
"6","星洲瑞銀","309","251"
"7","永豐金","210","299"
"8","群益","224","221"
"9","元富","260","149"
"10","華南永昌","148","219"
"30","中美晶(5483)"
"1","凱基","726","1028"
"2","元大","843","618"
"3","富邦","421","296"
"4","國泰綜合","186","525"
"5","摩根士丹利","516","173"
"6","星洲瑞銀","126","373"
"7","永豐金","196","188"
"8","美商高盛亞","234","138"
"9","華南永昌","111","260"
"10","美林證券","179","145"
