115年03月19日 截至11:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","穩懋(3105)"
"1","元大","7659","8531"
"2","凱基","5830","5461"
"3","富邦","5890","4870"
"4","永豐金","2658","2526"
"5","國泰綜合","2551","2421"
"6","群益","2710","1912"
"7","統一","2308","1347"
"8","摩根士丹利","729","1557"
"9","摩根大通","1122","1009"
"10","國票","1627","436"
"2","合晶(6182)"
"1","元大","9887","8345"
"2","凱基","4596","5320"
"3","富邦","3116","4230"
"4","國泰綜合","2538","1722"
"5","群益","1835","2084"
"6","永豐金","1704","1416"
"7","摩根士丹利","507","2146"
"8","華南永昌","1373","1177"
"9","美商高盛亞","812","1339"
"10","兆豐","1104","663"
"3","光洋科(1785)"
"1","元大","7848","11247"
"2","凱基","3792","3737"
"3","永豐金","4029","2133"
"4","富邦","2085","2230"
"5","星洲瑞銀","2714","1406"
"6","摩根士丹利","1840","1780"
"7","群益","1545","1599"
"8","國泰綜合","1715","1109"
"9","統一","712","1609"
"10","元富","1093","891"
"4","頎邦(6147)"
"1","元大","7044","5962"
"2","凱基","3256","7154"
"3","永豐金","1906","1436"
"4","富邦","1790","1414"
"5","國票","569","2532"
"6","統一","729","2366"
"7","國泰綜合","1838","704"
"8","元富","1386","766"
"9","群益","1131","850"
"10","美商高盛亞","1122","690"
"5","擎亞(8096)"
"1","元大","6931","6407"
"2","凱基","3850","4293"
"3","富邦","2334","3649"
"4","永豐金","1609","2201"
"5","國泰綜合","2550","1238"
"6","群益","1552","1544"
"7","統一","1341","1733"
"8","國票","934","1826"
"9","新光","931","475"
"10","華南永昌","718","596"
"6","凱崴(5498)"
"1","元大","5399","4283"
"2","凱基","2126","4294"
"3","富邦","1622","2432"
"4","國泰綜合","1748","687"
"5","群益","1011","1010"
"6","永豐金","1119","796"
"7","統一","454","1135"
"8","元富","765","336"
"9","華南永昌","739","354"
"10","美商高盛亞","469","549"
"7","華星光(4979)"
"1","元大","4340","4251"
"2","凱基","1477","1985"
"3","國泰綜合","1511","1248"
"4","富邦","1253","1065"
"5","群益","856","979"
"6","永豐金","846","985"
"7","統一","521","978"
"8","美商高盛亞","740","691"
"9","星洲瑞銀","762","619"
"10","台新","701","551"
"8","中美晶(5483)"
"1","元大","3764","4251"
"2","凱基","2117","2812"
"3","富邦","1460","1429"
"4","美商高盛亞","899","1013"
"5","統一","785","1089"
"6","台新","578","1088"
"7","美林證券","278","1123"
"8","群益","699","559"
"9","國泰綜合","729","455"
"10","星洲瑞銀","594","511"
"9","台燿(6274)"
"1","元大","2852","3460"
"2","凱基","1752","2514"
"3","富邦","950","1058"
"4","國泰綜合","970","879"
"5","星洲瑞銀","1358","369"
"6","美商高盛亞","770","875"
"7","永豐金","759","802"
"8","群益","647","722"
"9","摩根士丹利","837","249"
"10","元富","561","512"
"10","九豪(6127)"
"1","凱基","4206","1361"
"2","元大","1933","3534"
"3","富邦","2002","1254"
"4","康和","1474","125"
"5","群益","336","759"
"6","國泰綜合","250","783"
"7","元富","413","596"
"8","永豐金","356","626"
"9","華南永昌","213","614"
"10","兆豐","186","619"
"11","宜特(3289)"
"1","富邦","2219","2193"
"2","元大","2013","2385"
"3","凱基","1105","1414"
"4","群益","1161","956"
"5","永豐金","741","965"
"6","台新","1038","338"
"7","華南永昌","377","696"
"8","國泰綜合","468","545"
"9","統一","430","436"
"10","星洲瑞銀","570","146"
"12","威剛(3260)"
"1","元大","1941","3062"
"2","永豐金","1556","700"
"3","凱基","1130","943"
"4","富邦","1096","844"
"5","統一","342","1221"
"6","元富","488","864"
"7","群益","469","870"
"8","摩根士丹利","684","333"
"9","美商高盛亞","736","234"
"10","兆豐","441","490"
"13","湧德(3689)"
"1","元大","2704","2908"
"2","凱基","1001","1256"
"3","富邦","1072","892"
"4","華南永昌","547","864"
"5","永豐金","881","504"
"6","群益","706","610"
"7","統一","647","476"
"8","元富","427","499"
"9","國泰綜合","565","338"
"10","星洲瑞銀","454","405"
"14","萬泰科(6190)"
"1","元大","2120","2398"
"2","凱基","1498","1431"
"3","富邦","582","976"
"4","國泰綜合","875","581"
"5","新光","650","739"
"6","群益","590","685"
"7","永豐金","545","543"
"8","星洲瑞銀","736","221"
"9","兆豐","398","537"
"10","國票","671","187"
"15","鈺創(5351)"
"1","元大","1698","1315"
"2","富邦","1316","1576"
"3","凱基","947","1911"
"4","統一","1286","1504"
"5","永豐金","1023","780"
"6","群益","539","492"
"7","元富","347","642"
"8","兆豐","547","366"
"9","華南永昌","585","300"
"10","國泰綜合","470","307"
"16","華宏(8240)"
"1","元大","2336","1754"
"2","凱基","1092","1249"
"3","華南永昌","466","1343"
"4","富邦","674","887"
"5","新光","192","1127"
"6","群益","455","694"
"7","永豐金","761","307"
"8","國泰綜合","688","374"
"9","美商高盛亞","366","285"
"10","元富","341","286"
"17","茂迪(6244)"
"1","元大","1824","2330"
"2","凱基","1348","1283"
"3","國泰綜合","719","589"
"4","富邦","737","566"
"5","星洲瑞銀","905","379"
"6","永豐金","239","631"
"7","群益","413","398"
"8","摩根大通","515","221"
"9","美商高盛亞","306","352"
"10","華南永昌","312","342"
"18","方土昶(6265)"
"1","元大","2468","2924"
"2","凱基","886","1276"
"3","國泰綜合","857","479"
"4","富邦","592","526"
"5","群益","523","467"
"6","美商高盛亞","476","473"
"7","永豐金","333","545"
"8","華南永昌","316","297"
"9","元富","285","238"
"10","玉山證券","338","151"
"19","良維(6290)"
"1","元大","1773","1835"
"2","凱基","1133","1264"
"3","富邦","659","1072"
"4","永豐金","623","362"
"5","美商高盛亞","380","401"
"6","群益","424","319"
"7","國泰綜合","354","351"
"8","兆豐","218","382"
"9","統一","254","336"
"10","華南永昌","225","361"
"20","聚和(6509)"
"1","元大","1997","1765"
"2","凱基","749","1422"
"3","富邦","747","564"
"4","兆豐","606","337"
"5","美商高盛亞","420","482"
"6","群益","413","445"
"7","永豐金","511","303"
"8","國泰綜合","364","322"
"9","元富","413","248"
"10","華南永昌","295","246"
"21","前鼎(4908)"
"1","元大","1565","1725"
"2","凱基","1264","1087"
"3","富邦","1414","799"
"4","統一","827","295"
"5","國泰綜合","333","546"
"6","群益","388","455"
"7","華南永昌","283","314"
"8","永豐金","191","379"
"9","美商高盛亞","197","249"
"10","台新","160","280"
"22","中探針(6217)"
"1","富邦","1252","3198"
"2","元大","674","1295"
"3","凱基","1139","588"
"4","國票","952","72"
"5","華南永昌","738","179"
"6","群益","678","112"
"7","統一","64","671"
"8","永豐金","520","126"
"9","國泰綜合","346","157"
"10","元富","108","148"
"23","位速(3508)"
"1","元大","1135","1504"
"2","富邦","1818","562"
"3","元富","240","918"
"4","凱基","306","637"
"5","永豐金","383","541"
"6","摩根大通","362","433"
"7","華南永昌","298","299"
"8","群益","266","172"
"9","國泰綜合","270","148"
"10","第一金證券","165","147"
"24","上詮(3363)"
"1","元大","1291","1473"
"2","富邦","973","821"
"3","凱基","694","730"
"4","國泰綜合","424","439"
"5","美商高盛亞","425","403"
"6","永豐金","335","463"
"7","群益","370","289"
"8","華南永昌","247","229"
"9","台新","195","175"
"10","兆豐","158","206"
"25","宏捷科(8086)"
"1","元大","1493","1568"
"2","凱基","723","962"
"3","富邦","496","563"
"4","群益","434","296"
"5","永豐金","420","236"
"6","新光","266","352"
"7","國泰綜合","298","269"
"8","元富","251","254"
"9","摩根士丹利","310","185"
"10","統一","158","235"
"26","世界(5347)"
"1","元大","1004","1103"
"2","美商高盛亞","1","1197"
"3","永豐金","970","176"
"4","美林證券","962","128"
"5","摩根大通","495","460"
"6","凱基","329","469"
"7","富邦","367","386"
"8","兆豐","665","74"
"9","摩根士丹利","10","725"
"10","星洲瑞銀","445","211"
"27","博磊(3581)"
"1","元大","1264","1284"
"2","凱基","933","1191"
"3","富邦","570","455"
"4","群益","411","419"
"5","永豐金","362","383"
"6","統一","355","343"
"7","台新","309","301"
"8","星洲瑞銀","267","277"
"9","國泰綜合","250","221"
"10","元富","205","241"
"28","華容(5328)"
"1","元大","1423","1235"
"2","凱基","849","835"
"3","富邦","556","728"
"4","國泰綜合","275","475"
"5","永豐金","465","246"
"6","元富","339","242"
"7","華南永昌","192","321"
"8","群益","240","255"
"9","美商高盛亞","213","217"
"10","台新","221","181"
"29","營邦(3693)"
"1","凱基","981","1416"
"2","元大","1037","1356"
"3","富邦","580","419"
"4","統一","598","207"
"5","群益","411","318"
"6","永豐金","314","365"
"7","國票","420","89"
"8","國泰綜合","186","224"
"9","元富","171","176"
"10","美商高盛亞","149","197"
"30","富喬(1815)"
"1","元大","1032","861"
"2","統一","404","1122"
"3","富邦","730","590"
"4","凱基","461","407"
"5","群益","297","332"
"6","華南永昌","299","326"
"7","兆豐","314","273"
"8","永豐金","304","246"
"9","元富","361","164"
"10","國泰綜合","279","219"
"共300筆"
