115年03月31日 截至10:17止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","光洋科(1785)"
"1","元大","7087","6803"
"2","凱基","2988","5245"
"3","富邦","2150","1776"
"4","國泰綜合","1816","1604"
"5","群益","1525","1354"
"6","美商高盛亞","643","1825"
"7","兆豐","1560","728"
"8","永豐金","1065","1147"
"9","統一","864","1110"
"10","美林證券","1301","536"
"2","穩懋(3105)"
"1","元大","7116","5505"
"2","凱基","3058","4507"
"3","永豐金","1799","2442"
"4","群益","1555","1999"
"5","富邦","1995","1156"
"6","國泰綜合","2337","812"
"7","摩根士丹利","482","1550"
"8","星洲瑞銀","453","1467"
"9","美商高盛亞","301","1239"
"10","摩根大通","13","1500"
"3","金居(8358)"
"1","元大","4630","5323"
"2","凱基","3037","3670"
"3","富邦","1723","1415"
"4","國泰綜合","1410","1427"
"5","永豐金","968","1439"
"6","群益","1002","1343"
"7","美商高盛亞","1129","779"
"8","星洲瑞銀","1332","160"
"9","美林證券","1009","90"
"10","華南永昌","562","533"
"4","富喬(1815)"
"1","元大","4118","4347"
"2","凱基","1388","2044"
"3","富邦","1406","1444"
"4","群益","730","1600"
"5","國泰綜合","1204","626"
"6","美商高盛亞","471","1120"
"7","永豐金","792","707"
"8","美林證券","1240","167"
"9","統一","456","748"
"10","星洲瑞銀","109","1008"
"5","欣銓(3264)"
"1","元大","4084","4236"
"2","凱基","1439","1672"
"3","富邦","1230","1356"
"4","永豐金","1515","705"
"5","群益","1077","922"
"6","國泰綜合","1202","732"
"7","玉山證券","731","320"
"8","摩根大通","121","888"
"9","統一","506","439"
"10","新光","489","359"
"6","頎邦(6147)"
"1","元大","2763","3118"
"2","凱基","2788","2290"
"3","富邦","887","1986"
"4","永豐金","931","487"
"5","美商高盛亞","502","903"
"6","美林證券","379","843"
"7","國票","277","911"
"8","群益","725","450"
"9","統一","536","428"
"10","摩根大通","508","416"
"7","鈦昇(8027)"
"1","元大","3340","2780"
"2","富邦","729","2056"
"3","凱基","1227","1392"
"4","群益","809","733"
"5","永豐金","678","735"
"6","國泰綜合","686","454"
"7","台新","633","488"
"8","美商高盛亞","609","244"
"9","新光","315","382"
"10","兆豐","220","282"
"8","立敦(6175)"
"1","元大","2871","2690"
"2","凱基","1314","1479"
"3","富邦","709","923"
"4","永豐金","530","1021"
"5","國泰綜合","740","365"
"6","群益","461","609"
"7","華南永昌","433","268"
"8","元富","315","334"
"9","兆豐","265","318"
"10","統一","225","318"
"9","東典光電(6588)"
"1","元大","2159","1788"
"2","凱基","866","2054"
"3","富邦","678","688"
"4","國泰綜合","651","391"
"5","永豐金","443","583"
"6","群益","550","397"
"7","台新","397","234"
"8","元富","277","242"
"9","統一","275","209"
"10","摩根大通","215","264"
"10","順達(3211)"
"1","元大","1354","1471"
"2","凱基","1177","1250"
"3","富邦","404","588"
