115年03月09日 截至11:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","威剛(3260)"
"1","元大","4616","5767"
"2","凱基","3612","3429"
"3","永豐金","959","2525"
"4","富邦","1532","1891"
"5","摩根士丹利","3274","10"
"6","美商高盛亞","2388","815"
"7","國泰綜合","1146","1931"
"8","群益","832","1738"
"9","港商野村","1987","66"
"10","元富","832","1181"
"2","光洋科(1785)"
"1","元大","5818","6860"
"2","凱基","3322","3351"
"3","永豐金","2662","1933"
"4","華南永昌","1004","2169"
"5","群益","1252","1337"
"6","富邦","858","1548"
"7","國泰綜合","1057","1170"
"8","國票","1418","460"
"9","星洲瑞銀","1120","660"
"10","元富","527","1048"
"3","鈺創(5351)"
"1","元大","4689","5386"
"2","凱基","1464","2623"
"3","富邦","2176","1151"
"4","國泰綜合","1230","1572"
"5","群益","1157","1058"
"6","永豐金","961","1225"
"7","元富","1034","805"
"8","美商高盛亞","963","756"
"9","星洲瑞銀","1100","393"
"10","台新","595","807"
"4","世界(5347)"
"1","元大","2002","3547"
"2","凱基","3068","1141"
"3","美林證券","660","2192"
"4","摩根大通","339","1585"
"5","星洲瑞銀","1546","267"
"6","美商高盛亞","1135","356"
"7","永豐金","467","666"
"8","群益","573","499"
"9","富邦","608","303"
"10","摩根士丹利","634","241"
"5","茂迪(6244)"
"1","元大","3421","5214"
"2","凱基","1309","840"
"3","富邦","1049","980"
"4","永豐金","793","589"
"5","國泰綜合","717","611"
"6","群益","639","553"
"7","星洲瑞銀","430","564"
"8","元富","444","454"
"9","摩根士丹利","139","747"
"10","統一","435","368"
"6","富喬(1815)"
"1","元大","1529","1245"
"2","富邦","1344","704"
"3","統一","441","984"
"4","凱基","684","685"
"5","群益","418","925"
"6","兆豐","392","776"
"7","永豐金","423","450"
"8","國泰綜合","490","282"
"9","新光","210","421"
"10","華南永昌","423","180"
"7","晟德(4123)"
"1","元大","3004","1777"
"2","凱基","560","1197"
"3","永豐金","480","602"
"4","富邦","415","468"
"5","國泰綜合","343","407"
"6","美商高盛亞","270","347"
"7","新光","130","465"
"8","華南永昌","405","151"
"9","群益","278","248"
"10","摩根大通","185","332"
"8","港建*(3093)"
"1","元大","2258","1727"
"2","凱基","649","1057"
"3","群益","481","668"
"4","富邦","665","483"
"5","國泰綜合","467","323"
"6","元富","393","355"
"7","華南永昌","334","307"
"8","康和","173","393"
"9","統一","194","370"
"10","永豐金","286","247"
"9","群聯(8299)"
"1","元大","1191","870"
"2","凱基","810","1088"
"3","富邦","468","685"
"4","永豐金","465","486"
"5","美商高盛亞","428","376"
"6","兆豐","189","495"
"7","群益","240","207"
"8","國泰綜合","238","207"
"9","摩根大通","229","211"
"10","統一","179","260"
"10","廣穎(4973)"
"1","凱基","1610","1458"
"2","元大","918","1082"
"3","群益","252","605"
"4","富邦","212","343"
"5","華南永昌","168","312"
"6","永豐金","248","207"
"7","港商野村","390","0"
"8","奔亞","346","36"
"9","統一","209","140"
"10","國泰綜合","114","230"
"11","中光電(5371)"
"1","元大","1306","1008"
"2","富邦","454","932"
"3","凱基","570","528"
"4","中國信託證","74","663"
"5","群益","199","486"
"6","摩根士丹利","352","311"
"7","國泰綜合","316","225"
"8","永豐金","314","221"
"9","台新","94","305"
"10","華南永昌","177","212"
"12","松瑞藥(4167)"
"1","元大","1606","1154"
"2","富邦","966","818"
"3","凱基","405","647"
"4","永豐金","403","185"
"5","國泰綜合","358","175"
"6","華南永昌","307","226"
"7","摩根大通","237","291"
"8","元富","278","84"
"9","統一","123","223"
"10","玉山證券","116","222"
"13","康和證(6016)"
"1","元大","894","811"
"2","永豐金","1035","157"
"3","凱基","553","502"
"4","美商高盛亞","198","707"
"5","富邦","283","430"
"6","星洲瑞銀","134","535"
"7","群益","129","500"
"8","華南永昌","117","461"
"9","美好","360","63"
"10","台新","133","172"
"14","元太(8069)"
"1","元大","1381","951"
"2","美商高盛亞","171","936"
"3","摩根士丹利","316","671"
"4","凱基","649","274"
"5","永豐金","222","603"
"6","華南永昌","97","462"
"7","富邦","311","156"
"8","星洲瑞銀","280","172"
"9","摩根大通","243","196"
"10","美林證券","198","188"
"15","宏捷科(8086)"
"1","元大","1126","1067"
"2","凱基","344","671"
"3","摩根士丹利","564","130"
"4","美林證券","505","57"
"5","富邦","189","335"
"6","群益","151","274"
"7","永豐金","166","229"
"8","元富","142","246"
"9","港商野村","373","0"
"10","華南永昌","122","218"
"16","合晶(6182)"
"1","元大","740","839"
"2","港商野村","1464","0"
"3","凱基","515","512"
"4","美商高盛亞","159","507"
"5","富邦","210","374"
"6","國泰綜合","123","320"
"7","美林證券","164","231"
"8","永豐金","138","180"
"9","國票","33","272"
"10","群益","169","113"
"17","順達(3211)"
"1","元大","722","714"
"2","永豐金","690","481"
"3","凱基","516","534"
"4","富邦","347","494"
"5","摩根大通","44","456"
"6","群益","359","118"
"7","國泰綜合","227","249"
"8","摩根士丹利","355","74"
"9","統一","85","332"
"10","華南永昌","216","96"
"18","中美晶(5483)"
"1","元大","797","532"
"2","摩根士丹利","64","856"
"3","美商高盛亞","137","753"
"4","凱基","331","503"
"5","統一","504","144"
"6","國票","283","177"
"7","富邦","334","109"
"8","永豐金","262","136"
"9","星洲瑞銀","89","267"
"10","摩根大通","195","127"
"19","台燿(6274)"
"1","元大","797","770"
"2","凱基","534","565"
"3","永豐金","223","572"
"4","群益","252","324"
"5","富邦","358","182"
"6","摩根士丹利","400","25"
"7","兆豐","118","289"
"8","美商高盛亞","115","233"
"9","華南永昌","189","153"
"10","星洲瑞銀","9","330"
"20","榮剛(5009)"
"1","元大","1108","521"
"2","永豐金","274","866"
"3","凱基","288","507"
"4","群益","154","438"
"5","美商高盛亞","135","380"
"6","兆豐","276","155"
"7","星洲瑞銀","117","293"
"8","富邦","270","97"
"9","元富","118","156"
"10","國泰綜合","193","69"
"21","致和證(5864)"
