115年03月31日 截至14:02止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","光洋科(1785)"
"1","元大","12339","12462"
"2","凱基","6391","7681"
"3","富邦","4259","4404"
"4","國泰綜合","3272","3574"
"5","群益","2802","3075"
"6","美商高盛亞","1727","3439"
"7","永豐金","2214","2369"
"8","星洲瑞銀","2998","1346"
"9","統一","2103","2192"
"10","兆豐","2278","1758"
"2","穩懋(3105)"
"1","元大","11366","9326"
"2","凱基","5795","6167"
"3","永豐金","3215","4021"
"4","富邦","3555","2896"
"5","國泰綜合","3745","2011"
"6","群益","2496","2706"
"7","元富","1948","1791"
"8","摩根士丹利","564","3162"
"9","統一","1395","1460"
"10","星洲瑞銀","611","2069"
"3","富喬(1815)"
"1","元大","10418","8952"
"2","凱基","5319","4723"
"3","富邦","3942","3346"
"4","國泰綜合","2849","3420"
"5","群益","2443","3636"
"6","永豐金","2220","2849"
"7","美商高盛亞","1034","2357"
"8","元富","1092","2267"
"9","統一","1387","1928"
"10","摩根士丹利","795","2213"
"4","金居(8358)"
"1","元大","7277","8763"
"2","凱基","5071","5350"
"3","富邦","3347","2388"
"4","國泰綜合","2033","2846"
"5","永豐金","1646","2382"
"6","群益","1583","2313"
"7","美商高盛亞","1992","1016"
"8","華南永昌","946","1105"
"9","星洲瑞銀","1631","214"
"10","摩根士丹利","1340","394"
"5","頎邦(6147)"
"1","元大","5524","6399"
"2","凱基","5008","4200"
"3","富邦","1516","2841"
"4","美商高盛亞","1627","2646"
"5","摩根大通","2825","461"
"6","摩根士丹利","1212","2070"
"7","星洲瑞銀","1592","1279"
"8","永豐金","1628","1060"
"9","群益","1235","1446"
"10","統一","850","763"
"6","欣銓(3264)"
"1","元大","6719","6723"
"2","凱基","2870","3339"
"3","富邦","1986","2519"
"4","永豐金","2191","1641"
"5","群益","1817","1767"
"6","國泰綜合","1618","1654"
"7","摩根士丹利","508","2595"
"8","摩根大通","1374","1090"
"9","美商高盛亞","1146","1036"
"10","玉山證券","1422","586"
"7","鈦昇(8027)"
"1","元大","5529","5095"
"2","凱基","2855","3563"
"3","富邦","2593","3705"
"4","國泰綜合","1073","1746"
"5","群益","1444","1367"
"6","永豐金","1300","1286"
"7","美商高盛亞","1384","586"
"8","台新","879","881"
"9","摩根士丹利","1375","122"
"10","新光","564","667"
"8","九豪(6127)"
"1","元大","4778","4502"
"2","凱基","2448","2453"
"3","富邦","1296","1600"
"4","兆豐","712","1406"
"5","群益","834","1199"
"6","永豐金","904","779"
"7","國泰綜合","611","1015"
"8","華南永昌","707","903"
"9","元富","889","468"
"10","星洲瑞銀","801","318"
"9","擎亞(8096)"
"1","元大","4288","4326"
"2","凱基","2272","2220"
"3","富邦","1591","1861"
"4","國泰綜合","1320","1232"
"5","永豐金","1024","1051"
"6","群益","956","963"
"7","摩根大通","755","545"
"8","新光","633","619"
"9","台新","515","684"
"10","華南永昌","636","482"
"10","立敦(6175)"
"1","元大","4317","4445"
"2","凱基","2141","2018"
"3","永豐金","1647","1464"
"4","富邦","1316","1704"
"5","群益","1029","1021"
"6","國泰綜合","975","916"
"7","華南永昌","653","556"
"8","元富","598","579"
"9","兆豐","535","508"
"10","統一","430","541"
"11","東典光電(6588)"
"1","元大","3701","3457"
"2","凱基","2296","3247"
"3","富邦","1275","1273"
"4","群益","1219","1168"
"5","國泰綜合","1086","999"
"6","永豐金","1060","1006"
"7","台新","623","532"
"8","元富","561","554"
"9","統一","515","489"
"10","華南永昌","425","485"
"12","世界(5347)"
"1","美商高盛亞","4239","444"
"2","凱基","1056","2935"
"3","元大","1615","2097"
"4","摩根士丹利","1717","1981"
"5","國泰綜合","2604","336"
"6","摩根大通","500","1533"
"7","星洲瑞銀","1045","857"
"8","群益","389","702"
"9","富邦","371","623"
"10","美林證券","19","863"
"13","順達(3211)"
"1","元大","2391","2542"
"2","凱基","1926","1930"
"3","富邦","769","1049"
"4","群益","586","753"
"5","國泰綜合","534","654"
"6","永豐金","448","636"
"7","美林證券","935","148"
"8","統一","408","546"
"9","華南永昌","418","521"
"10","星洲瑞銀","527","362"
"14","台燿(6274)"
"1","元大","2378","2238"
"2","凱基","1359","1697"
"3","富邦","988","802"
"4","國泰綜合","786","802"
"5","群益","741","808"
"6","美商高盛亞","894","474"
"7","摩根士丹利","248","887"
"8","星洲瑞銀","597","401"
"9","永豐金","507","457"
"10","摩根大通","410","487"
"15","邑昇(5291)"
"1","元大","2644","2620"
"2","凱基","1187","1412"
"3","富邦","1122","986"
"4","國泰綜合","708","713"
"5","永豐金","808","590"
"6","群益","620","611"
"7","統一","461","432"
"8","華南永昌","491","316"
"9","台新","390","337"
"10","元富","353","336"
"16","世紀*(5314)"
"1","元大","2545","2706"
"2","凱基","1024","1288"
"3","富邦","995","1010"
"4","兆豐","1486","224"
"5","群益","680","767"
"6","永豐金","519","570"
"7","統一","542","412"
"8","華南永昌","552","401"
"9","元富","326","468"
"10","國泰綜合","370","266"
"17","台嘉碩(3221)"
"1","元大","2346","2290"
"2","凱基","1317","1145"
"3","富邦","837","939"
"4","國泰綜合","773","707"
"5","華南永昌","681","769"
"6","群益","603","666"
"7","永豐金","344","466"
"8","元富","418","347"
"9","國票","292","456"
"10","美商高盛亞","387","359"
"18","萬泰科(6190)"
"1","元大","1827","2556"
"2","凱基","1019","820"
"3","富邦","637","960"
"4","群益","560","580"
"5","國泰綜合","409","567"
"6","星洲瑞銀","628","259"
"7","美商高盛亞","573","272"
"8","統一","427","407"
"9","元富","366","310"
"10","摩根士丹利","322","323"
"19","群聯(8299)"
"1","元大","1598","1799"
"2","凱基","1475","1289"
"3","永豐金","772","849"
"4","美商高盛亞","669","880"
"5","富邦","792","684"
"6","群益","398","450"
"7","國泰綜合","314","349"
"8","摩根士丹利","342","282"
"9","台新","263","303"
"10","新光","263","249"
"20","茂迪(6244)"
"1","元大","2096","1915"
"2","凱基","1243","1312"
"3","富邦","826","572"
"4","國泰綜合","537","532"
"5","永豐金","536","439"
"6","群益","416","532"
"7","星洲瑞銀","250","604"
"8","華南永昌","389","328"
"9","美商高盛亞","405","305"
"10","玉山證券","307","372"
"21","磐亞(4707)"
"1","元大","2117","1962"
"2","凱基","1282","1534"
"3","國泰綜合","718","653"
"4","富邦","762","543"
"5","群益","963","218"
"6","永豐金","527","377"
"7","新光","213","533"
"8","統一","100","537"
"9","美林證券","178","414"
"10","美商高盛亞","58","477"
"22","中美晶(5483)"
"1","元大","2021","1327"
"2","凱基","1055","967"
"3","富邦","853","455"
"4","美商高盛亞","391","737"
"5","群益","358","727"
"6","永豐金","646","317"
"7","港商野村","81","785"
"8","國泰綜合","477","337"
"9","星洲瑞銀","118","539"
"10","摩根士丹利","161","472"
"23","建榮(5340)"
"1","元大","2007","1328"
"2","永豐金","449","1314"
"3","摩根大通","494","1079"
"4","國泰綜合","777","519"
"5","群益","519","764"
"6","富邦","711","542"
"7","凱基","519","579"
"8","台新","427","313"
"9","統一","269","381"
"10","星洲瑞銀","192","400"
"24","威剛(3260)"
"1","元大","986","2086"
"2","凱基","1082","833"
"3","永豐金","1036","489"
"4","統一","627","740"
"5","美商高盛亞","881","430"
"6","富邦","646","563"
"7","群益","449","371"
"8","華南永昌","371","435"
"9","兆豐","293","358"
"10","元富","338","312"
"25","金山電(8042)"
"1","元大","1914","1695"
"2","凱基","794","1268"
"3","富邦","731","375"
"4","群益","357","726"
"5","國泰綜合","497","351"
"6","統一","395","349"
"7","永豐金","391","279"
"8","美商高盛亞","241","274"
"9","元富","294","209"
"10","華南永昌","244","228"
"26","IET-KY(4971)"
"1","元大","1557","1385"
"2","凱基","675","1044"
"3","富邦","660","815"
"4","國泰綜合","656","347"
"5","永豐金","520","340"
"6","群益","372","387"
"7","美商高盛亞","338","406"
"8","統一","310","405"
"9","台新","226","249"
"10","華南永昌","251","191"
"27","聯光通(4903)"
"1","元大","1850","1983"
"2","凱基","934","876"
"3","元富","762","268"
"4","富邦","520","505"
"5","群益","272","320"
"6","永豐金","275","312"
"7","美商高盛亞","225","217"
"8","華南永昌","199","228"
"9","統一","175","210"
"10","新光","114","268"
"28","台星科(3265)"
"1","元大","1251","1423"
"2","凱基","669","982"
"3","富邦","467","596"
"4","群益","341","433"
"5","永豐金","408","327"
"6","美商高盛亞","448","188"
"7","摩根士丹利","385","227"
"8","國泰綜合","257","259"
"9","兆豐","266","247"
"10","統一","246","264"
"29","良維(6290)"
"1","元大","1383","1053"
"2","凱基","1015","1012"
"3","富邦","500","805"
"4","永豐金","288","658"
"5","美商高盛亞","367","477"
"6","摩根士丹利","403","253"
"7","國泰綜合","249","251"
"8","群益","294","197"
"9","摩根大通","174","308"
"10","統一","156","323"
"30","元太(8069)"
"1","元大","1026","831"
"2","美商高盛亞","162","1541"
"3","凱基","443","781"
"4","摩根士丹利","474","500"
"5","富邦","766","186"
"6","永豐金","714","161"
"7","元富","133","474"
"8","港商野村","307","188"
"9","台新","85","368"
"10","摩根大通","87","347"
