115年01月02日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","方土昶(6265)"
"1","元大","11680","8727"
"2","凱基","4962","6869"
"3","永豐金","2853","3907"
"4","富邦","3045","2538"
"5","國泰綜合","3646","1832"
"6","群益","2304","1869"
"7","統一","816","2755"
"8","元富","1485","1636"
"9","國票","422","2605"
"10","兆豐","1465","1506"
"2","金居(8358)"
"1","元大","5152","6938"
"2","富邦","2673","2908"
"3","永豐金","2880","2692"
"4","國泰綜合","2211","2362"
"5","群益","2281","2283"
"6","凱基","1528","2006"
"7","摩根大通","1581","1606"
"8","元富","1001","1621"
"9","台新","1205","1157"
"10","統一","1070","1064"
"3","富喬(1815)"
"1","元大","7597","5436"
"2","凱基","2948","4761"
"3","富邦","3311","2485"
"4","國泰綜合","2501","2840"
"5","永豐金","1809","1396"
"6","美商高盛亞","0","2996"
"7","群益","1663","893"
"8","統一","880","1460"
"9","華南永昌","1349","551"
"10","國票","480","1204"
"4","鈺創(5351)"
"1","元大","5168","7016"
"2","富邦","5665","3220"
"3","凱基","4799","3634"
"4","國泰綜合","1243","1808"
"5","永豐金","873","2013"
"6","港商野村","2605","44"
"7","華南永昌","1380","1122"
"8","群益","962","1526"
"9","星洲瑞銀","1472","782"
"10","元富","835","1112"
"5","欣銓(3264)"
"1","元大","6142","5242"
"2","星洲瑞銀","3055","3680"
"3","凱基","1523","2944"
"4","富邦","2125","2286"
"5","國泰綜合","1638","1380"
"6","永豐金","1571","1361"
"7","國票","1046","1662"
"8","群益","1432","1120"
"9","兆豐","1147","1254"
"10","華南永昌","984","951"
"6","光頡(3624)"
"1","元大","6742","5848"
"2","凱基","2775","2994"
"3","富邦","1966","3702"
"4","群益","1437","1619"
"5","國泰綜合","1660","1093"
"6","永豐金","1334","1331"
"7","華南永昌","1030","1387"
"8","統一","834","1124"
"9","元富","809","990"
"10","兆豐","944","716"
"7","九豪(6127)"
"1","元大","4129","4116"
"2","凱基","1586","1604"
"3","富邦","1525","1491"
"4","群益","909","1137"
"5","國泰綜合","587","922"
"6","永豐金","572","739"
"7","華南永昌","464","641"
"8","康和","806","163"
"9","港商野村","953","0"
"10","星洲瑞銀","409","516"
"8","千如(3236)"
"1","元大","2929","2680"
"2","凱基","1284","1435"
"3","富邦","676","889"
"4","國泰綜合","594","652"
"5","永豐金","412","790"
"6","群益","550","624"
"7","美商高盛亞","633","460"
"8","元富","255","489"
"9","新光","317","314"
"10","兆豐","324","275"
"9","華星光(4979)"
"1","元大","2291","2103"
"2","凱基","957","1439"
"3","永豐金","709","889"
"4","富邦","789","776"
"5","國泰綜合","875","534"
"6","美商高盛亞","610","587"
"7","華南永昌","454","687"
"8","群益","428","583"
"9","元富","463","309"
"10","星洲瑞銀","354","409"
"10","東捷(8064)"
