115年03月31日 截至12:35止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","光洋科(1785)"
"1","元大","10579","10864"
"2","凱基","5523","6769"
"3","富邦","3359","3901"
"4","國泰綜合","2954","3043"
"5","群益","2532","2420"
"6","美商高盛亞","1247","2832"
"7","永豐金","1894","1922"
"8","統一","1642","1854"
"9","兆豐","2136","1331"
"10","星洲瑞銀","2307","1073"
"2","穩懋(3105)"
"1","元大","11147","8898"
"2","凱基","5714","6049"
"3","永豐金","3126","3938"
"4","富邦","3437","2158"
"5","國泰綜合","3674","1885"
"6","群益","2428","2622"
"7","摩根士丹利","562","3162"
"8","元富","1911","1523"
"9","統一","1340","1395"
"10","星洲瑞銀","610","2069"
"3","富喬(1815)"
"1","元大","8009","6725"
"2","凱基","3411","3765"
"3","富邦","2829","2092"
"4","群益","1485","2619"
"5","國泰綜合","2182","1392"
"6","永豐金","1481","1953"
"7","美商高盛亞","693","2181"
"8","統一","713","1636"
"9","摩根士丹利","87","2181"
"10","美林證券","1682","344"
"4","金居(8358)"
"1","元大","5993","7098"
"2","凱基","4149","4495"
"3","富邦","2605","1941"
"4","國泰綜合","1741","2243"
"5","永豐金","1330","2031"
"6","群益","1323","1892"
"7","美商高盛亞","1533","893"
"8","星洲瑞銀","1549","189"
"9","華南永昌","732","824"
"10","港商野村","1179","321"
"5","欣銓(3264)"
"1","元大","5608","5552"
"2","凱基","2268","2807"
"3","富邦","1722","2193"
"4","永豐金","1994","1177"
"5","國泰綜合","1502","1252"
"6","群益","1352","1261"
"7","摩根士丹利","155","1909"
"8","玉山證券","1267","411"
"9","摩根大通","529","1049"
"10","美商高盛亞","622","835"
"6","頎邦(6147)"
"1","元大","4392","4828"
"2","凱基","3617","2727"
"3","富邦","1174","2199"
"4","美商高盛亞","762","1622"
"5","永豐金","1321","624"
"6","群益","911","800"
"7","摩根大通","1173","424"
"8","星洲瑞銀","266","1215"
"9","美林證券","396","985"
"10","國票","332","948"
"7","鈦昇(8027)"
"1","元大","4891","4134"
"2","凱基","2363","2731"
"3","富邦","1744","3200"
"4","群益","1188","1107"
"5","國泰綜合","912","1240"
"6","永豐金","969","1076"
"7","台新","788","632"
"8","美商高盛亞","1020","399"
"9","摩根士丹利","977","92"
"10","新光","477","555"
"8","立敦(6175)"
"1","元大","3905","3876"
"2","凱基","1813","1892"
"3","永豐金","1515","1245"
"4","富邦","1116","1494"
"5","國泰綜合","908","750"
"6","群益","736","910"
"7","元富","495","502"
"8","華南永昌","544","438"
"9","兆豐","443","413"
"10","台新","411","367"
"9","九豪(6127)"
"1","元大","3693","3635"
"2","凱基","1977","1715"
"3","富邦","976","1263"
"4","群益","622","977"
"5","兆豐","514","1005"
"6","永豐金","728","525"
"7","國泰綜合","474","765"
"8","華南永昌","443","620"
"9","台新","543","336"
"10","星洲瑞銀","580","272"
"10","東典光電(6588)"
"1","元大","3235","2867"
"2","凱基","1980","2947"
"3","富邦","1031","1010"
