115年01月30日 截至13:46止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","世界(5347)"
"1","元大","9262","10369"
"2","凱基","8379","7761"
"3","摩根士丹利","6098","5558"
"4","星洲瑞銀","7210","3155"
"5","永豐金","4330","5275"
"6","富邦","3216","5943"
"7","美商高盛亞","4667","3855"
"8","群益","2462","5360"
"9","摩根大通","4615","1443"
"10","國泰綜合","1952","2214"
"2","擎亞(8096)"
"1","元大","8851","10841"
"2","富邦","8771","7855"
"3","凱基","7531","6947"
"4","永豐金","5138","2267"
"5","國泰綜合","2999","3853"
"6","群益","1512","4229"
"7","統一","2523","1186"
"8","台新","1651","1258"
"9","華南永昌","1152","1394"
"10","兆豐","1016","1480"
"3","富喬(1815)"
"1","元大","7579","6381"
"2","凱基","4590","5150"
"3","富邦","2733","2028"
"4","國泰綜合","2133","1800"
"5","永豐金","1825","1348"
"6","群益","1131","1647"
"7","摩根士丹利","1444","892"
"8","台新","1010","1236"
"9","華南永昌","1138","922"
"10","美林證券","254","1690"
"4","鈺創(5351)"
"1","元大","6588","6523"
"2","凱基","2165","3026"
"3","富邦","2558","2575"
"4","群益","1905","1419"
"5","美商高盛亞","1437","1817"
"6","永豐金","1773","1478"
"7","國泰綜合","1515","1681"
"8","星洲瑞銀","1393","1406"
"9","華南永昌","1155","958"
"10","元富","988","989"
"5","華星光(4979)"
"1","元大","6081","5699"
"2","凱基","4753","4114"
"3","富邦","1851","1675"
"4","永豐金","1612","1620"
"5","國泰綜合","1700","1528"
"6","星洲瑞銀","1003","1714"
"7","群益","1337","1348"
"8","美商高盛亞","953","1109"
"9","台新","789","954"
"10","華南永昌","931","811"
"6","台嘉碩(3221)"
"1","元大","4230","4547"
"2","凱基","2948","2851"
"3","富邦","2655","2734"
"4","永豐金","1352","1247"
"5","群益","1099","1040"
"6","國泰綜合","1008","1098"
"7","華南永昌","822","874"
"8","元富","772","820"
"9","統一","716","782"
"10","台新","713","475"
"7","方土昶(6265)"
"1","元大","4732","4259"
"2","凱基","2159","2894"
"3","富邦","1689","1714"
"4","國泰綜合","1370","1186"
"5","永豐金","1151","1333"
"6","群益","1113","1164"
"7","星洲瑞銀","893","868"
"8","華南永昌","780","713"
"9","玉山證券","677","745"
"10","台新","626","685"
"8","威剛(3260)"
"1","元大","3395","2874"
"2","凱基","2686","2458"
"3","富邦","2028","2067"
"4","國泰綜合","1101","1034"
"5","美商高盛亞","943","1172"
"6","群益","1207","852"
"7","永豐金","930","946"
"8","國票","241","1486"
"9","元富","815","735"
"10","兆豐","795","465"
"9","波若威(3163)"
"1","元大","3569","3689"
"2","凱基","1705","2474"
"3","國泰綜合","1014","1655"
"4","富邦","1391","1218"
"5","永豐金","1089","1166"
"6","美商高盛亞","1143","903"
"7","群益","732","754"
"8","華南永昌","638","522"
"9","統一","519","625"
"10","摩根士丹利","847","260"
"10","品安(8088)"
"1","元大","4010","3928"
"2","富邦","1009","1323"
"3","群益","1121","1133"
"4","國泰綜合","1080","991"
"5","永豐金","1054","1012"
"6","凱基","881","1040"
"7","美商高盛亞","867","673"
"8","元富","792","716"
"9","兆豐","672","416"
"10","統一","471","557"
"11","安國(8054)"
"1","元大","3085","3382"
"2","凱基","2128","2296"
"3","國泰綜合","1250","936"
"4","永豐金","994","1097"
"5","富邦","919","1114"
"6","群益","801","693"
"7","統一","611","768"
"8","國票","658","465"
"9","華南永昌","417","520"
"10","兆豐","429","502"
"12","穩懋(3105)"
"1","元大","3405","3004"
"2","凱基","2038","1477"
"3","永豐金","1485","1563"
"4","富邦","1219","800"
"5","美商高盛亞","762","1224"
"6","國泰綜合","653","857"
"7","群益","549","892"
"8","星洲瑞銀","350","917"
"9","元富","568","347"
"10","兆豐","384","487"
"13","中光電(5371)"
"1","元大","3375","3046"
"2","凱基","1779","1655"
"3","富邦","1285","893"
"4","群益","783","1008"
"5","永豐金","742","975"
"6","統一","652","660"
"7","玉山證券","540","755"
"8","國泰綜合","647","582"
"9","星洲瑞銀","284","717"
"10","元富","612","386"
"14","協易機(4533)"
"1","元大","1786","2072"
"2","永豐金","1166","2388"
"3","凱基","1416","1071"
"4","美商高盛亞","1173","353"
"5","富邦","651","836"
"6","中國信託證","532","834"
"7","華南永昌","494","842"
"8","星洲瑞銀","1207","43"
"9","國泰綜合","570","621"
"10","群益","546","411"
"15","智通*(8932)"
"1","統一","1937","3736"
"2","元大","1446","1641"
"3","凱基","1089","1117"
"4","美林證券","1264","73"
"5","華南永昌","563","737"
"6","永豐金","600","549"
"7","群益","578","570"
"8","台新","426","715"
"9","富邦","567","500"
"10","國泰綜合","493","534"
"16","欣銓(3264)"
"1","元大","1944","2140"
"2","凱基","1677","1498"
"3","富邦","654","963"
"4","永豐金","918","657"
"5","摩根士丹利","298","1161"
"6","國泰綜合","671","500"
"7","星洲瑞銀","838","331"
"8","美商高盛亞","515","424"
"9","群益","325","574"
"10","元富","487","330"
"17","合晶(6182)"
"1","元大","2442","2320"
"2","凱基","1930","1501"
"3","富邦","962","885"
"4","國泰綜合","670","717"
"5","美商高盛亞","560","761"
"6","群益","667","566"
"7","永豐金","489","620"
"8","星洲瑞銀","397","488"
"9","華南永昌","421","424"
"10","元富","375","438"
"18","長科*(6548)"
"1","元大","1947","1807"
"2","凱基","1319","2292"
"3","永豐金","519","1225"
"4","摩根士丹利","1736","1"
"5","美商高盛亞","1207","174"
"6","富邦","645","641"
"7","中國信託證","50","1128"
"8","星洲瑞銀","928","153"
"9","群益","469","494"
"10","國泰綜合","376","558"
"19","康和證(6016)"
"1","元大","2205","1957"
"2","群益","2257","1125"
"3","凱基","1572","1263"
"4","永豐金","268","2029"
"5","富邦","416","822"
"6","統一","419","585"
"7","國票","836","109"
"8","美商高盛亞","508","390"
"9","華南永昌","341","332"
"10","星洲瑞銀","431","171"
"20","茂迪(6244)"
"1","元大","1522","2170"
"2","凱基","1814","990"
"3","群益","939","1033"
"4","富邦","580","922"
"5","永豐金","584","684"
"6","兆豐","628","393"
"7","星洲瑞銀","576","372"
"8","元富","496","361"
"9","國泰綜合","368","436"
"10","華南永昌","238","415"
"21","凱崴(5498)"
"1","元大","1742","1828"
"2","凱基","1331","1515"
"3","國泰綜合","583","786"
"4","永豐金","635","659"
"5","富邦","629","635"
"6","兆豐","278","572"
"7","摩根大通","779","12"
"8","美商高盛亞","388","396"
"9","星洲瑞銀","610","161"
"10","元富","214","525"
"22","光洋科(1785)"
"1","元大","1979","1918"
"2","凱基","1626","1230"
"3","富邦","664","729"
"4","國泰綜合","491","474"
"5","群益","429","520"
"6","美商高盛亞","232","618"
"7","元富","545","236"
"8","星洲瑞銀","234","498"
"9","兆豐","322","370"
"10","摩根士丹利","207","477"
"23","世紀*(5314)"
"1","元大","1634","1555"
"2","凱基","961","1310"
"3","富邦","924","1055"
"4","永豐金","689","359"
"5","統一","340","559"
"6","元富","425","473"
"7","國泰綜合","486","397"
"8","美商高盛亞","420","460"
"9","群益","483","293"
"10","美林證券","238","478"
"24","東典光電(6588)"
"1","元大","2033","1963"
"2","凱基","1394","1455"
"3","富邦","554","661"
"4","群益","692","453"
"5","元富","454","652"
"6","華南永昌","374","653"
"7","永豐金","456","570"
"8","兆豐","99","750"
"9","統一","491","198"
"10","國泰綜合","310","339"
"25","中探針(6217)"
"1","元大","1598","1603"
"2","凱基","1114","1210"
"3","永豐金","1190","1088"
"4","富邦","665","622"
"5","美商高盛亞","520","661"
"6","群益","469","541"
"7","國泰綜合","452","477"
"8","台新","348","400"
"9","新光","353","347"
"10","兆豐","333","318"
"26","系統電(5309)"
"1","元大","2185","2214"
"2","凱基","830","937"
"3","富邦","719","736"
"4","永豐金","568","730"
"5","群益","568","658"
"6","國泰綜合","442","454"
"7","華南永昌","400","295"
"8","星洲瑞銀","389","304"
"9","玉山證券","325","350"
"10","兆豐","385","278"
"27","華電網(6163)"
"1","元大","1469","1695"
"2","凱基","1209","948"
"3","富邦","751","947"
"4","永豐金","397","1148"
"5","兆豐","642","247"
"6","摩根大通","707","83"
"7","星洲瑞銀","744","39"
"8","美商高盛亞","586","168"
"9","國泰綜合","218","407"
"10","群益","262","311"
"28","群聯(8299)"
"1","元大","1537","1599"
"2","凱基","1279","1153"
"3","富邦","991","708"
"4","摩根大通","339","657"
"5","星洲瑞銀","510","462"
"6","永豐金","438","449"
"7","美商高盛亞","348","382"
"8","國泰綜合","341","379"
"9","統一","281","351"
"10","群益","303","250"
"29","IET-KY(4971)"
"1","元大","1883","1823"
"2","凱基","1134","1083"
"3","富邦","551","417"
"4","群益","436","494"
"5","國泰綜合","454","439"
"6","永豐金","444","440"
"7","星洲瑞銀","412","394"
"8","華南永昌","240","334"
"9","玉山證券","216","317"
"10","國票","97","372"
"30","中美晶(5483)"
"1","元大","3019","938"
"2","星洲瑞銀","401","989"
"3","凱基","501","628"
"4","摩根士丹利","421","583"
"5","富邦","335","660"
"6","美商高盛亞","448","541"
"7","摩根大通","462","328"
"8","美林證券","126","658"
"9","華南永昌","101","515"
"10","永豐金","224","380"
"共300筆"
