"115年04月08日 截至11:00止 热门股券商进出排行(等价整股由大而小排列)"
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","富喬(1815)"
"1","元大","7395","9739"
"2","凱基","7341","6452"
"3","富邦","6606","4770"
"4","永豐金","2148","2471"
"5","台新","1585","3028"
"6","國泰綜合","1611","2993"
"7","新光","2231","1410"
"8","群益","1647","1763"
"9","摩根士丹利","2865","276"
"10","美林證券","2654","264"
"2","擎亞(8096)"
"1","元大","8200","8419"
"2","富邦","3866","2983"
"3","凱基","2814","4033"
"4","國泰綜合","3189","2553"
"5","群益","2553","2063"
"6","永豐金","1809","2153"
"7","台新","1750","2212"
"8","新光","2274","739"
"9","統一","1600","1251"
"10","華南永昌","772","1836"
"3","光洋科(1785)"
"1","元大","6128","6858"
"2","凱基","3085","3790"
"3","富邦","3351","3345"
"4","永豐金","2071","1373"
"5","台新","1260","1727"
"6","國泰綜合","1161","1648"
"7","群益","1459","1284"
"8","華南永昌","1042","1587"
"9","星洲瑞銀","1579","472"
"10","美商高盛亞","567","1274"
"4","穩懋(3105)"
"1","元大","7171","6699"
"2","凱基","2958","3726"
"3","永豐金","1838","2311"
"4","富邦","1917","2060"
"5","國泰綜合","2345","1550"
"6","台新","1541","1270"
"7","群益","1504","1214"
"8","美商高盛亞","574","1373"
"9","統一","780","1025"
"10","星洲瑞銀","543","1010"
"5","世界(5347)"
"1","元大","4407","5792"
"2","凱基","1984","3886"
"3","摩根士丹利","3777","210"
"4","國泰綜合","1755","1194"
"5","永豐金","1718","1021"
"6","富邦","906","1517"
"7","群益","1195","1061"
"8","花旗環球","1919","86"
"9","台新","893","1092"
"10","星洲瑞銀","901","794"
"6","威剛(3260)"
"1","元大","3071","3038"
"2","凱基","1833","2118"
"3","摩根士丹利","1522","1061"
"4","富邦","891","987"
"5","群益","613","1202"
"6","台新","814","882"
"7","美商高盛亞","639","801"
"8","永豐金","639","692"
"9","摩根大通","913","294"
"10","統一","738","364"
"7","中探針(6217)"
"1","元大","3131","2814"
"2","凱基","1840","1783"
"3","富邦","1407","2028"
"4","國泰綜合","1193","746"
"5","群益","861","1034"
"6","永豐金","1066","717"
"7","台新","875","701"
"8","新光","392","852"
"9","摩根士丹利","129","993"
"10","華南永昌","712","336"
"8","金居(8358)"
"1","元大","2418","3770"
"2","凱基","2375","1846"
"3","富邦","1665","1389"
"4","永豐金","1168","1288"
"5","統一","1634","366"
"6","國泰綜合","961","952"
"7","群益","780","879"
"8","台新","392","1171"
"9","華南永昌","233","681"
"10","摩根士丹利","884","6"
"9","萬泰科(6190)"
"1","元大","4299","3381"
"2","凱基","1786","2002"
"3","台新","927","1481"
"4","富邦","729","1352"
"5","群益","511","746"
"6","永豐金","502","719"
"7","摩根士丹利","1180","41"
"8","國泰綜合","475","738"
"9","華南永昌","504","669"
"10","統一","659","288"
"10","頎邦(6147)"
"1","元大","6325","2180"
"2","富邦","2524","1897"
"3","凱基","2306","963"
"4","統一","1376","618"
"5","國票","1816","123"
"6","美商高盛亞","48","1318"
"7","兆豐","68","1247"
"8","永豐金","231","1082"
"9","國泰綜合","375","930"
"10","摩根大通","291","757"
"11","台燿(6274)"
"1","元大","2551","2820"
"2","凱基","1767","1901"
"3","富邦","1020","1274"
"4","美商高盛亞","1014","683"
"5","群益","831","581"
"6","國泰綜合","862","466"
"7","統一","311","899"
"8","永豐金","660","549"
"9","摩根士丹利","205","968"
"10","國票","295","851"
"12","建榮(5340)"
"1","元大","2848","2831"
"2","凱基","1995","2062"
"3","富邦","1049","1689"
"4","永豐金","889","691"
"5","群益","777","620"
"6","國泰綜合","542","771"
"7","台新","610","529"
"8","美商高盛亞","557","409"
"9","華南永昌","434","451"
"10","統一","360","404"
"13","宏捷科(8086)"
"1","元大","3061","2461"
"2","凱基","1525","2772"
"3","富邦","841","1271"
"4","群益","666","645"
"5","國泰綜合","595","517"
"6","永豐金","558","511"
"7","統一","474","567"
"8","摩根大通","754","280"
"9","台新","539","460"
"10","港商野村","223","557"
"14","鈦昇(8027)"
"1","元大","2717","1730"
"2","富邦","889","2471"
"3","凱基","731","2297"
"4","永豐金","901","576"
"5","國泰綜合","914","472"
"6","台新","712","513"
"7","群益","716","404"
"8","華南永昌","292","575"
"9","星洲瑞銀","230","394"
"10","兆豐","346","226"
"15","東捷(8064)"
"1","凱基","2815","2252"
"2","元大","1496","2066"
"3","富邦","654","884"
"4","台新","533","582"
"5","統一","471","511"
"6","國泰綜合","464","505"
"7","永豐金","419","459"
"8","群益","402","433"
"9","星洲瑞銀","699","78"
"10","華南永昌","284","438"
"16","湧德(3689)"
"1","元大","2473","2049"
"2","富邦","1106","2582"
"3","凱基","922","1047"
"4","台新","899","624"
"5","群益","650","721"
"6","永豐金","682","423"
"7","美商高盛亞","285","369"
"8","中國信託證","180","460"
"9","新光","360","210"
"10","星洲瑞銀","406","131"
"17","創威(6530)"
"1","元大","1920","1968"
"2","凱基","891","1490"
"3","富邦","739","386"
"4","台新","505","552"
"5","群益","442","514"
"6","永豐金","556","361"
"7","國泰綜合","451","305"
"8","華南永昌","411","306"
"9","兆豐","328","245"
"10","玉山證券","304","135"
"18","泰谷(3339)"
"1","元大","1879","1626"
"2","凱基","686","922"
"3","群益","478","693"
"4","富邦","596","464"
"5","台新","586","388"
"6","國泰綜合","513","394"
"7","永豐金","269","595"
"8","華南永昌","323","348"
"9","統一","217","398"
"10","新光","261","252"
"19","欣銓(3264)"
"1","元大","1628","1008"
"2","凱基","1054","924"
"3","富邦","688","455"
"4","星洲瑞銀","24","1097"
"5","永豐金","382","440"
"6","台新","397","345"
"7","玉山證券","225","492"
"8","群益","269","371"
"9","統一","183","338"
"10","新光","204","238"
"20","順達(3211)"
"1","元大","1273","1374"
"2","凱基","834","1039"
"3","永豐金","572","408"
"4","台新","390","506"
"5","富邦","416","474"
"6","美商高盛亞","373","340"
"7","國泰綜合","349","321"
"8","華南永昌","258","349"
"9","群益","297","272"
"10","摩根士丹利","383","164"
"21","台半(5425)"
"1","元大","1457","1222"
"2","凱基","437","889"
"3","群益","333","503"
"4","美商高盛亞","137","640"
"5","富邦","495","263"
"6","台新","345","309"
"7","星洲瑞銀","378","241"
"8","國泰綜合","358","139"
"9","永豐金","286","208"
"10","摩根士丹利","70","333"
"22","台星科(3265)"
"1","元大","855","1447"
"2","凱基","808","686"
"3","富邦","256","527"
"4","永豐金","264","397"
"5","摩根士丹利","631","22"
"6","台新","203","380"
"7","華南永昌","130","375"
"8","美林證券","484","16"
"9","美商高盛亞","417","46"
"10","兆豐","188","255"
"23","德宏(5475)"
"1","富邦","427","1012"
"2","元大","660","685"
"3","凱基","380","527"
"4","永豐金","496","286"
"5","摩根大通","318","458"
"6","台新","398","167"
"7","國泰綜合","403","160"
"8","群益","356","164"
"9","美商高盛亞","427","53"
"10","國票","123","230"
"24","凱崴(5498)"
"1","元大","1296","1205"
"2","富邦","448","463"
"3","凱基","441","466"
"4","台新","278","303"
"5","國泰綜合","293","279"
"6","美商高盛亞","265","209"
"7","永豐金","165","257"
"8","群益","203","208"
"9","兆豐","146","259"
"10","玉山證券","193","184"
"25","鈺創(5351)"
"1","元大","686","964"
"2","統一","1220","97"
"3","富邦","334","546"
"4","台新","533","234"
"5","凱基","330","344"
"6","永豐金","172","432"
"7","摩根大通","519","15"
"8","華南永昌","257","224"
"9","國泰綜合","21","389"
"10","美商高盛亞","319","44"
"26","雙鴻(3324)"
"1","國泰綜合","1141","346"
"2","元大","471","1012"
"3","凱基","628","456"
"4","富邦","241","391"
"5","永豐金","254","262"
"6","台新","160","225"
"7","群益","149","228"
"8","華南永昌","130","198"
"9","港商野村","298","21"
"10","星洲瑞銀","215","88"
"27","光環(3234)"
