115年01月08日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","世界(5347)"
"1","元大","9830","12581"
"2","富邦","9848","8495"
"3","凱基","7359","7423"
"4","永豐金","1658","5667"
"5","摩根士丹利","4218","452"
"6","統一","3487","871"
"7","國票","2156","1965"
"8","元富","1436","2620"
"9","星洲瑞銀","2008","1959"
"10","台新","2960","1004"
"2","富喬(1815)"
"1","元大","14201","13066"
"2","凱基","6844","6006"
"3","富邦","3672","4457"
"4","國泰綜合","3254","3523"
"5","群益","3555","2804"
"6","星洲瑞銀","2966","2732"
"7","永豐金","2700","2391"
"8","統一","1337","2303"
"9","元富","1758","1726"
"10","台新","1658","1768"
"3","茂迪(6244)"
"1","元大","4733","4794"
"2","凱基","1731","3325"
"3","富邦","1644","1433"
"4","國泰綜合","1856","814"
"5","群益","1299","1345"
"6","美商高盛亞","1095","1336"
"7","永豐金","1214","904"
"8","統一","505","1521"
"9","元富","861","569"
"10","華南永昌","731","598"
"4","穩懋(3105)"
"1","元大","3432","4690"
"2","凱基","2128","2372"
"3","富邦","1644","1989"
"4","國泰綜合","1207","1372"
"5","星洲瑞銀","1570","839"
"6","永豐金","1112","1261"
"7","美商高盛亞","1360","946"
"8","摩根士丹利","2115","161"
"9","群益","762","767"
"10","元富","597","642"
"5","康和證(6016)"
"1","凱基","2604","3021"
"2","統一","3745","901"
"3","富邦","2549","1807"
"4","元大","1163","3053"
"5","華南永昌","2479","421"
"6","群益","1097","1678"
"7","永豐金","1827","766"
"8","元富","706","941"
"9","台新","865","686"
"10","國票","486","920"
"6","精材(3374)"
"1","元大","3426","3070"
"2","凱基","2087","1864"
"3","群益","1367","1251"
"4","永豐金","1094","1509"
"5","富邦","1112","1136"
"6","國泰綜合","840","673"
"7","星洲瑞銀","454","931"
"8","美商高盛亞","309","846"
"9","元富","610","477"
"10","華南永昌","491","411"
"7","信音(6126)"
"1","元大","2662","2321"
"2","凱基","1667","1938"
"3","富邦","1821","1583"
"4","元富","1135","1159"
"5","群益","662","938"
"6","國泰綜合","903","618"
"7","永豐金","802","600"
"8","統一","513","522"
"9","華南永昌","424","477"
"10","新光","231","532"
"8","品安(8088)"
"1","元大","2014","2130"
"2","富邦","1271","1534"
"3","凱基","1617","1125"
"4","永豐金","629","1163"
"5","國票","1130","294"
"6","美商高盛亞","781","407"
"7","星洲瑞銀","721","382"
"8","元富","460","504"
"9","國泰綜合","358","580"
"10","群益","383","504"
"9","合晶(6182)"
"1","元大","2039","2009"
"2","凱基","846","1523"
"3","富邦","862","1223"
"4","美商高盛亞","1093","939"
"5","國泰綜合","847","493"
"6","永豐金","486","784"
"7","星洲瑞銀","490","522"
"8","元富","556","431"
"9","群益","397","418"
"10","統一","341","335"
"10","廣穎(4973)"
"1","凱基","2484","1426"
"2","元大","1763","2121"
"3","富邦","1006","814"
"4","元富","745","789"
"5","群益","563","684"
"6","統一","325","824"
"7","國泰綜合","538","460"
"8","永豐金","391","585"
"9","華南永昌","380","375"
"10","美商高盛亞","415","319"
"11","太景*-KY(4157)"
"1","元大","1974","2226"
"2","凱基","949","1664"
"3","富邦","507","658"
"4","美商高盛亞","1054","33"
"5","永豐金","452","503"
"6","華南永昌","518","386"
"7","國泰綜合","303","401"
"8","台新","422","200"
"9","群益","237","364"
"10","元富","121","466"
"12","點序(6485)"
"1","元大","1932","1935"
"2","凱基","1123","955"
"3","富邦","536","1409"
"4","永豐金","1317","537"
"5","台新","175","868"
"6","統一","333","556"
"7","群益","394","411"
"8","國泰綜合","394","317"
"9","美商高盛亞","456","182"
"10","摩根大通","271","325"
"13","建榮(5340)"
"1","元大","2182","1913"
"2","凱基","1184","1109"
"3","富邦","670","654"
"4","國泰綜合","602","595"
"5","永豐金","515","473"
"6","美商高盛亞","445","513"
"7","群益","451","411"
"8","星洲瑞銀","312","409"
"9","元富","413","307"
"10","華南永昌","246","241"
"14","金居(8358)"
"1","元大","1847","1695"
"2","凱基","648","1326"
"3","富邦","1054","760"
"4","美商高盛亞","516","875"
"5","永豐金","861","350"
"6","國泰綜合","540","367"
"7","群益","316","572"
"8","統一","288","299"
"9","華南永昌","303","259"
"10","元富","201","310"
"15","富強鑫(6603)"
"1","凱基","3189","1656"
"2","元大","925","1340"
"3","富邦","443","830"
"4","元富","125","748"
"5","統一","357","477"
"6","群益","542","288"
"7","國票","663","88"
"8","永豐金","321","266"
"9","星洲瑞銀","211","273"
"10","國泰綜合","180","229"
"16","鉅橡(8074)"
"1","凱基","2466","1345"
"2","元大","1170","1504"
"3","富邦","746","621"
"4","國泰綜合","360","579"
"5","元富","556","271"
"6","永豐金","299","476"
"7","台新","407","216"
"8","群益","238","352"
"9","兆豐","146","383"
"10","華南永昌","188","272"
"17","華星光(4979)"
"1","元大","1355","1601"
"2","凱基","791","1133"
"3","群益","649","548"
"4","富邦","462","502"
"5","永豐金","344","581"
"6","統一","639","153"
"7","國泰綜合","408","376"
"8","美商高盛亞","336","326"
"9","星洲瑞銀","323","169"
"10","康和","379","69"
"18","宏遠證(6015)"
"1","富邦","2071","1018"
"2","元大","1026","1638"
"3","凱基","728","632"
"4","永豐金","471","735"
"5","康和","268","833"
"6","群益","680","198"
"7","國票","625","122"
"8","新光","161","370"
"9","兆豐","294","225"
"10","台新","246","166"
"19","廣明(6188)"
"1","元大","1573","1697"
"2","凱基","583","1172"
"3","富邦","729","430"
"4","永豐金","470","644"
"5","群益","438","345"
"6","華南永昌","238","328"
"7","國泰綜合","369","189"
"8","兆豐","430","113"
"9","美林證券","15","435"
"10","元富","296","130"
"20","光洋科(1785)"
"1","元大","1367","1137"
"2","凱基","670","1288"
"3","富邦","637","374"
"4","星洲瑞銀","425","304"
"5","台新","290","289"
"6","摩根士丹利","12","528"
"7","永豐金","256","256"
"8","國泰綜合","255","244"
"9","群益","214","213"
"10","兆豐","282","88"
"21","世紀*(5314)"
"1","凱基","1767","1129"
"2","元大","1173","1283"
"3","富邦","417","587"
"4","美商高盛亞","254","292"
"5","永豐金","273","249"
"6","國泰綜合","190","255"
"7","華南永昌","215","221"
"8","元富","209","203"
"9","群益","244","145"
"10","台新","192","162"
"22","萬泰科(6190)"
"1","凱基","1313","1448"
"2","元大","811","1001"
"3","永豐金","328","498"
"4","富邦","354","341"
"5","群益","418","268"
"6","國泰綜合","306","273"
"7","台新","265","284"
"8","華南永昌","263","211"
"9","兆豐","266","188"
"10","元富","140","234"
"23","華電網(6163)"
"1","元大","929","792"
"2","凱基","681","851"
"3","永豐金","425","353"
"4","富邦","312","416"
"5","新光","350","47"
"6","國泰綜合","209","169"
"7","台新","246","100"
"8","兆豐","211","113"
"9","華南永昌","146","169"
"10","美商高盛亞","138","177"
"24","中美晶(5483)"
"1","元大","744","630"
"2","凱基","555","558"
"3","美商高盛亞","267","480"
"4","永豐金","292","295"
"5","國泰綜合","280","208"
"6","星洲瑞銀","26","439"
"7","富邦","228","164"
"8","統一","304","60"
"9","群益","228","136"
"10","華南永昌","258","75"
"25","典範(3372)"
"1","凱基","655","1212"
"2","元大","594","780"
"3","元富","241","574"
"4","富邦","266","476"
"5","摩根大通","298","141"
"6","港商野村","214","180"
"7","群益","183","172"
"8","國泰綜合","215","89"
"9","永豐金","205","95"
"10","統一","58","224"
"26","九豪(6127)"
"1","元大","1028","836"
"2","永豐金","246","629"
"3","富邦","396","468"
"4","凱基","417","330"
"5","群益","173","213"
"6","國泰綜合","245","118"
"7","美商高盛亞","132","204"
"8","元富","196","71"
"9","星洲瑞銀","144","120"
"10","華南永昌","120","115"
"27","漢磊(3707)"
"1","元大","891","788"
"2","美商高盛亞","423","397"
"3","凱基","361","420"
"4","富邦","257","269"
"5","群益","263","246"
"6","國泰綜合","177","250"
"7","統一","112","258"
"8","星洲瑞銀","138","205"
"9","永豐金","155","111"
"10","玉山證券","76","159"
"28","長科*(6548)"
"1","元大","850","1080"
"2","凱基","416","581"
"3","富邦","301","323"
"4","國泰綜合","198","218"
"5","美商高盛亞","239","96"
"6","永豐金","216","116"
"7","群益","147","136"
"8","元富","140","127"
"9","兆豐","155","109"
"10","台新","125","109"
"29","鈺創(5351)"
"1","富邦","695","442"
"2","元大","494","623"
"3","凱基","209","616"
"4","摩根士丹利","598","27"
"5","永豐金","104","314"
"6","統一","183","216"
"7","元富","226","118"
"8","兆豐","193","124"
"9","華南永昌","100","216"
"10","群益","123","169"
"30","福邦證(6026)"
"1","元大","742","844"
"2","凱基","345","320"
"3","富邦","205","431"
"4","第一金證券","283","317"
"5","群益","143","292"
"6","華南永昌","222","155"
"7","永豐金","180","179"
"8","元富","219","121"
"9","國泰綜合","68","226"
"10","統一","151","124"
"共300筆"
