115年01月06日 截至11:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","鈺創(5351)"
"1","元大","12107","15270"
"2","凱基","5556","7631"
"3","富邦","4191","4149"
"4","國泰綜合","3798","2418"
"5","星洲瑞銀","2834","2419"
"6","永豐金","2777","1931"
"7","群益","2395","1926"
"8","美商高盛亞","2556","1530"
"9","台新","1942","1285"
"10","元富","1613","1614"
"2","合晶(6182)"
"1","元大","8105","7459"
"2","凱基","7429","6477"
"3","富邦","5527","6814"
"4","永豐金","2024","2281"
"5","美商高盛亞","1947","2215"
"6","統一","2421","1352"
"7","群益","1752","1921"
"8","國泰綜合","1802","1461"
"9","華南永昌","1518","1484"
"10","元富","1469","1359"
"3","漢磊(3707)"
"1","元大","7105","6618"
"2","兆豐","949","4122"
"3","凱基","1895","3168"
"4","康和","1114","2753"
"5","富邦","2315","1452"
"6","群益","1593","1759"
"7","永豐金","1888","1417"
"8","統一","1101","1601"
"9","華南永昌","1701","683"
"10","國泰綜合","1593","782"
"4","富喬(1815)"
"1","元大","5719","5061"
"2","凱基","1941","4533"
"3","富邦","2637","1785"
"4","國泰綜合","2621","1458"
"5","星洲瑞銀","879","2433"
"6","永豐金","1835","1268"
"7","群益","1393","997"
"8","華南永昌","1204","530"
"9","元富","984","561"
"10","台新","897","596"
"5","長科*(6548)"
"1","元大","2712","3821"
"2","凱基","2592","3022"
"3","群益","4717","874"
"4","富邦","689","1388"
"5","永豐金","608","1328"
"6","國泰綜合","501","1008"
"7","星洲瑞銀","900","560"
"8","美商高盛亞","756","545"
"9","港商野村","1150","96"
"10","兆豐","291","878"
"6","中美晶(5483)"
"1","元大","2508","2773"
"2","凱基","2195","1181"
"3","富邦","1669","1019"
"4","元富","1997","495"
"5","統一","461","1155"
"6","國泰綜合","872","636"
"7","永豐金","587","865"
"8","星洲瑞銀","790","559"
"9","中國信託證","678","655"
"10","美商高盛亞","691","614"
"7","鈦昇(8027)"
"1","元大","2112","2554"
"2","富邦","1606","1892"
"3","凱基","1416","1156"
"4","群益","543","914"
"5","永豐金","503","814"
"6","港商野村","918","110"
"7","美商高盛亞","684","304"
"8","元富","475","442"
"9","星洲瑞銀","573","321"
"10","華南永昌","552","312"
"8","穩懋(3105)"
"1","元大","2727","2357"
"2","凱基","1362","1216"
"3","星洲瑞銀","1170","1379"
"4","富邦","1186","827"
"5","國泰綜合","767","598"
"6","永豐金","617","721"
"7","美商高盛亞","193","1113"
"8","摩根士丹利","203","934"
"9","群益","466","613"
"10","元富","529","369"
"9","系統電(5309)"
"1","元大","3210","1551"
"2","凱基","856","1628"
"3","富邦","1475","713"
"4","群益","835","1079"
"5","中國信託證","226","1409"
"6","永豐金","776","644"
"7","康和","178","1136"
"8","美林證券","0","1047"
"9","國泰綜合","674","324"
"10","兆豐","501","269"
"10","廣明(6188)"
"1","元大","1868","1834"
"2","凱基","1568","1638"
"3","統一","1939","389"
"4","富邦","681","1341"
"5","永豐金","603","572"
"6","星洲瑞銀","571","533"
"7","美商高盛亞","469","619"
"8","群益","596","472"
"9","國泰綜合","447","564"
"10","兆豐","310","474"
"11","世界(5347)"
"1","凱基","2244","1389"
"2","元大","987","1672"
"3","永豐金","167","2012"
"4","星洲瑞銀","1644","435"
"5","華南永昌","583","624"
"6","富邦","301","696"
"7","美商高盛亞","877","23"
"8","美林證券","509","357"
"9","國票","649","131"
"10","群益","365","376"
"12","金山電(8042)"
"1","元大","2755","2814"
"2","凱基","1282","1918"
"3","富邦","948","807"
"4","永豐金","433","645"
"5","群益","430","641"
"6","國泰綜合","737","319"
"7","華南永昌","475","447"
"8","統一","366","453"
"9","元富","460","299"
"10","星洲瑞銀","216","336"
"13","九豪(6127)"
"1","元大","2391","2466"
"2","凱基","1366","1425"
"3","富邦","1024","773"
"4","星洲瑞銀","552","558"
"5","國泰綜合","643","448"
"6","永豐金","425","601"
"7","群益","405","590"
"8","美商高盛亞","418","431"
"9","華南永昌","335","399"
"10","元富","381","284"
"14","環球晶(6488)"
"1","元大","1759","1773"
"2","富邦","1982","1160"
"3","凱基","1478","1510"
"4","星洲瑞銀","1048","323"
"5","群益","468","488"
"6","永豐金","476","428"
"7","美商高盛亞","288","478"
"8","統一","309","289"
"9","國票","99","485"
"10","華南永昌","242","312"
"15","能率(5392)"
"1","元大","1465","1569"
"2","凱基","1184","1367"
"3","富邦","634","517"
"4","群益","611","520"
"5","永豐金","521","482"
"6","元富","520","404"
"7","美林證券","390","339"
"8","兆豐","264","385"
"9","國泰綜合","335","302"
"10","美商高盛亞","311","319"
"16","精材(3374)"
"1","凱基","2004","1322"
"2","元大","1260","1437"
"3","富邦","668","722"
"4","統一","432","688"
"5","永豐金","300","678"
"6","群益","625","330"
"7","美商高盛亞","483","394"
"8","國泰綜合","267","371"
"9","華南永昌","337","278"
"10","元富","350","198"
"17","華宏(8240)"
"1","凱基","1442","1557"
"2","元大","1365","1226"
"3","永豐金","556","945"
"4","富邦","698","720"
"5","國票","476","456"
"6","群益","383","365"
"7","統一","400","232"
"8","國泰綜合","287","194"
"9","新光","237","231"
"10","台新","222","188"
"18","群聯(8299)"
"1","元大","1091","1426"
"2","凱基","801","933"
"3","富邦","626","703"
"4","美商高盛亞","660","502"
"5","群益","616","311"
"6","永豐金","517","375"
"7","統一","448","359"
"8","國泰綜合","351","412"
"9","星洲瑞銀","405","232"
"10","華南永昌","168","318"
"19","家登(3680)"
"1","元大","1091","1152"
"2","凱基","990","1159"
"3","群益","985","332"
"4","富邦","381","817"
"5","大和國泰","734","0"
"6","永豐金","276","406"
"7","星洲瑞銀","274","371"
"8","國泰綜合","350","251"
"9","美商高盛亞","294","294"
"10","台新","162","381"
"20","雷科(6207)"
"1","元大","1707","1383"
"2","凱基","741","1371"
"3","富邦","569","551"
"4","永豐金","442","382"
"5","國泰綜合","403","322"
"6","群益","317","372"
"7","元富","359","150"
"8","統一","165","301"
"9","華南永昌","221","200"
"10","美商高盛亞","182","206"
"21","金居(8358)"
"1","元大","1389","2017"
"2","凱基","622","793"
"3","富邦","641","577"
"4","美商高盛亞","357","522"
"5","永豐金","523","271"
"6","國泰綜合","458","285"
"7","群益","341","276"
"8","華南永昌","240","294"
"9","台新","210","170"
"10","摩根士丹利","189","159"
"22","品安(8088)"
"1","凱基","1020","1739"
"2","元大","1306","1093"
"3","美商高盛亞","515","340"
"4","富邦","455","352"
"5","星洲瑞銀","312","292"
"6","永豐金","289","256"
"7","國泰綜合","274","174"
"8","華南永昌","203","211"
"9","群益","199","208"
"10","元富","108","221"
"23","光頡(3624)"
"1","元大","1096","1150"
"2","凱基","654","696"
"3","永豐金","394","506"
"4","富邦","412","453"
"5","國泰綜合","453","348"
"6","群益","237","409"
"7","華南永昌","227","230"
"8","星洲瑞銀","233","200"
"9","元富","195","193"
"10","台新","217","166"
"24","波若威(3163)"
"1","元大","1277","1395"
"2","凱基","512","543"
"3","富邦","503","293"
"4","永豐金","466","187"
"5","星洲瑞銀","19","531"
"6","國泰綜合","349","170"
"7","統一","127","375"
"8","兆豐","190","278"
"9","群益","251","206"
"10","華南永昌","266","153"
"25","華星光(4979)"
"1","元大","1012","943"
"2","凱基","758","517"
"3","永豐金","486","367"
"4","美商高盛亞","149","620"
"5","國泰綜合","433","275"
"6","富邦","331","351"
"7","群益","298","342"
"8","星洲瑞銀","55","465"
"9","華南永昌","311","140"
"10","元富","303","145"
"26","千如(3236)"
"1","元大","1209","1049"
"2","凱基","805","659"
"3","富邦","364","410"
"4","群益","202","500"
"5","星洲瑞銀","232","405"
"6","美商高盛亞","346","271"
"7","國泰綜合","325","198"
"8","永豐金","225","241"
"9","元富","179","269"
"10","統一","94","219"
"27","均豪(5443)"
"1","元大","1006","885"
"2","凱基","604","669"
"3","富邦","349","418"
"4","美商高盛亞","172","325"
"5","永豐金","179","286"
"6","國泰綜合","318","136"
"7","群益","165","164"
"8","統一","123","171"
"9","康和","54","225"
"10","華南永昌","131","132"
"28","信昌電(6173)"
"1","元大","1039","791"
"2","凱基","349","788"
"3","富邦","357","283"
"4","星洲瑞銀","224","301"
"5","永豐金","210","308"
"6","美商高盛亞","195","287"
"7","群益","190","257"
"8","國泰綜合","270","146"
"9","華南永昌","127","164"
"10","元富","147","118"
"29","茂迪(6244)"
"1","元大","880","634"
"2","凱基","341","938"
"3","美商高盛亞","305","684"
"4","富邦","327","180"
"5","群益","369","76"
"6","國泰綜合","298","132"
"7","永豐金","200","229"
"8","玉山證券","223","133"
"9","元富","188","106"
"10","華南永昌","187","90"
"30","台特化(4772)"
"1","元大","714","773"
"2","凱基","317","544"
"3","星洲瑞銀","448","278"
"4","富邦","305","275"
"5","美商高盛亞","253","243"
"6","永豐金","237","233"
"7","國泰綜合","240","168"
"8","群益","172","230"
"9","統一","132","107"
"10","華南永昌","97","130"
"共300筆"
