115年02月09日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","世界(5347)"
"1","元大","6281","7808"
"2","凱基","5297","6072"
"3","美商高盛亞","5273","1804"
"4","星洲瑞銀","2308","2487"
"5","新光","3894","723"
"6","富邦","1743","2559"
"7","摩根大通","575","2968"
"8","國泰綜合","1840","1476"
"9","永豐金","1650","1525"
"10","華南永昌","1201","1573"
"2","茂迪(6244)"
"1","元大","6698","5926"
"2","凱基","2525","3818"
"3","富邦","2621","1592"
"4","國泰綜合","2086","1317"
"5","群益","1147","1667"
"6","永豐金","1105","1276"
"7","星洲瑞銀","902","1316"
"8","華南永昌","1272","840"
"9","元富","1281","763"
"10","玉山證券","1033","648"
"3","富喬(1815)"
"1","元大","5866","5267"
"2","凱基","2085","4557"
"3","富邦","1650","1150"
"4","國泰綜合","1758","1005"
"5","群益","1170","1201"
"6","永豐金","1398","838"
"7","星洲瑞銀","161","1453"
"8","華南永昌","838","436"
"9","新光","836","407"
"10","元富","689","471"
"4","系統電(5309)"
"1","元大","2929","2589"
"2","凱基","2145","1864"
"3","富邦","1004","1206"
"4","群益","670","590"
"5","永豐金","497","689"
"6","元富","442","665"
"7","國泰綜合","560","493"
"8","星洲瑞銀","463","550"
"9","華南永昌","518","465"
"10","統一","209","623"
"5","安可(3615)"
"1","元大","3039","2763"
"2","凱基","1050","1480"
"3","永豐金","889","1299"
"4","富邦","1266","594"
"5","國泰綜合","909","492"
"6","群益","424","965"
"7","華南永昌","469","390"
"8","玉山證券","592","207"
"9","統一","216","514"
"10","元富","402","303"
"6","建榮(5340)"
"1","元大","2679","2561"
"2","凱基","1235","1341"
"3","國泰綜合","717","551"
"4","永豐金","862","337"
"5","富邦","734","449"
"6","群益","537","511"
"7","華南永昌","705","242"
"8","美商高盛亞","105","648"
"9","元富","237","513"
"10","美林證券","125","616"
"7","穩懋(3105)"
"1","元大","2031","2273"
"2","凱基","1357","1460"
"3","富邦","761","730"
"4","永豐金","576","718"
"5","群益","715","488"
"6","星洲瑞銀","650","342"
"7","國泰綜合","388","512"
