115年03月12日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","光洋科(1785)"
"1","元大","9040","8081"
"2","國泰綜合","4259","1947"
"3","凱基","3388","2800"
"4","富邦","2219","2236"
"5","永豐金","1924","2017"
"6","康和","267","3225"
"7","群益","1574","1842"
"8","星洲瑞銀","1988","1377"
"9","美商高盛亞","1509","1101"
"10","元富","1068","1161"
"2","威剛(3260)"
"1","元大","4436","3860"
"2","凱基","2254","2372"
"3","富邦","1345","1540"
"4","國泰綜合","1549","810"
"5","永豐金","906","970"
"6","群益","1062","698"
"7","台新","686","840"
"8","摩根士丹利","405","1034"
"9","美商高盛亞","485","844"
"10","華南永昌","688","447"
"3","茂迪(6244)"
"1","元大","4313","4771"
"2","凱基","1932","2226"
"3","國泰綜合","1593","968"
"4","富邦","1296","1259"
"5","群益","1071","933"
"6","台新","560","1431"
"7","永豐金","691","1098"
"8","華南永昌","711","657"
"9","美商高盛亞","306","868"
"10","統一","584","580"
"4","擎亞(8096)"
"1","元大","3663","3454"
"2","凱基","1809","2019"
"3","國泰綜合","1017","2632"
"4","群益","883","1061"
"5","富邦","840","972"
"6","永豐金","702","888"
"7","台新","585","475"
"8","美商高盛亞","680","343"
"9","統一","434","360"
"10","兆豐","341","427"
"5","鈺創(5351)"
"1","元大","3375","3023"
"2","凱基","1427","1401"
"3","富邦","1080","1580"
"4","國泰綜合","1009","510"
"5","群益","690","776"
"6","永豐金","566","500"
"7","摩根士丹利","461","578"
"8","統一","275","698"
"9","兆豐","421","451"
"10","元富","384","419"
"6","台燿(6274)"
"1","元大","3197","2053"
"2","凱基","1121","1398"
"3","永豐金","869","1375"
"4","美商高盛亞","79","2003"
"5","富邦","1111","377"
"6","摩根士丹利","4","1357"
"7","星洲瑞銀","248","1094"
"8","群益","632","545"
"9","國泰綜合","809","210"
"10","元富","436","459"
"7","方土昶(6265)"
"1","元大","2389","2438"
"2","富邦","1383","1304"
"3","凱基","1535","1096"
"4","元富","873","1076"
"5","群益","430","799"
"6","統一","508","504"
"7","永豐金","435","535"
"8","華南永昌","380","549"
"9","美商高盛亞","418","357"
"10","國泰綜合","369","396"
"8","廣穎(4973)"
"1","元大","2174","2734"
"2","凱基","1169","2358"
"3","富邦","595","597"
"4","群益","504","663"
"5","國泰綜合","650","457"
"6","兆豐","408","535"
"7","永豐金","545","336"
