115年04月02日 截至11:26止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"5","群益","183","229"
"6","國泰綜合","170","178"
"7","永豐金","132","188"
"8","星洲瑞銀","105","157"
"9","元富","85","153"
"10","玉山證券","101","116"
"23","達航科技(4577)"
"1","元大","734","779"
"2","凱基","491","376"
"3","富邦","277","296"
"4","元富","166","292"
"5","永豐金","133","310"
"6","群益","188","155"
"7","國票","257","74"
"8","國泰綜合","132","197"
"9","華南永昌","160","163"
"10","統一","153","150"
"24","茂迪(6244)"
"1","元大","574","636"
"2","富邦","263","409"
"3","國泰綜合","175","401"
"4","凱基","326","208"
"5","星洲瑞銀","337","191"
"6","美商高盛亞","312","101"
"7","永豐金","120","225"
"8","摩根士丹利","169","160"
"9","群益","118","197"
"10","華南永昌","96","177"
"25","由田(3455)"
"1","元大","578","804"
"2","凱基","836","295"
"3","富邦","721","281"
"4","統一","237","239"
"5","元富","129","198"
"6","群益","91","195"
"7","合庫","199","71"
"8","港商野村","230","1"
"9","兆豐","50","177"
"10","永豐金","78","131"
"26","建榮(5340)"
"1","元大","597","726"
"2","凱基","554","288"
"3","國泰綜合","161","247"
"4","富邦","188","211"
"5","美商高盛亞","228","138"
"6","星洲瑞銀","201","151"
"7","永豐金","102","231"
"8","美林證券","108","212"
"9","華南永昌","88","199"
"10","群益","123","148"
"27","華電網(6163)"
"1","元大","958","802"
"2","凱基","244","369"
"3","永豐金","188","291"
"4","富邦","174","304"
"5","群益","206","245"
"6","國泰綜合","283","107"
"7","統一","78","249"
"8","美商高盛亞","130","140"
"9","摩根大通","103","150"
"10","國票","78","128"
"28","碩網(7547)"
"1","富邦","963","1024"
"2","台新","821","803"
"3","元大","486","389"
"4","凱基","138","163"
"5","永豐金","138","121"
"6","兆豐","109","100"
"7","群益","102","102"
"8","華南永昌","101","92"
"9","元富","80","85"
"10","國票","43","79"
"29","宏捷科(8086)"
"1","元大","787","761"
"2","凱基","357","389"
"3","富邦","190","224"
"4","群益","136","275"
"5","星洲瑞銀","311","37"
"6","摩根士丹利","269","57"
"7","永豐金","151","175"
"8","元富","56","189"
"9","國泰綜合","83","153"
"10","統一","71","94"
"30","聯亞(3081)"
"1","元大","691","693"
"2","凱基","481","479"
"3","富邦","211","338"
"4","永豐金","200","167"
"5","統一","190","120"
"6","國泰綜合","143","167"
"7","元富","149","64"
"8","群益","76","135"
"9","美林證券","151","56"
"10","港商野村","102","66"
