115年02月04日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"6","永豐金","114","159"
"7","美商高盛亞","180","86"
"8","元富","150","108"
"9","星洲瑞銀","41","205"
"10","國泰綜合","89","124"
"23","台燿(6274)"
"1","元大","480","739"
"2","凱基","660","345"
"3","富邦","376","198"
"4","群益","117","155"
"5","國泰綜合","141","124"
"6","美商高盛亞","109","155"
"7","聯邦銀","6","232"
"8","元富","108","98"
"9","永豐金","118","82"
"10","華南永昌","77","88"
"24","合晶(6182)"
"1","元大","484","379"
"2","凱基","338","518"
"3","富邦","274","172"
"4","永豐金","113","209"
"5","星洲瑞銀","150","167"
"6","美商高盛亞","50","249"
"7","群益","140","96"
"8","元富","99","130"
"9","國泰綜合","96","88"
"10","中國信託證","27","111"
"25","光環(3234)"
"1","元大","463","526"
"2","富邦","623","228"
"3","凱基","314","309"
"4","元富","263","89"
"5","永豐金","62","213"
"6","摩根大通","194","54"
"7","兆豐","174","64"
"8","群益","23","180"
"9","統一","86","89"
"10","華南永昌","22","145"
"26","營邦(3693)"
"1","元大","384","675"
"2","凱基","732","326"
"3","富邦","134","215"
"4","群益","173","126"
"5","永豐金","107","154"
"6","星洲瑞銀","178","67"
"7","統一","103","67"
"8","元富","56","107"
"9","台新","68","79"
"10","國泰綜合","56","90"
"27","青雲(5386)"
"1","元大","599","613"
"2","凱基","261","416"
"3","富邦","239","248"
"4","國泰綜合","169","138"
"5","永豐金","156","116"
"6","群益","79","153"
"7","新光","130","84"
"8","台新","110","85"
"9","中國信託證","104","67"
"10","元富","76","82"
"28","華電網(6163)"
"1","凱基","408","494"
"2","元大","553","341"
"3","永豐金","272","92"
"4","美商高盛亞","72","284"
"5","華南永昌","268","59"
"6","兆豐","143","65"
"7","群益","99","109"
"8","國泰綜合","103","98"
"9","星洲瑞銀","31","148"
"10","港商野村","0","169"
"29","品安(8088)"
"1","元大","501","490"
"2","凱基","248","258"
"3","美商高盛亞","153","224"
"4","富邦","205","89"
"5","國泰綜合","76","152"
"6","群益","132","93"
"7","星洲瑞銀","83","127"
"8","永豐金","95","109"
"9","華南永昌","119","66"
"10","摩根大通","103","63"
"30","錦明(3230)"
"1","元大","573","366"
"2","凱基","346","575"
"3","美商高盛亞","57","318"
"4","富邦","239","71"
"5","群益","69","170"
"6","永豐金","105","93"
"7","國泰綜合","128","45"
"8","華南永昌","75","89"
"9","摩根大通","99","58"
"10","美林證券","11","115"
"共300筆"
