115年01月14日 截至12:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","世界(5347)"
"1","元大","13711","13772"
"2","凱基","7290","8607"
"3","富邦","4099","4793"
"4","統一","3739","5090"
"5","群益","2395","3997"
"6","星洲瑞銀","2635","3003"
"7","永豐金","2178","2577"
"8","華南永昌","1977","2592"
"9","國泰綜合","2620","1879"
"10","台新","1647","2664"
"2","合晶(6182)"
"1","元大","10017","12417"
"2","凱基","9676","7864"
"3","富邦","6523","5798"
"4","永豐金","3988","2671"
"5","統一","4429","1796"
"6","群益","2131","2826"
"7","國泰綜合","2206","2746"
"8","元富","2290","1769"
"9","星洲瑞銀","2191","1658"
"10","玉山證券","1362","1997"
"3","富喬(1815)"
"1","元大","9967","10416"
"2","凱基","4842","4301"
"3","富邦","4059","4532"
"4","國泰綜合","3069","3129"
"5","永豐金","2393","2591"
"6","群益","1624","2080"
"7","星洲瑞銀","2327","1271"
"8","台新","1310","1606"
"9","摩根士丹利","1884","872"
"10","元富","1236","1451"
"4","華電網(6163)"
"1","元大","9190","8640"
"2","凱基","5858","5831"
"3","富邦","4831","4303"
"4","永豐金","2933","3190"
"5","國泰綜合","1801","2526"
"6","群益","2079","1983"
"7","華南永昌","1602","1515"
"8","台新","1593","1371"
"9","元富","1568","1326"
"10","統一","1264","1573"
"5","台半(5425)"
"1","元大","9247","7923"
"2","凱基","4146","7253"
"3","富邦","3369","2196"
"4","群益","2661","2127"
"5","永豐金","2080","1889"
"6","國泰綜合","2371","1453"
"7","華南永昌","1718","1604"
"8","元富","1853","1152"
"9","台新","947","1699"
"10","美商高盛亞","834","1435"
"6","九豪(6127)"
"1","元大","7236","8780"
"2","富邦","6565","5883"
"3","凱基","4180","4013"
"4","國票","1865","2042"
"5","永豐金","1741","1868"
"6","國泰綜合","1655","1560"
"7","統一","2179","914"
"8","群益","1515","1410"
"9","華南永昌","1291","1436"
"10","新光","968","863"
"7","穩懋(3105)"
