115年01月23日 截至12:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","11145","10136"
"2","凱基","6556","7699"
"3","富邦","4886","4186"
"4","美商高盛亞","1604","6176"
"5","國泰綜合","3961","3517"
"6","永豐金","2053","2854"
"7","統一","1811","1755"
"8","中國信託證","845","2327"
"9","新光","1544","1532"
"10","群益","1709","1269"
"2","中光電(5371)"
"1","元大","8790","6255"
"2","凱基","4165","5145"
"3","富邦","3133","3840"
"4","永豐金","2140","1975"
"5","國泰綜合","2252","1160"
"6","美商高盛亞","1389","1997"
"7","星洲瑞銀","707","2520"
"8","台新","1214","1629"
"9","元富","1826","914"
"10","群益","1518","1131"
"3","亞電(4939)"
"1","元大","8004","6822"
"2","凱基","3104","4035"
"3","永豐金","2168","2755"
"4","國泰綜合","2019","1689"
"5","富邦","1662","1750"
"6","群益","1588","1569"
"7","統一","1036","1661"
"8","台新","1231","695"
"9","星洲瑞銀","879","814"
"10","華南永昌","835","795"
"4","金居(8358)"
"1","元大","5889","5953"
"2","凱基","4251","4453"
"3","富邦","2403","3178"
"4","國泰綜合","2876","2116"
"5","永豐金","1537","2292"
"6","群益","1212","1717"
"7","摩根大通","899","1025"
"8","統一","665","1237"
"9","台新","861","786"
"10","元富","913","718"
"5","威剛(3260)"
"1","元大","3996","5894"
"2","凱基","4211","3476"
"3","富邦","3407","2655"
"4","元富","1964","1075"
"5","永豐金","1456","1534"
"6","統一","1089","1595"
"7","群益","1010","1471"
"8","國泰綜合","1174","1277"
"9","摩根大通","930","925"
"10","台新","1069","737"
"6","世界(5347)"
"1","元大","3291","6041"
"2","凱基","4861","2795"
"3","富邦","768","3733"
"4","摩根士丹利","3405","515"
"5","兆豐","177","2148"
"6","星洲瑞銀","1537","653"
"7","美商高盛亞","1544","621"
"8","群益","780","1359"
"9","國票","852","1166"
"10","美林證券","1618","215"
"7","長科*(6548)"
"1","元大","4696","5314"
"2","凱基","3174","3687"
"3","永豐金","1648","2122"
"4","富邦","1340","1192"
"5","群益","1376","809"
"6","美商高盛亞","857","1106"
"7","元富","1181","521"
"8","國泰綜合","883","803"
"9","星洲瑞銀","672","940"
"10","華南永昌","791","803"
"8","系統電(5309)"
"1","元大","6192","4542"
"2","凱基","2933","3783"
"3","富邦","1795","1947"
"4","永豐金","1461","1400"
"5","國泰綜合","1586","1133"
"6","群益","1150","1131"
"7","華南永昌","1119","967"
"8","星洲瑞銀","326","1613"
"9","統一","756","1036"
"10","新光","771","615"
"9","協易機(4533)"
"1","元大","5002","4436"
"2","凱基","2559","4980"
"3","永豐金","1720","2792"
"4","富邦","1778","1304"
"5","群益","1185","1690"
"6","國泰綜合","1628","977"
"7","華南永昌","1109","835"
"8","元富","685","708"
"9","兆豐","723","599"
"10","統一","529","714"
"10","鈺創(5351)"
"1","元大","3601","4463"
"2","凱基","2606","1980"
"3","富邦","1534","2119"
"4","美商高盛亞","1823","1164"
"5","永豐金","997","1215"
"6","群益","1066","1045"
"7","國泰綜合","904","1141"
"8","星洲瑞銀","1030","638"
"9","摩根士丹利","1205","330"
"10","元富","528","767"
"11","合晶(6182)"
"1","元大","3727","3471"
"2","凱基","1898","2436"
"3","國泰綜合","2204","1072"
"4","富邦","1646","1574"
"5","群益","935","1099"
"6","美商高盛亞","805","1122"
"7","星洲瑞銀","695","1085"
"8","永豐金","698","928"
"9","統一","650","786"
"10","元富","587","626"
"12","台半(5425)"
"1","元大","3346","2369"
"2","凱基","2342","3040"
"3","永豐金","1109","2593"
"4","富邦","1044","1515"
"5","美商高盛亞","557","1137"
"6","國泰綜合","915","490"
"7","群益","743","521"
"8","統一","626","575"
"9","華南永昌","728","453"
"10","元富","541","546"
"13","新盛力(4931)"
"1","元大","3832","2717"
"2","凱基","2006","2560"
"3","群益","894","1855"
"4","國泰綜合","1305","1138"
"5","永豐金","1094","1180"
"6","富邦","1260","970"
"7","新光","516","1285"
"8","美商高盛亞","544","586"
"9","玉山證券","596","426"
"10","華南永昌","554","437"
"14","方土昶(6265)"
"1","元大","3054","2674"
"2","凱基","1841","2361"
"3","富邦","1124","1201"
"4","國泰綜合","1124","891"
"5","永豐金","824","1138"
"6","星洲瑞銀","837","882"
"7","群益","729","895"
