115年03月30日 截至10:17止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","光洋科(1785)"
"1","元大","11312","10339"
"2","凱基","3719","4508"
"3","富邦","3654","2821"
"4","國泰綜合","3914","1578"
"5","星洲瑞銀","1126","3982"
"6","永豐金","2905","1947"
"7","群益","1888","2341"
"8","台新","1520","1785"
"9","摩根大通","814","1825"
"10","美商高盛亞","602","1911"
"2","頎邦(6147)"
"1","凱基","4285","3800"
"2","元大","3102","4101"
"3","統一","462","3190"
"4","國票","342","2331"
"5","永豐金","1974","622"
"6","群益","1459","767"
"7","富邦","1009","1127"
"8","港商野村","1176","304"
"9","國泰綜合","950","527"
"10","美商高盛亞","694","516"
"3","穩懋(3105)"
"1","元大","3790","2858"
"2","凱基","2632","2954"
"3","富邦","1486","2070"
"4","永豐金","1073","1394"
"5","群益","866","1112"
"6","國泰綜合","1296","621"
"7","星洲瑞銀","237","1281"
"8","摩根大通","462","952"
"9","摩根士丹利","641","745"
"10","台新","626","705"
"4","擎亞(8096)"
"1","元大","3848","4286"
"2","凱基","2014","3374"
"3","富邦","1585","1272"
"4","國泰綜合","1489","817"
"5","群益","941","1029"
"6","永豐金","987","864"
"7","華南永昌","769","565"
"8","台新","629","576"
"9","統一","466","651"
"10","美商高盛亞","429","635"
"5","鈦昇(8027)"
"1","元大","2704","3136"
"2","凱基","3554","1688"
"3","富邦","1273","1050"
"4","永豐金","993","923"
"5","群益","574","842"
"6","國泰綜合","469","524"
"7","台新","454","420"
"8","美商高盛亞","444","361"
"9","統一","299","374"
"10","華南永昌","227","413"
"6","台嘉碩(3221)"
"1","元大","3351","2680"
"2","凱基","648","2285"
"3","富邦","1212","1088"
"4","群益","807","784"
"5","國泰綜合","964","369"
"6","華南永昌","677","425"
"7","永豐金","421","632"
"8","國票","443","505"
"9","統一","186","695"
"10","元富","259","572"
"7","富喬(1815)"
"1","元大","2345","1948"
"2","凱基","1461","1096"
"3","富邦","715","622"
"4","國泰綜合","583","547"
"5","統一","400","650"
"6","摩根士丹利","129","789"
"7","群益","542","361"
