115年01月29日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","擎亞(8096)"
"1","凱基","9543","5701"
"2","元大","5859","8125"
"3","富邦","2957","5006"
"4","國泰綜合","3323","1932"
"5","統一","2239","2284"
"6","國票","1917","2123"
"7","星洲瑞銀","2203","1055"
"8","永豐金","1063","1675"
"9","兆豐","1154","1301"
"10","群益","1026","1339"
"2","世界(5347)"
"1","元大","7128","4406"
"2","凱基","3881","4238"
"3","星洲瑞銀","1935","2694"
"4","富邦","2192","1312"
"5","美商高盛亞","711","2664"
"6","元富","2039","974"
"7","群益","1555","1241"
"8","永豐金","1332","1301"
"9","國泰綜合","1876","739"
"10","兆豐","710","1405"
"3","華星光(4979)"
"1","元大","6902","5915"
"2","凱基","5836","5262"
"3","富邦","2038","2260"
"4","永豐金","2194","1706"
"5","國泰綜合","2313","1403"
"6","國票","454","2574"
"7","美商高盛亞","1301","1654"
"8","統一","715","2144"
"9","群益","1211","1221"
"10","星洲瑞銀","880","1461"
"4","富喬(1815)"
"1","元大","5667","4728"
"2","凱基","2150","2992"
"3","富邦","2138","2930"
"4","國泰綜合","1668","1076"
"5","永豐金","991","1226"
"6","星洲瑞銀","374","1508"
"7","新光","965","385"
"8","台新","494","823"
"9","摩根大通","477","785"
"10","群益","696","551"
"5","方土昶(6265)"
"1","元大","4895","5091"
"2","凱基","3114","3681"
"3","富邦","2330","2135"
"4","國泰綜合","1626","1167"
"5","永豐金","1168","1184"
"6","群益","936","929"
"7","星洲瑞銀","561","1024"
"8","華南永昌","662","715"
"9","元富","639","668"
"10","新光","652","533"
"6","波若威(3163)"
"1","元大","3911","3433"
"2","凱基","2586","3203"
"3","富邦","1320","2131"
"4","國泰綜合","1604","948"
"5","永豐金","914","1136"
"6","美商高盛亞","1012","822"
"7","統一","353","1441"
"8","群益","639","641"
"9","台新","548","384"
"10","新光","533","328"
"7","協易機(4533)"
"1","元大","4284","4066"
"2","凱基","2799","2249"
"3","富邦","1315","1172"
"4","國泰綜合","1184","754"
"5","永豐金","727","1206"
"6","群益","852","907"
"7","美商高盛亞","793","832"
"8","華南永昌","697","587"
"9","元富","520","539"
"10","兆豐","585","329"
"8","鈺創(5351)"
"1","元大","4124","3589"
"2","凱基","1369","2136"
"3","富邦","1625","1585"
"4","永豐金","843","1052"
"5","國泰綜合","1219","654"
"6","美商高盛亞","574","1065"
"7","群益","598","972"
"8","星洲瑞銀","460","718"
"9","元富","614","505"
"10","美林證券","125","980"
"9","穩懋(3105)"
"1","元大","2887","2775"
"2","凱基","1854","1909"
"3","永豐金","1013","752"
"4","富邦","1058","667"
"5","國泰綜合","881","566"
"6","元富","639","609"
"7","星洲瑞銀","360","818"
"8","美商高盛亞","297","747"
"9","群益","424","519"
"10","華南永昌","610","229"
"10","光洋科(1785)"
"1","元大","3190","2843"
"2","凱基","1676","2057"
"3","富邦","1198","865"
"4","永豐金","654","903"
"5","群益","873","566"
"6","康和","111","1206"
"7","國泰綜合","800","310"
"8","兆豐","552","422"
"9","元富","547","329"
"10","星洲瑞銀","245","619"
"11","威剛(3260)"
"1","元大","2470","2117"
"2","凱基","1466","1522"
"3","富邦","1369","777"
"4","群益","786","748"
"5","國泰綜合","869","541"
"6","美商高盛亞","553","850"
"7","永豐金","651","649"
"8","摩根大通","297","956"
"9","兆豐","432","391"
"10","華南永昌","418","361"
"12","長科*(6548)"
"1","凱基","2305","3801"
"2","元大","2532","2163"
"3","富邦","746","897"
"4","國泰綜合","644","414"
"5","星洲瑞銀","708","326"
"6","元富","314","559"
"7","群益","510","355"
"8","永豐金","435","414"
"9","美商高盛亞","435","304"
"10","華南永昌","264","421"
"13","品安(8088)"
"1","元大","2929","2696"
"2","凱基","932","1292"
"3","富邦","912","802"
"4","群益","608","812"
"5","永豐金","693","665"
"6","國泰綜合","828","470"
"7","美商高盛亞","371","677"
"8","台新","519","413"
"9","統一","240","658"
"10","新光","559","265"
"14","立碁(8111)"
"1","元大","2252","2242"
"2","凱基","1374","2035"
"3","富邦","999","749"
"4","永豐金","671","599"
"5","國泰綜合","684","416"
"6","群益","455","434"
"7","玉山證券","273","495"
"8","統一","249","460"
"9","元富","304","361"
"10","美商高盛亞","343","321"
"15","點序(6485)"
"1","元大","1730","1535"
"2","凱基","902","2004"
"3","富邦","749","690"
"4","國泰綜合","501","529"
"5","群益","498","338"
"6","統一","299","488"
"7","台新","426","250"
"8","星洲瑞銀","370","299"
"9","元富","320","324"
"10","永豐金","346","267"
"16","欣銓(3264)"
"1","凱基","1191","2452"
"2","元大","1771","1485"
"3","永豐金","423","754"
"4","富邦","579","360"
"5","星洲瑞銀","337","445"
"6","美商高盛亞","371","336"
"7","統一","247","402"
"8","新光","318","292"
"9","國泰綜合","321","269"
"10","元富","208","349"
"17","金居(8358)"
"1","元大","1927","1853"
"2","凱基","963","1806"
"3","富邦","747","484"
"4","永豐金","478","590"
"5","國泰綜合","595","310"
"6","星洲瑞銀","333","485"
"7","群益","316","404"
"8","美商高盛亞","231","338"
"9","華南永昌","288","232"
"10","台新","315","198"
"18","IET-KY(4971)"
"1","元大","1737","1683"
"2","凱基","1152","1104"
"3","富邦","605","744"
"4","國泰綜合","507","430"
"5","星洲瑞銀","504","404"
"6","群益","406","488"
"7","永豐金","364","511"
"8","兆豐","172","415"
"9","美商高盛亞","291","259"
